RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,GC,PD,TL,TE,GC.1,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Int.,% Cmp,Int..1,TI,%deLanzamientos,Long. prom.,Int..2,%deLanzamientos.1,Long. prom..1,Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.
1,Antonio Adán,es ESP,PO,Betis,es La Liga,30,1987,30.0,53.0,3.0,0.0,5.0,4.0,41.8,0.29,-7.2,-0.24,176.0,490.0,35.9,1002.0,130.0,33.8,32.8,253.0,59.7,44.4,468.0,17.0,3.6,22.0,0.73,14.6
2,René Adler,de GER,PO,Mainz 05,de Bundesliga,32,1985,14.0,18.0,1.0,0.0,5.0,0.0,14.0,0.25,-4.0,-0.29,78.0,216.0,36.1,322.0,55.0,39.1,36.3,117.0,76.9,54.9,209.0,19.0,9.1,22.0,1.57,15.4
3,Adrián,es ESP,PO,West Ham,eng Premier League,30,1987,19.0,29.0,1.0,1.0,6.0,1.0,27.8,0.29,-0.2,-0.01,154.0,445.0,34.6,383.0,47.0,72.8,47.7,184.0,90.2,59.3,316.0,13.0,4.1,31.0,1.63,16.0
4,Alisson,br BRA,PO,Roma,it Serie A,24,1992,37.0,28.0,3.0,0.0,2.0,0.0,35.4,0.23,7.4,0.2,213.0,416.0,51.2,1069.0,239.0,28.9,32.1,252.0,42.5,41.0,469.0,17.0,3.6,90.0,2.43,18.9
5,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,30,1986,16.4,29.0,1.0,0.0,4.0,1.0,23.3,0.31,-4.7,-0.29,110.0,285.0,38.6,494.0,48.0,40.5,36.3,129.0,65.9,50.6,214.0,8.0,3.7,18.0,1.1,14.1
6,Ibrahim Amadou,fr FRA,"CC,DF",Lille,fr Ligue 1,24,1993,26.7,2.0,1.0,0.0,0.0,0.0,1.5,0.2,-0.5,-0.02,0.0,0.0,,0.0,0.0,,,0.0,,,1.0,0.0,0.0,0.0,0.0,
7,Jon Ander Serantes,es ESP,PO,Leganés,es La Liga,27,1989,1.0,2.0,0.0,0.0,0.0,0.0,2.7,0.34,0.7,0.71,8.0,26.0,30.8,25.0,1.0,72.0,54.5,8.0,100.0,71.5,9.0,1.0,11.1,0.0,0.0,8.0
8,Nícolas Andrade,br BRA,PO,Hellas Verona,it Serie A,29,1988,36.0,71.0,6.0,4.0,9.0,2.0,64.5,0.25,-4.5,-0.13,363.0,878.0,41.3,1038.0,247.0,53.4,41.1,399.0,81.2,55.0,728.0,49.0,6.7,32.0,0.89,12.7
9,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,33,1984,8.5,8.0,2.0,0.0,1.0,0.0,9.0,0.19,1.0,0.12,76.0,147.0,51.7,291.0,24.0,36.4,35.1,70.0,58.6,41.4,127.0,9.0,7.1,15.0,1.77,14.8
10,Alphonse Areola,fr FRA,PO,Paris S-G,fr Ligue 1,24,1993,34.0,25.0,1.0,2.0,5.0,1.0,26.2,0.24,2.2,0.07,52.0,102.0,51.0,659.0,167.0,9.7,22.8,240.0,15.8,29.3,404.0,22.0,5.4,50.0,1.47,16.1
11,Kepa Arrizabalaga,es ESP,PO,Athletic Club,es La Liga,22,1994,30.0,43.0,1.0,3.0,5.0,3.0,43.4,0.3,3.4,0.11,318.0,644.0,49.4,843.0,112.0,56.5,42.2,206.0,81.6,58.1,395.0,23.0,5.8,22.0,0.73,13.4
12,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,28,1989,23.0,30.0,3.0,1.0,2.0,0.0,32.0,0.29,2.0,0.09,124.0,346.0,35.8,454.0,118.0,43.8,37.4,200.0,73.5,52.8,399.0,26.0,6.5,26.0,1.13,12.8
13,Mariano Barbosa,ar ARG,PO,Villarreal,es La Liga,33,1984,12.5,14.0,1.0,0.0,2.0,0.0,13.8,0.28,-0.2,-0.01,46.0,152.0,30.3,230.0,57.0,30.4,32.4,105.0,78.1,54.1,243.0,5.0,2.1,5.0,0.4,10.0
14,Oliver Baumann,de GER,PO,Hoffenheim,de Bundesliga,27,1990,34.0,48.0,3.0,1.0,9.0,2.0,42.6,0.27,-3.4,-0.1,223.0,590.0,37.8,1181.0,179.0,36.2,33.4,261.0,62.5,47.9,480.0,37.0,7.7,28.0,0.82,12.5
