RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl.1,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,43.0,23,31.0,10.0,2.0,23.0,50.0,46.0,27.0,31.0,9.0,22.0,45,88.0,52.0,1.0
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,48.0,30,33.0,9.0,6.0,18.0,36.0,50.0,18.0,46.0,29.0,17.0,37,85.0,97.0,1.0
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,46.0,33,29.0,15.0,2.0,17.0,30.0,56.7,13.0,26.0,14.0,12.0,47,93.0,99.0,1.0
4,Suleiman Abdullahi,ng NGA,"DL,CC",Union Berlin,de Bundesliga,22,1996,1.7,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,1.0,1.0,1,1.0,1.0,0.0
5,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,26,1992,20.2,55.0,29,18.0,32.0,5.0,20.0,53.0,37.7,33.0,16.0,3.0,13.0,23,78.0,8.0,1.0
6,Charles Abi,fr FRA,DL,Saint-Étienne,fr Ligue 1,19,2000,6.9,9.0,9,2.0,5.0,2.0,2.0,7.0,28.6,5.0,2.0,0.0,2.0,4,13.0,4.0,0.0
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,21.0,14,16.0,4.0,1.0,15.0,32.0,46.9,17.0,27.0,11.0,16.0,25,46.0,61.0,1.0
8,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,21,1997,24.6,8.0,4,2.0,5.0,1.0,3.0,14.0,21.4,11.0,20.0,2.0,18.0,6,14.0,27.0,0.0
9,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,29,1990,7.4,16.0,8,7.0,8.0,1.0,10.0,19.0,52.6,9.0,18.0,3.0,15.0,7,23.0,16.0,2.0
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,59.0,29,42.0,12.0,5.0,14.0,20.0,70.0,6.0,40.0,27.0,13.0,42,101.0,109.0,1.0
11,Che Adams,sct SCO,DL,Southampton,eng Premier League,23,1996,12.3,6.0,4,1.0,5.0,0.0,1.0,4.0,25.0,3.0,9.0,1.0,8.0,2,8.0,10.0,0.0
12,Tyler Adams,us USA,"CC,DF",RB Leipzig,de Bundesliga,20,1999,10.6,22.0,15,13.0,8.0,1.0,12.0,25.0,48.0,13.0,16.0,1.0,15.0,14,36.0,14.0,0.0
13,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,26,1993,8.3,11.0,7,3.0,6.0,2.0,3.0,21.0,14.3,18.0,8.0,1.0,7.0,2,13.0,4.0,0.0
14,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,32,1987,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
15,Bobby Adekanye,nl NED,DL,Lazio,it Serie A,20,1999,2.1,3.0,2,0.0,3.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,2,5.0,1.0,0.0
16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,5.0,3,4.0,1.0,0.0,2.0,3.0,66.7,1.0,4.0,3.0,1.0,3,8.0,7.0,0.0
17,Amine Adli,ma MAR,"CC,DL",Toulouse,fr Ligue 1,19,2000,0.5,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0
18,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,19,2000,11.3,22.0,14,4.0,15.0,3.0,11.0,34.0,32.4,23.0,10.0,0.0,10.0,8,30.0,3.0,0.0
19,Adrián,es ESP,PO,Liverpool,eng Premier League,32,1987,9.7,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,8.0,3.0
20,Aritz Aduriz,es ESP,"DL,CC",Athletic Club,es La Liga,38,1981,2.3,3.0,2,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,3.0,2.0,0.0
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,31.0,21,19.0,9.0,3.0,16.0,35.0,45.7,19.0,13.0,2.0,11.0,21,52.0,66.0,1.0
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,55.0,30,32.0,18.0,5.0,30.0,54.0,55.6,24.0,19.0,7.0,12.0,18,73.0,48.0,0.0
23,Lucien Agoume,fr FRA,CC,Inter,it Serie A,17,2002,0.8,3.0,2,0.0,2.0,1.0,0.0,0.0,,0.0,3.0,1.0,2.0,0,3.0,0.0,0.0
24,Kevin Agudelo,co COL,"CC,DL",Fiorentina,it Serie A,20,1998,0.7,2.0,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1,3.0,0.0,0.0
25,Kevin Agudelo,co COL,"CC,DL",Genoa,it Serie A,20,1998,7.4,23.0,14,9.0,12.0,2.0,10.0,20.0,50.0,10.0,12.0,1.0,11.0,6,29.0,2.0,0.0
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,13.0,9,7.0,5.0,1.0,8.0,12.0,66.7,4.0,11.0,11.0,0.0,18,31.0,54.0,0.0
27,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,31,1988,16.1,7.0,4,0.0,4.0,3.0,1.0,8.0,12.5,7.0,9.0,1.0,8.0,3,10.0,2.0,0.0
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,36.0,22,19.0,15.0,2.0,19.0,28.0,67.9,9.0,6.0,2.0,4.0,11,47.0,21.0,0.0
29,Emmanuel Agyemang-Badu,gh GHA,CC,Hellas Verona,it Serie A,28,1990,2.6,1.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,2.0,0.0,1,2.0,6.0,0.0
30,Jean-Eudes Aholou,ci CIV,CC,Saint-Étienne,fr Ligue 1,25,1994,7.0,16.0,12,2.0,11.0,3.0,3.0,9.0,33.3,6.0,6.0,1.0,5.0,15,31.0,10.0,0.0
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,43.0,27,30.0,11.0,2.0,13.0,27.0,48.1,14.0,31.0,14.0,17.0,45,88.0,124.0,3.0
32,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,45.0,24,23.0,18.0,4.0,17.0,37.0,45.9,20.0,24.0,6.0,18.0,41,86.0,61.0,0.0
33,Youssef Aït Bennasser,ma MAR,CC,Bordeaux,fr Ligue 1,23,1996,6.0,11.0,8,6.0,4.0,1.0,4.0,24.0,16.7,20.0,6.0,1.0,5.0,4,15.0,10.0,1.0
34,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,18,2001,14.2,29.0,22,14.0,8.0,7.0,10.0,21.0,47.6,11.0,14.0,1.0,13.0,18,47.0,33.0,0.0
35,Albian Ajeti,ch SUI,DL,West Ham,eng Premier League,22,1997,1.5,1.0,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
36,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,25,1994,22.9,15.0,10,2.0,10.0,3.0,2.0,13.0,15.4,11.0,11.0,0.0,11.0,2,17.0,20.0,0.0
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,38.0,21,23.0,14.0,1.0,12.0,20.0,60.0,8.0,20.0,11.0,9.0,30,68.0,61.0,2.0
38,Marley Aké,fr FRA,"DL,CC",Marseille,fr Ligue 1,18,2001,1.1,2.0,2,1.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,1,3.0,1.0,0.0
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,31.0,21,23.0,8.0,0.0,14.0,23.0,60.9,9.0,40.0,29.0,11.0,36,67.0,152.0,0.0
40,Chadrac Akolo,cd COD,"DL,CC",Amiens,fr Ligue 1,24,1995,6.0,16.0,8,8.0,6.0,2.0,5.0,12.0,41.7,7.0,6.0,1.0,5.0,5,21.0,5.0,0.0
