RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,0,0,0,9,8,2,92,45,23,0.0,0.0,1,176.0,16.0,16.0,50.0
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,7,0,0,29,49,3,73,37,30,1.0,0.0,0,178.0,22.0,49.0,31.0
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,0,0,0,21,17,0,1,47,33,0.0,1.0,0,140.0,85.0,51.0,62.5
4,Suleiman Abdullahi,ng NGA,"DL,CC",Union Berlin,de Bundesliga,22,1996,1.7,1,0,0,0,0,3,8,1,0,0.0,0.0,0,7.0,6.0,11.0,35.3
5,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,26,1992,20.2,5,0,0,55,43,1,63,23,29,0.0,1.0,0,153.0,13.0,17.0,43.3
6,Charles Abi,fr FRA,DL,Saint-Étienne,fr Ligue 1,19,2000,6.9,2,0,0,16,11,7,5,4,9,1.0,0.0,0,22.0,28.0,34.0,45.2
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,2,1,0,14,12,0,9,25,14,0.0,0.0,0,125.0,48.0,30.0,61.5
8,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,21,1997,24.6,2,0,0,17,24,23,11,6,4,1.0,0.0,1,49.0,89.0,113.0,44.1
9,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,29,1990,7.4,3,0,0,17,12,0,7,7,8,0.0,0.0,0,51.0,9.0,9.0,50.0
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,4,0,0,26,41,5,26,42,29,1.0,0.0,0,179.0,56.0,32.0,63.6
11,Che Adams,sct SCO,DL,Southampton,eng Premier League,23,1996,12.3,0,0,0,17,16,10,13,2,4,1.0,0.0,0,51.0,41.0,75.0,35.3
12,Tyler Adams,us USA,"CC,DF",RB Leipzig,de Bundesliga,20,1999,10.6,0,0,0,9,16,0,10,14,15,0.0,0.0,0,58.0,14.0,14.0,50.0
13,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,26,1993,8.3,1,0,0,12,7,7,11,2,7,1.0,0.0,0,32.0,12.0,34.0,26.1
