RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera.1
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,20.0,1999.0,0,,,,,0,,0,0,,8,,,,,,,,,,,
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28.0,1990.0,29,2507.0,86.0,73.3,27.9,29,86.0,25,0,,0,1.24,21.0,38.0,-17.0,-0.61,-0.41,28.3,42.3,-14.0,-0.5,0.21
3,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19.0,2000.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,0,0.5,23.0,71.0,-48.0,-1.33,-0.83,34.6,62.1,-27.5,-0.76,0.23
4,Diego Abbrandini,it ITA,PO,Brescia,it Serie A,17.0,2001.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31.0,1987.0,28,2520.0,90.0,100.0,28.0,28,90.0,28,0,,0,1.46,26.0,21.0,5.0,0.18,,30.6,28.5,2.1,0.08,
6,Suleiman Abdullahi,ng NGA,"DL,CC",Union Berlin,de Bundesliga,22.0,1996.0,6,157.0,26.0,5.1,1.7,1,57.0,0,5,20.0,5,0.67,2.0,5.0,-3.0,-1.72,-1.29,3.1,4.0,-1.0,-0.55,-0.18
7,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,26.0,1992.0,25,1817.0,73.0,72.1,20.2,20,85.0,15,5,22.0,1,1.44,20.0,25.0,-5.0,-0.25,-0.5,20.8,25.4,-4.5,-0.22,-0.65
8,Charles Abi,fr FRA,DL,Saint-Étienne,fr Ligue 1,19.0,2000.0,15,623.0,42.0,24.7,6.9,6,73.0,2,9,20.0,1,0.93,7.0,14.0,-7.0,-1.01,-0.58,8.3,10.9,-2.5,-0.37,-0.14
9,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33.0,1986.0,20,1688.0,84.0,55.2,18.8,19,86.0,15,1,61.0,5,1.85,32.0,27.0,5.0,0.27,0.66,30.9,24.3,6.6,0.35,0.15
10,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,21.0,1997.0,34,2215.0,65.0,64.8,24.6,25,81.0,9,9,20.0,0,1.82,45.0,34.0,11.0,0.45,0.15,46.3,27.5,18.8,0.76,-0.12
11,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,29.0,1990.0,13,663.0,51.0,21.7,7.4,8,74.0,3,5,14.0,14,1.62,9.0,9.0,0.0,0.0,-0.04,9.6,12.2,-2.6,-0.35,0.22
12,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31.0,1988.0,36,3162.0,88.0,92.5,35.1,36,88.0,32,0,,1,2.0,74.0,38.0,36.0,1.02,0.68,62.9,46.9,16.0,0.45,0.14
13,Che Adams,sct SCO,DL,Southampton,eng Premier League,23.0,1996.0,30,1111.0,37.0,32.5,12.3,12,73.0,0,18,13.0,6,1.47,17.0,17.0,0.0,0.0,0.35,20.0,17.7,2.3,0.19,0.15
14,Tyler Adams,us USA,"CC,DF",RB Leipzig,de Bundesliga,20.0,1999.0,14,953.0,68.0,31.1,10.6,10,82.0,4,4,33.0,1,1.71,14.0,13.0,1.0,0.09,-1.74,17.6,11.3,6.2,0.59,-0.54
15,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,26.0,1993.0,15,746.0,50.0,24.4,8.3,6,80.0,2,9,30.0,3,1.93,16.0,10.0,6.0,0.72,0.96,15.3,16.3,-0.9,-0.11,-0.02
16,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,32.0,1987.0,1,25.0,25.0,0.7,0.3,0,,0,1,25.0,37,0.0,0.0,0.0,0.0,0.0,-0.64,0.7,0.1,0.6,2.27,1.64
17,Bobby Adekanye,nl NED,DL,Lazio,it Serie A,20.0,1999.0,11,188.0,17.0,5.5,2.1,0,,0,11,17.0,21,1.45,3.0,5.0,-2.0,-0.96,-2.04,5.8,3.4,2.3,1.12,0.72
18,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21.0,1998.0,5,231.0,46.0,6.8,2.6,2,90.0,2,3,17.0,26,0.6,5.0,7.0,-2.0,-0.78,-0.72,3.2,4.8,-1.6,-0.62,-0.58
19,Amine Adli,ma MAR,"CC,DL",Toulouse,fr Ligue 1,19.0,2000.0,4,46.0,12.0,1.8,0.5,0,,0,4,11.0,3,0.0,0.0,0.0,0.0,0.0,1.31,0.6,0.7,-0.1,-0.18,0.32
20,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,19.0,2000.0,21,1020.0,49.0,40.5,11.3,11,76.0,3,10,19.0,1,1.33,17.0,11.0,6.0,0.53,0.53,11.3,11.9,-0.6,-0.05,0.31
21,Andrea Adorante,it ITA,DL,Parma,it Serie A,19.0,2000.0,0,,,,,0,,0,0,,9,,,,,,,,,,,
22,Amir Adouyev,ru RUS,CC,Montpellier,fr Ligue 1,20.0,1999.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
23,Adrián,es ESP,PO,Liverpool,eng Premier League,32.0,1987.0,11,875.0,80.0,25.6,9.7,9,90.0,9,2,33.0,27,3.0,24.0,10.0,14.0,1.44,0.1,18.9,10.5,8.4,0.86,0.06
24,Daniel Adshead,eng ENG,CC,Norwich City,eng Premier League,17.0,2001.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
25,Aritz Aduriz,es ESP,"DL,CC",Athletic Club,es La Liga,38.0,1981.0,14,208.0,15.0,6.1,2.3,0,,0,14,15.0,3,1.29,3.0,2.0,1.0,0.43,0.38,3.6,3.1,0.4,0.19,0.4
26,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22.0,1996.0,23,1805.0,78.0,52.8,20.1,20,83.0,14,3,49.0,3,1.04,24.0,33.0,-9.0,-0.45,0.44,22.7,29.7,-7.1,-0.35,0.5
27,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23.0,1996.0,31,2099.0,68.0,61.4,23.3,23,84.0,16,8,22.0,5,1.0,20.0,38.0,-18.0,-0.77,-0.29,22.7,36.4,-13.8,-0.59,-0.27
28,Lucien Agoume,fr FRA,CC,Inter,it Serie A,17.0,2002.0,3,68.0,23.0,2.0,0.8,0,,0,3,23.0,21,1.67,3.0,3.0,0.0,0.0,-1.21,3.4,1.7,1.7,2.29,1.56
29,Kevin Agudelo,co COL,"CC,DL",Fiorentina,it Serie A,20.0,1998.0,3,64.0,21.0,1.9,0.7,1,54.0,0,2,5.0,13,2.0,1.0,3.0,-2.0,-2.81,-2.95,1.1,1.1,0.0,0.01,-0.11
30,Kevin Agudelo,co COL,"CC,DL",Genoa,it Serie A,20.0,1998.0,10,666.0,67.0,19.5,7.4,7,86.0,4,3,22.0,5,0.6,8.0,11.0,-3.0,-0.41,0.35,9.5,12.6,-3.1,-0.42,-0.15
31,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23.0,1996.0,11,957.0,87.0,38.0,10.6,11,87.0,10,0,,3,1.27,9.0,13.0,-4.0,-0.38,-0.03,12.0,14.5,-2.5,-0.23,0.08
32,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,31.0,1988.0,24,1452.0,61.0,42.5,16.1,18,75.0,8,6,16.0,2,2.08,44.0,18.0,26.0,1.61,-0.26,39.5,16.2,23.2,1.44,-0.05
33,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26.0,1993.0,19,1072.0,56.0,42.5,11.9,11,83.0,9,8,20.0,5,1.32,20.0,16.0,4.0,0.34,0.58,22.5,16.3,6.2,0.52,0.53
34,Emmanuel Agyemang-Badu,gh GHA,CC,Hellas Verona,it Serie A,28.0,1990.0,10,230.0,23.0,6.7,2.6,2,78.0,1,8,9.0,9,1.9,4.0,6.0,-2.0,-0.78,-0.73,1.8,4.8,-3.0,-1.16,-1.15
35,Jean-Eudes Aholou,ci CIV,CC,Saint-Étienne,fr Ligue 1,25.0,1994.0,11,630.0,57.0,25.0,7.0,8,61.0,2,3,47.0,3,1.0,8.0,10.0,-2.0,-0.29,0.38,9.6,8.0,1.6,0.23,0.65
36,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23.0,1995.0,32,2502.0,78.0,73.2,27.8,27,89.0,25,5,20.0,5,0.97,24.0,34.0,-10.0,-0.36,-0.16,28.5,31.9,-3.4,-0.12,0.15
37,Ola Aina,ng NGA,DF,Torino,it Serie A,22.0,1996.0,32,2079.0,65.0,60.8,23.1,20,84.0,12,12,33.0,5,1.13,35.0,39.0,-4.0,-0.17,1.03,30.2,34.7,-4.5,-0.19,0.58
