RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,1595.0,1202.0,386.0,61.0,2.0,4.0,92,280.0,45.0,30.0,7.0,4.0,1241.0,7.0,20.0
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,1711.0,1389.0,322.0,23.0,0.0,4.0,73,299.0,0.0,0.0,0.0,0.0,1332.0,0.0,65.0
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,1570.0,1491.0,75.0,72.0,0.0,13.0,1,3.0,0.0,0.0,0.0,0.0,1323.0,4.0,10.0
4,Suleiman Abdullahi,ng NGA,"DL,CC",Union Berlin,de Bundesliga,22,1996,1.7,42.0,42.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,19.0,0.0,3.0
5,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,26,1992,20.2,967.0,870.0,93.0,38.0,1.0,10.0,63,5.0,50.0,24.0,15.0,1.0,792.0,4.0,15.0
6,Charles Abi,fr FRA,DL,Saint-Étienne,fr Ligue 1,19,2000,6.9,132.0,121.0,11.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,75.0,0.0,7.0
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,911.0,857.0,52.0,22.0,0.0,12.0,9,30.0,0.0,0.0,0.0,0.0,738.0,2.0,5.0
8,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,21,1997,24.6,418.0,367.0,51.0,0.0,2.0,1.0,11,0.0,0.0,0.0,0.0,0.0,275.0,0.0,24.0
9,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,29,1990,7.4,330.0,317.0,13.0,9.0,0.0,0.0,7,1.0,0.0,0.0,0.0,0.0,280.0,0.0,9.0
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2073.0,1979.0,93.0,69.0,3.0,38.0,26,23.0,1.0,0.0,0.0,0.0,1844.0,1.0,12.0
11,Che Adams,sct SCO,DL,Southampton,eng Premier League,23,1996,12.3,263.0,261.0,0.0,0.0,4.0,4.0,13,0.0,0.0,0.0,0.0,0.0,162.0,2.0,10.0
12,Tyler Adams,us USA,"CC,DF",RB Leipzig,de Bundesliga,20,1999,10.6,703.0,626.0,77.0,21.0,0.0,5.0,10,56.0,0.0,0.0,0.0,0.0,584.0,0.0,14.0
13,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,26,1993,8.3,180.0,169.0,10.0,0.0,0.0,1.0,11,7.0,0.0,0.0,0.0,0.0,128.0,1.0,11.0
14,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,32,1987,0.3,6.0,5.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
15,Bobby Adekanye,nl NED,DL,Lazio,it Serie A,20,1999,2.1,43.0,42.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0
16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,83.0,69.0,14.0,0.0,0.0,0.0,3,14.0,0.0,0.0,0.0,0.0,58.0,0.0,1.0
