RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,TPint,PD,PD.1,PC,% Salvadas.1
1,Adrián,es ESP,PO,Liverpool,eng Premier League,33,1987,3,3,270,3.0,9.0,3.0,18,9,50.0,1.0,1.0,1,1.0,33.3,0.0,0.0,0.0,0.0,
2,Rúnar Alex Rúnarsson,is ISL,PO,Arsenal,eng Premier League,25,1995,1,0,16,0.2,0.0,0.0,2,2,100.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,
3,Alisson,br BRA,PO,Liverpool,eng Premier League,27,1992,33,33,2970,33.0,32.0,0.97,115,82,75.7,18.0,8.0,7,10.0,30.3,8.0,4.0,1.0,3.0,20.0
4,Saturnin Allagbé,bj BEN,PO,Dijon,fr Ligue 1,26,1993,12,12,1080,12.0,30.0,2.5,66,36,56.1,2.0,2.0,8,3.0,25.0,3.0,1.0,1.0,1.0,50.0
5,Nícolas Andrade,br BRA,PO,Udinese,it Serie A,32,1988,2,2,180,2.0,5.0,2.5,6,1,16.7,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
6,Ángel,es ESP,PO,Granada,es La Liga,18,2002,1,1,90,1.0,2.0,2.0,9,6,88.9,0.0,0.0,1,0.0,0.0,2.0,1.0,1.0,0.0,50.0
7,Alphonse Areola,fr FRA,PO,Fulham,eng Premier League,27,1993,36,36,3240,36.0,48.0,1.33,161,114,73.9,5.0,13.0,18,9.0,25.0,6.0,6.0,0.0,0.0,0.0
8,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,25,1994,7,6,585,6.5,8.0,1.23,23,15,69.6,2.0,2.0,2,2.0,33.3,1.0,1.0,0.0,0.0,0.0
9,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,31,1989,36,36,3240,36.0,40.0,1.11,118,79,72.0,15.0,13.0,8,10.0,27.8,9.0,7.0,1.0,1.0,12.5
10,Emil Audero,it ITA,PO,Sampdoria,it Serie A,23,1997,37,37,3330,37.0,54.0,1.46,173,118,72.8,14.0,7.0,16,6.0,16.2,9.0,7.0,2.0,0.0,22.2
11,Édgar Badía,es ESP,PO,Elche,es La Liga,28,1992,30,30,2700,30.0,46.0,1.53,141,92,70.9,5.0,11.0,14,5.0,16.7,9.0,5.0,3.0,1.0,37.5
12,Stefan Bajic,fr FRA,PO,Saint-Étienne,fr Ligue 1,18,2001,1,1,90,1.0,4.0,4.0,4,0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,1.0,
13,Oliver Baumann,de GER,PO,Hoffenheim,de Bundesliga,30,1990,31,31,2790,31.0,51.0,1.65,132,81,65.9,10.0,8.0,13,6.0,19.4,9.0,6.0,2.0,1.0,25.0
14,Walter Benítez,ar ARG,PO,Nice,fr Ligue 1,27,1993,38,38,3420,38.0,53.0,1.39,176,123,73.9,15.0,7.0,16,9.0,23.7,7.0,7.0,0.0,0.0,0.0
15,Alessandro Berardi,it ITA,PO,Hellas Verona,it Serie A,29,1991,1,0,28,0.3,0.0,0.0,1,1,100.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,
16,Paul Bernardoni,fr FRA,PO,Angers,fr Ligue 1,23,1997,38,38,3420,38.0,58.0,1.53,139,82,63.3,12.0,8.0,18,9.0,23.7,8.0,7.0,1.0,0.0,12.5
17,Dimitry Bertaud,fr FRA,PO,Montpellier,fr Ligue 1,22,1998,9,7,745,8.3,11.0,1.33,42,31,76.2,4.0,2.0,1,3.0,42.9,1.0,1.0,0.0,0.0,0.0
18,Rubén Blanco,es ESP,PO,Celta Vigo,es La Liga,25,1995,19,19,1637,18.2,27.0,1.48,61,34,57.4,7.0,6.0,6,4.0,21.1,1.0,1.0,0.0,0.0,0.0
19,Elias Bördner,de GER,PO,Eint Frankfurt,de Bundesliga,18,2002,1,1,90,1.0,1.0,1.0,6,5,83.3,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
20,Yassine Bounou,ma MAR,PO,Sevilla,es La Liga,29,1991,33,33,2970,33.0,28.0,0.85,106,78,77.4,21.0,5.0,7,15.0,45.5,6.0,4.0,2.0,0.0,33.3
21,Claudio Bravo,cl CHI,PO,Betis,es La Liga,37,1983,20,20,1800,20.0,25.0,1.25,75,50,72.0,8.0,8.0,4,7.0,35.0,5.0,4.0,1.0,0.0,20.0
22,Fabian Bredlow,de GER,PO,Stuttgart,de Bundesliga,25,1995,1,1,90,1.0,1.0,1.0,9,8,88.9,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
