Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Derribos,Derribos,Derribos,Derribos,Derribos,Desafíos,Desafíos,Desafíos,Desafíos,Bloqueos,Bloqueos,Bloqueos,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,43,23,31,10,2,23,50,46.0,27,31,9,22,45,88,52,1,Partidos
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,48,30,33,9,6,18,36,50.0,18,46,29,17,37,85,97,1,Partidos
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,46,33,29,15,2,17,30,56.7,13,26,14,12,47,93,99,1,Partidos
4,Suleiman Abdullahi,ng NGA,"DL,CC",Union Berlin,de Bundesliga,22,1996,1.7,0,0,0,0,0,0,3,0.0,3,2,1,1,1,1,1,0,Partidos
5,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,26,1992,20.2,55,29,18,32,5,20,53,37.7,33,16,3,13,23,78,8,1,Partidos
6,Charles Abi,fr FRA,DL,Saint-Étienne,fr Ligue 1,19,2000,6.9,9,9,2,5,2,2,7,28.6,5,2,0,2,4,13,4,0,Partidos
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,21,14,16,4,1,15,32,46.9,17,27,11,16,25,46,61,1,Partidos
8,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,21,1997,24.6,8,4,2,5,1,3,14,21.4,11,20,2,18,6,14,27,0,Partidos
9,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,29,1990,7.4,16,8,7,8,1,10,19,52.6,9,18,3,15,7,23,16,2,Partidos
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,59,29,42,12,5,14,20,70.0,6,40,27,13,42,101,109,1,Partidos
11,Che Adams,sct SCO,DL,Southampton,eng Premier League,23,1996,12.3,6,4,1,5,0,1,4,25.0,3,9,1,8,2,8,10,0,Partidos
12,Tyler Adams,us USA,"CC,DF",RB Leipzig,de Bundesliga,20,1999,10.6,22,15,13,8,1,12,25,48.0,13,16,1,15,14,36,14,0,Partidos
13,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,26,1993,8.3,11,7,3,6,2,3,21,14.3,18,8,1,7,2,13,4,0,Partidos
14,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,32,1987,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partidos
15,Bobby Adekanye,nl NED,DL,Lazio,it Serie A,20,1999,2.1,3,2,0,3,0,0,5,0.0,5,0,0,0,2,5,1,0,Partidos
16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,5,3,4,1,0,2,3,66.7,1,4,3,1,3,8,7,0,Partidos
17,Amine Adli,ma MAR,"CC,DL",Toulouse,fr Ligue 1,19,2000,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Partidos
18,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,19,2000,11.3,22,14,4,15,3,11,34,32.4,23,10,0,10,8,30,3,0,Partidos
19,Adrián,es ESP,PO,Liverpool,eng Premier League,32,1987,9.7,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,8,3,Partidos
20,Aritz Aduriz,es ESP,"DL,CC",Athletic Club,es La Liga,38,1981,2.3,3,2,0,3,0,0,0,,0,0,0,0,0,3,2,0,Partidos
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,31,21,19,9,3,16,35,45.7,19,13,2,11,21,52,66,1,Partidos
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,55,30,32,18,5,30,54,55.6,24,19,7,12,18,73,48,0,Partidos
23,Lucien Agoume,fr FRA,CC,Inter,it Serie A,17,2002,0.8,3,2,0,2,1,0,0,,0,3,1,2,0,3,0,0,Partidos
24,Kevin Agudelo,co COL,"CC,DL",Fiorentina,it Serie A,20,1998,0.7,2,1,0,1,1,0,1,0.0,1,1,0,1,1,3,0,0,Partidos
25,Kevin Agudelo,co COL,"CC,DL",Genoa,it Serie A,20,1998,7.4,23,14,9,12,2,10,20,50.0,10,12,1,11,6,29,2,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,13,9,7,5,1,8,12,66.7,4,11,11,0,18,31,54,0,Partidos
