Fee,Market Value,npxG+xAG2020-2021,npxG2020-2021,PrgP2020-2021,G+A2020-2021,npxG+xAG2021-2022,Ass2020-2021,G-TP2020-2021,xAG2021-2022,xG2020-2021,PrgP2021-2022,PrgC2020-2021,G+A2021-2022,xG2021-2022,Gls.2020-2021,Titular2020-2021,PrgC2021-2022,npxG2021-2022,Mín2020-2021,90 s2020-2021,PrgR2021-2022,Gls.2021-2022,xAG2020-2021,G-TP2021-2022,TA2020-2021,Titular2021-2022,Mín2021-2022,90 s2021-2022,PrgR2020-2021,Ass2021-2022,TP2021-2022,npxG2019-2020,npxG+xAG2019-2020,TPint2021-2022,G-TP2019-2020,PJ2020-2021,G+A-TP2020-2021,G-TP.12020-2021,PrgP2019-2020,PrgC2019-2020,TA2021-2022,G+A.12020-2021,xG2019-2020,Gls..12020-2021,PJ2021-2022,Gls.2019-2020,PrgR2019-2020,G+A2019-2020,npxG.12020-2021,xG.12020-2021,Jugador
,3.2,2.1,1.4,103.0,1.0,0.0,1.0,0.0,0.0,1.4,0.0,38.0,0.0,0.0,0.0,20.0,0.0,0.0,1777.0,19.7,0.0,0.0,0.7,0.0,2.0,0.0,0.0,0.0,87.0,0.0,0.0,1.3,5.1,0.0,2.0,22.0,0.05,0.0,143.0,60.0,0.0,0.05,2.1,0.0,0.0,3.0,89.0,5.0,0.07,0.07,Patrick van Aanholt
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rolando Aarons
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ignazio Abate
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aymen Abdennour
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aly Abeid
,2.0,1.8,1.0,65.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,15.0,0.0,0.0,1320.0,14.7,0.0,0.0,0.8,0.0,5.0,0.0,0.0,0.0,16.0,0.0,0.0,1.5,3.3,0.0,1.0,18.0,0.0,0.0,104.0,25.0,0.0,0.0,1.5,0.0,0.0,1.0,42.0,3.0,0.07,0.07,Mehdi Abeid
,,1.0,0.6,55.0,1.0,0.0,0.0,1.0,0.0,0.6,0.0,12.0,0.0,0.0,1.0,14.0,0.0,0.0,1222.0,13.6,0.0,0.0,0.4,0.0,5.0,0.0,0.0,0.0,21.0,0.0,0.0,1.6,1.7,0.0,2.0,14.0,0.07,0.07,99.0,18.0,0.0,0.07,1.6,0.07,0.0,2.0,12.0,2.0,0.04,0.04,David Abraham
,,6.6,5.9,11.0,7.0,23.2,1.0,6.0,4.8,5.9,70.0,12.0,21.0,20.7,6.0,12.0,41.0,18.4,1040.0,11.6,199.0,17.0,0.7,14.0,0.0,36.0,3084.0,34.3,66.0,4.0,3.0,16.4,19.0,3.0,15.0,22.0,0.61,0.52,34.0,31.0,9.0,0.61,16.4,0.52,37.0,15.0,134.0,18.0,0.51,0.51,Tammy Abraham
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.6,0.0,0.0,5.0,0.0,0.0,27.0,8.0,0.0,0.0,0.5,0.0,0.0,0.0,13.0,0.0,0.0,0.0,Amir Abrashi
,4.0,2.1,1.1,141.0,1.0,2.9,1.0,0.0,0.5,1.1,119.0,41.0,4.0,2.4,0.0,32.0,31.0,2.4,2813.0,31.3,10.0,4.0,1.0,4.0,9.0,29.0,2536.0,28.2,46.0,0.0,0.0,2.4,4.2,0.0,2.0,32.0,0.03,0.0,150.0,57.0,2.0,0.03,2.4,0.0,30.0,2.0,36.0,4.0,0.03,0.03,Francesco Acerbi
