Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Duelos aéreos,Duelos aéreos,Duelos aéreos,Unnamed: 25_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,7,0,0,18,10,3,56,47,32,0,0,0,162,6,5,54.5,Partidos
2,Rolando Aarons,eng ENG,"CC,DL",Newcastle Utd,eng Premier League,21,1995,1.5,0,0,0,1,3,1,2,1,4,0,0,0,9,1,3,25.0,Partidos
3,Rolando Aarons,eng ENG,"CC,DL",Hellas Verona,it Serie A,21,1995,5.7,0,0,0,9,11,0,10,2,8,0,0,0,19,9,15,37.5,Partidos
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,3,0,0,12,8,3,31,8,17,0,0,0,56,5,4,55.6,Partidos
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.5,3,0,0,9,6,0,0,4,3,0,0,0,32,7,7,50.0,Partidos
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.9,0,0,0,1,0,0,2,3,1,0,0,0,5,1,2,33.3,Partidos
7,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,24,1992,13.1,2,0,0,29,16,2,6,18,15,0,0,0,93,13,16,44.8,Partidos
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,3,0,0,11,20,0,7,40,32,0,0,1,113,78,42,65.0,Partidos
9,Tammy Abraham,eng ENG,DL,Swansea City,eng Premier League,19,1997,19.2,0,0,0,15,27,9,13,1,8,0,0,0,41,39,58,40.2,Partidos
10,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,27,1990,9.4,2,0,0,20,27,0,5,19,32,0,0,0,55,17,17,50.0,Partidos
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38.0,4,0,0,31,32,1,12,88,32,0,1,1,260,103,40,72.0,Partidos
12,Afriyie Acquah,gh GHA,CC,Torino,it Serie A,25,1992,10.6,4,2,1,17,14,0,12,16,6,0,0,0,68,12,17,41.4,Partidos
13,Charlie Adam,sct SCO,CC,Stoke City,eng Premier League,31,1985,4.6,2,1,0,8,8,0,30,9,5,0,0,0,40,7,4,63.6,Partidos
14,Antonio Adán,es ESP,PO,Betis,es La Liga,30,1987,30.0,4,0,0,1,3,0,0,0,0,0,0,0,41,4,1,80.0,Partidos
15,Aday,es ESP,DF,Girona,es La Liga,29,1987,20.4,10,0,0,39,15,6,134,25,15,0,0,1,97,37,16,69.8,Partidos
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,9,0,0,50,39,1,0,65,24,0,1,0,195,64,46,58.2,Partidos
17,Claud Adjapong,it ITA,"DF,DL",Sassuolo,it Serie A,19,1998,13.6,5,1,0,24,19,2,27,23,26,0,0,0,80,15,15,50.0,Partidos
18,René Adler,de GER,PO,Mainz 05,de Bundesliga,32,1985,14.0,0,0,0,1,4,0,0,0,1,0,1,0,33,5,0,100.0,Partidos
19,Yacine Adli,fr FRA,DL,Paris S-G,fr Ligue 1,17,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Partidos
20,Ali Adnan Kadhim,iq IRQ,"DF,DL",Udinese,it Serie A,23,1993,18.6,4,0,0,21,22,1,88,41,35,0,0,1,94,51,34,60.0,Partidos
21,Adrián,es ESP,PO,West Ham,eng Premier League,30,1987,19.0,2,0,0,1,3,0,0,0,1,0,0,0,20,2,1,66.7,Partidos
22,Aritz Aduriz,es ESP,DL,Athletic Club,es La Liga,36,1981,23.9,5,0,0,42,39,35,20,3,8,0,0,0,45,99,77,56.3,Partidos
23,Ibrahim Afellay,nl NED,CC,Stoke City,eng Premier League,31,1986,1.8,1,0,0,1,0,0,0,1,3,0,0,0,15,0,0,,Partidos
24,Benik Afobe,cd COD,DL,Bournemouth,eng Premier League,24,1993,6.8,0,0,0,9,13,4,2,0,3,1,0,0,17,22,38,36.7,Partidos
25,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,20.3,4,0,0,19,18,0,50,41,33,0,0,0,120,17,13,56.7,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
26,Imanol Agirretxe,es ESP,DL,Real Sociedad,es La Liga,30,1987,2.6,0,0,0,1,4,1,1,0,0,1,0,0,6,8,10,44.4,Partidos
27,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,29,1988,21.8,2,0,0,10,17,16,16,6,6,0,0,0,59,10,19,34.5,Partidos
28,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,24,1993,27.3,2,0,0,29,49,3,95,37,50,0,0,0,174,28,35,44.4,Partidos
29,Matías Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,12.8,3,0,0,19,21,1,19,24,20,0,0,0,87,14,17,45.2,Partidos
30,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,23,1994,33.4,4,0,0,46,49,1,5,75,34,0,0,0,261,48,47,50.5,Partidos
31,Ailton,br BRA,"DF,CC",Stuttgart,de Bundesliga,22,1995,1.2,0,0,0,3,3,0,3,2,5,0,0,0,9,4,2,66.7,Partidos
32,Youssef Aït Bennasser,ma MAR,CC,Caen,fr Ligue 1,21,1996,22.7,4,0,0,20,26,0,11,32,28,0,0,0,207,23,32,41.8,Partidos
33,Arlind Ajeti,al ALB,DF,Crotone,it Serie A,23,1993,14.1,7,0,0,19,6,0,0,34,23,0,1,0,75,20,27,42.6,Partidos
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,10.0,2,0,0,9,4,0,1,7,15,0,0,0,35,14,15,48.3,Partidos
35,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,22,1995,37.3,5,0,0,27,19,2,5,48,32,0,0,0,178,104,89,53.9,Partidos
36,Ager Aketxe,es ESP,CC,Athletic Club,es La Liga,23,1993,0.4,1,0,0,1,0,0,7,1,1,0,0,0,6,0,1,0.0,Partidos
37,Chadrac Akolo,cd COD,"CC,DL",Stuttgart,de Bundesliga,22,1995,12.2,2,0,0,13,12,8,14,5,14,0,0,0,43,10,25,28.6,Partidos
38,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,18.8,1,0,0,22,17,1,6,22,39,0,0,1,91,27,21,56.3,Partidos
39,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,17.2,1,0,0,9,6,2,94,10,14,0,0,0,85,15,17,46.9,Partidos
40,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,24,1992,17.2,4,1,0,40,41,14,3,4,10,1,0,0,38,47,92,33.8,Partidos
41,David Alba,es ESP,DF,Getafe,es La Liga,18,1999,0.7,0,0,0,3,0,0,0,0,1,0,0,0,3,1,2,33.3,Partidos
42,Jordi Alba,es ESP,DF,Barcelona,es La Liga,28,1989,30.5,7,0,0,35,21,16,46,68,42,0,0,0,189,15,21,41.7,Partidos
43,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,28,1988,19.4,5,0,0,15,14,1,2,26,6,0,1,0,73,39,18,68.4,Partidos
44,Luis Alberto,es ESP,"DL,CC",Lazio,it Serie A,24,1992,29.7,5,0,0,19,36,3,213,16,28,1,0,0,145,13,25,34.2,Partidos
45,Raúl Albiol,es ESP,DF,Napoli,it Serie A,31,1985,30.5,7,0,0,28,18,2,3,32,19,0,0,0,216,92,51,64.3,Partidos
46,Miiko Albornoz,cl CHI,"DF,CC",Hannover 96,de Bundesliga,26,1990,7.8,1,0,0,9,14,0,23,5,20,0,0,0,31,10,17,37.0,Partidos
47,Marc Albrighton,eng ENG,"CC,DL",Leicester City,eng Premier League,27,1989,28.2,5,1,0,20,26,2,217,27,33,0,1,0,172,11,15,42.3,Partidos
48,Paco Alcácer,es ESP,"CC,DL",Barcelona,es La Liga,23,1993,7.7,0,0,0,2,9,7,6,11,3,0,0,0,28,7,17,29.2,Partidos
49,Pedro Alcalá,es ESP,DF,Girona,es La Liga,28,1989,7.7,4,0,0,11,3,2,4,14,5,0,0,0,26,19,11,63.3,Partidos
50,Thiago Alcántara,es ESP,"CC,DL",Bayern Munich,de Bundesliga,26,1991,13.9,3,0,0,24,14,1,13,27,35,1,0,0,77,21,17,55.3,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
51,David Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25,1991,2.3,0,0,0,2,2,1,5,7,5,0,0,0,10,5,1,83.3,Partidos
52,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,28,1989,13.1,3,0,0,8,1,0,7,4,13,0,0,0,57,14,29,32.6,Partidos
53,Steve Aldo One,cm CMR,DF,La Coruña,es La Liga,22,1995,1.0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0,Partidos
54,Álex Alegría,es ESP,DL,Levante,es La Liga,24,1992,7.0,1,0,0,16,18,5,2,4,5,0,0,0,16,24,24,50.0,Partidos
55,Iván Alejo,es ESP,"CC,DL",Eibar,es La Liga,22,1995,12.2,5,0,0,25,45,3,109,5,16,0,0,0,67,10,13,43.5,Partidos
56,Alexander,ar ARG,"CC,DL",Leganés,es La Liga,28,1988,11.8,1,0,0,19,18,8,40,22,11,1,0,0,56,2,4,33.3,Partidos
57,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,18,1998,17.5,3,0,0,12,1,3,102,28,25,0,0,0,133,5,17,22.7,Partidos
58,Alexis,es ESP,DF,Alavés,es La Liga,31,1985,24.3,6,0,0,20,14,2,6,30,24,0,0,1,112,28,18,60.9,Partidos
59,Alisson,br BRA,PO,Roma,it Serie A,24,1992,37.0,1,0,0,1,3,0,0,2,0,0,0,0,69,7,0,100.0,Partidos
60,Allan,br BRA,CC,Napoli,it Serie A,26,1991,31.7,2,0,0,37,47,0,29,28,68,0,0,0,244,11,33,25.0,Partidos
61,Joe Allen,wls WAL,CC,Stoke City,eng Premier League,27,1990,34.9,8,0,0,49,49,0,37,58,62,0,0,0,244,36,59,37.9,Partidos
62,Dele Alli,eng ENG,"CC,DL",Tottenham,eng Premier League,21,1996,32.9,7,0,0,43,84,5,18,19,30,1,0,0,181,28,49,36.4,Partidos
63,Júnior Alonso,py PAR,DF,Lille,fr Ligue 1,24,1993,30.9,3,0,0,34,9,0,7,56,31,0,0,1,219,91,43,67.9,Partidos
64,José Alonso Lara,es ESP,CC,Sevilla,es La Liga,17,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Partidos
65,Marcos Alonso,es ESP,"DF,CC",Chelsea,eng Premier League,26,1990,31.7,6,0,0,26,31,8,96,47,33,0,0,0,193,59,52,53.2,Partidos
66,Ricky Álvarez,ar ARG,CC,Sampdoria,it Serie A,29,1988,3.0,0,0,0,5,4,0,21,2,2,0,0,0,15,6,8,42.9,Partidos
67,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,30,1986,16.4,0,0,0,0,5,0,0,0,0,0,0,0,25,5,1,83.3,Partidos
68,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,22,1995,7.5,2,0,0,12,10,0,1,11,7,0,0,0,66,13,12,52.0,Partidos
69,Dani Alves,br BRA,DF,Paris S-G,fr Ligue 1,34,1983,22.9,7,1,0,38,34,4,99,28,57,0,0,0,160,16,19,45.7,Partidos
70,Ibrahim Amadou,fr FRA,"CC,DF",Lille,fr Ligue 1,24,1993,26.7,3,1,0,23,17,0,4,41,29,0,1,0,177,33,27,55.0,Partidos
71,Eloi Amagat,es ESP,CC,Girona,es La Liga,32,1985,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Partidos
72,Morgan Amalfitano,fr FRA,"CC,DL",Rennes,fr Ligue 1,32,1985,8.3,2,2,1,8,14,0,19,4,5,0,0,0,39,2,12,14.3,Partidos
73,Romain Amalfitano,fr FRA,CC,Dijon,fr Ligue 1,27,1989,30.0,5,0,0,35,52,0,20,85,37,0,0,0,228,13,29,31.0,Partidos
74,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,22,1994,5.4,1,2,1,5,7,0,0,7,4,0,0,0,30,10,7,58.8,Partidos
75,Jordi Amat,id IDN,"DF,CC",Betis,es La Liga,25,1992,22.7,7,2,1,38,10,0,0,38,23,0,2,1,112,29,30,49.2,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
76,Amath,sn SEN,"CC,DL",Getafe,es La Liga,21,1996,31.8,9,0,0,72,62,10,21,33,53,0,0,0,183,19,47,28.8,Partidos
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,23,1994,24.4,7,0,0,30,22,1,60,45,35,0,1,0,170,42,21,66.7,Partidos
78,Stephan Ambrosius,gh GHA,DF,Hamburger SV,de Bundesliga,18,1998,0.5,0,0,0,0,0,1,0,1,0,0,0,0,3,0,2,0.0,Partidos
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,19,1998,35.0,3,1,0,28,15,0,43,45,43,0,1,0,155,36,38,48.6,Partidos
80,Nadiem Amiri,de GER,CC,Hoffenheim,de Bundesliga,20,1996,19.4,4,0,0,42,38,3,49,17,26,0,0,0,106,6,14,30.0,Partidos
81,Ethan Ampadu,wls WAL,DF,Chelsea,eng Premier League,16,2000,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,33.3,Partidos
82,Nordin Amrabat,ma MAR,DL,Watford,eng Premier League,30,1987,2.2,0,0,0,6,2,2,9,0,3,0,0,0,8,3,6,33.3,Partidos
83,Nordin Amrabat,ma MAR,"DL,CC",Leganés,es La Liga,30,1987,18.0,6,1,1,54,36,25,61,5,10,0,1,0,76,12,23,34.3,Partidos
84,Jon Ander Serantes,es ESP,PO,Leganés,es La Liga,27,1989,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Partidos
85,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,21,1996,6.1,0,0,0,3,4,0,0,9,3,0,0,0,33,17,2,89.5,Partidos
86,Felipe Anderson,br BRA,"DL,CC",Lazio,it Serie A,24,1993,12.9,0,0,0,9,15,0,74,11,21,0,0,0,72,3,12,20.0,Partidos
87,Florin Andone,ro ROU,DL,La Coruña,es La Liga,24,1993,18.2,6,0,0,59,19,17,17,3,7,0,0,0,50,32,70,31.4,Partidos
88,Nícolas Andrade,br BRA,PO,Hellas Verona,it Serie A,29,1988,36.0,2,1,0,2,11,0,0,2,1,0,1,0,39,6,1,85.7,Partidos
89,Benjamin André,fr FRA,CC,Rennes,fr Ligue 1,26,1990,33.5,11,1,1,72,48,1,21,57,54,0,0,0,259,187,151,55.3,Partidos
90,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,31,1986,20.3,5,0,0,29,8,0,4,30,17,0,0,0,58,45,27,62.5,Partidos
91,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,28,1989,23.0,4,0,0,21,15,0,59,37,30,0,0,0,145,31,23,57.4,Partidos
92,Miguel Ángel Guerrero,es ESP,DL,Leganés,es La Liga,27,1990,16.0,3,0,0,36,23,13,1,9,5,0,0,0,37,42,41,50.6,Partidos
93,José Ángel,es ESP,DF,Eibar,es La Liga,27,1989,27.0,4,0,0,20,17,1,226,38,44,0,0,0,187,36,29,55.4,Partidos
94,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,33,1984,8.5,0,0,0,1,0,0,0,2,0,0,1,0,22,2,0,100.0,Partidos
95,Miguel Ángel Rubio,es ESP,DF,Getafe,es La Liga,19,1998,0.3,0,0,0,1,1,0,0,0,0,0,0,0,2,3,1,75.0,Partidos
96,Gabriele Angella,it ITA,DF,Udinese,it Serie A,28,1989,9.9,3,0,0,18,4,0,2,21,13,0,3,0,56,30,13,69.8,Partidos
97,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,30,1986,20.8,6,2,1,26,36,0,78,20,33,1,1,0,121,5,13,27.8,Partidos
98,Luca Antei,it ITA,DF,Benevento,it Serie A,25,1992,6.6,1,1,0,10,7,0,1,26,14,0,0,0,28,7,4,63.6,Partidos
99,Mirco Antenucci,it ITA,DL,SPAL,it Serie A,32,1984,28.6,1,0,0,36,70,33,33,11,13,1,0,0,85,21,44,32.3,Partidos
100,Waldemar Anton,de GER,"DF,CC",Hannover 96,de Bundesliga,21,1996,25.3,1,0,0,20,30,0,8,39,49,0,1,0,154,73,46,61.3,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
101,Luca Antonelli,it ITA,"DF,DL",Milan,it Serie A,30,1987,1.6,1,0,0,1,4,1,0,1,1,0,0,0,6,1,1,50.0,Partidos
102,Michail Antonio,jm JAM,"DL,CC",West Ham,eng Premier League,27,1990,15.0,1,0,0,17,30,7,55,13,9,1,0,0,71,43,53,44.8,Partidos
103,Mirko Antonucci,it ITA,DL,Roma,it Serie A,18,1999,0.3,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,,Partidos
104,Vitorino Antunes,pt POR,DF,Getafe,es La Liga,30,1987,31.1,14,0,0,50,36,1,149,58,44,0,0,0,172,18,23,43.9,Partidos
105,Dennis Aogo,de GER,"CC,DF",Stuttgart,de Bundesliga,30,1987,21.7,5,0,0,33,12,0,104,29,26,0,1,0,96,11,12,47.8,Partidos
106,Houssem Aouar,dz ALG,"CC,DL",Lyon,fr Ligue 1,19,1998,27.0,1,0,0,20,46,6,14,39,42,0,0,0,198,22,30,42.3,Partidos
107,Alberto Aquilani,it ITA,CC,Las Palmas,es La Liga,33,1984,14.4,4,0,0,18,14,1,7,23,19,0,0,0,94,11,13,45.8,Partidos
108,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,21,1995,23.6,9,1,1,49,42,0,6,25,41,0,0,0,166,17,31,35.4,Partidos
109,Guilherme Arana,br BRA,DF,Sevilla,es La Liga,20,1997,2.1,0,0,0,2,2,0,3,5,2,0,0,1,19,2,3,40.0,Partidos
110,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,28,1989,25.6,4,0,0,41,52,1,22,48,61,0,1,0,177,13,29,31.0,Partidos
111,Luiz Araújo,br BRA,"DL,CC",Lille,fr Ligue 1,21,1996,22.4,5,0,0,28,25,6,69,16,31,0,0,0,101,5,14,26.3,Partidos
112,Sergio Araujo,ar ARG,"CC,DL",Las Palmas,es La Liga,25,1992,0.4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0.0,Partidos
113,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,30,1987,26.8,8,0,0,26,11,0,11,78,30,0,2,1,238,44,35,55.7,Partidos
114,Alphonse Areola,fr FRA,PO,Paris S-G,fr Ligue 1,24,1993,34.0,0,0,0,0,2,0,0,0,0,0,0,0,88,7,0,100.0,Partidos
115,Scott Arfield,ca CAN,"CC,DL",Burnley,eng Premier League,28,1988,14.8,3,0,0,21,14,1,8,11,26,0,0,0,83,11,30,26.8,Partidos
116,Samuel Armenteros,se SWE,DL,Benevento,it Serie A,27,1990,4.8,1,0,0,8,3,9,1,1,2,0,0,0,7,7,18,28.0,Partidos
117,Yoël Armougom,fr FRA,"DF,CC",Caen,fr Ligue 1,19,1998,1.5,0,0,0,2,2,0,9,1,1,0,0,0,5,3,3,50.0,Partidos
118,José Arnaiz,es ESP,CC,Barcelona,es La Liga,22,1995,0.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,Partidos
119,Marko Arnautović,at AUT,"DL,CC",West Ham,eng Premier League,28,1989,25.7,5,1,0,35,29,43,61,13,16,0,0,0,103,22,39,36.1,Partidos
120,Maximilian Arnold,de GER,CC,Wolfsburg,de Bundesliga,23,1994,27.3,9,1,0,52,80,3,114,28,41,0,1,0,127,21,34,38.2,Partidos
121,Jann-Fiete Arp,de GER,"DL,CC",Hamburger SV,de Bundesliga,17,2000,9.4,1,0,0,22,18,3,2,2,5,0,0,0,17,18,46,28.1,Partidos
122,Alejandro Arribas,es ESP,DF,La Coruña,es La Liga,28,1989,3.0,0,0,0,5,2,0,0,6,2,0,1,1,15,2,4,33.3,Partidos
123,Kepa Arrizabalaga,es ESP,PO,Athletic Club,es La Liga,22,1994,30.0,3,0,0,1,7,0,0,2,0,0,1,0,47,5,1,83.3,Partidos
124,Harry Arter,ie IRL,CC,Bournemouth,eng Premier League,27,1989,10.7,4,0,0,9,15,0,5,9,16,0,0,0,66,6,2,75.0,Partidos
125,Aythami Artiles,es ESP,DF,Las Palmas,es La Liga,31,1986,2.0,0,0,0,0,1,0,0,2,2,0,0,0,9,5,0,100.0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
126,Kwadwo Asamoah,gh GHA,DF,Juventus,it Serie A,28,1988,17.4,4,0,0,13,30,1,31,18,21,0,0,0,100,11,8,57.9,Partidos
127,Takuma Asano,jp JPN,"DL,CC",Stuttgart,de Bundesliga,22,1994,8.0,1,0,0,11,8,13,11,3,5,0,0,0,32,6,31,16.2,Partidos
128,Santiago Ascacíbar,ar ARG,CC,Stuttgart,de Bundesliga,20,1997,26.5,11,1,1,34,58,0,7,47,65,1,0,0,161,27,36,42.9,Partidos
129,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,28,1989,23.0,3,0,0,2,3,0,0,0,2,0,1,0,32,7,1,87.5,Partidos
130,Marco Asensio,es ESP,"DL,CC",Real Madrid,es La Liga,21,1996,20.5,2,0,0,9,27,3,106,9,17,0,0,0,77,3,3,50.0,Partidos
131,Iago Aspas,es ESP,DL,Celta Vigo,es La Liga,29,1987,32.6,9,0,0,23,62,11,62,23,22,1,0,0,137,15,40,27.3,Partidos
132,Benoît Assou-Ekotto,cm CMR,DF,Metz,fr Ligue 1,33,1984,11.7,2,2,1,11,9,1,21,46,9,0,0,0,86,3,8,27.3,Partidos
