Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Saques de esquina,Saques de esquina,Saques de esquina,Resultados,Resultados,Resultados,Unnamed: 24_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,1176,897,276,30,3,2,56,235,11,3,5,2,884,3,31,Partidos
2,Rolando Aarons,eng ENG,"CC,DL",Newcastle Utd,eng Premier League,21,1995,1.5,44,41,2,2,0,1,2,0,0,0,0,0,29,1,3,Partidos
3,Rolando Aarons,eng ENG,"CC,DL",Hellas Verona,it Serie A,21,1995,5.7,120,110,10,4,0,0,10,4,0,0,0,0,87,0,5,Partidos
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,776,653,119,7,0,2,31,112,0,0,0,0,625,4,21,Partidos
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.5,333,325,7,7,0,3,0,0,0,0,0,0,310,1,2,Partidos
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.9,38,30,8,0,0,0,2,8,0,0,0,0,29,0,2,Partidos
7,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,24,1992,13.1,605,587,17,12,0,5,6,3,2,1,0,0,513,1,8,Partidos
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,1321,1267,50,44,0,27,7,6,0,0,0,0,1088,4,6,Partidos
9,Tammy Abraham,eng ENG,DL,Swansea City,eng Premier League,19,1997,19.2,314,286,28,0,2,1,13,1,0,0,0,0,206,0,6,Partidos
10,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,27,1990,9.4,321,315,6,5,0,2,5,1,0,0,0,0,248,0,6,Partidos
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38.0,1650,1529,118,89,2,24,12,28,0,0,0,0,1391,3,9,Partidos
12,Afriyie Acquah,gh GHA,CC,Torino,it Serie A,25,1992,10.6,478,468,8,6,0,1,12,0,0,0,0,0,405,2,9,Partidos
13,Charlie Adam,sct SCO,CC,Stoke City,eng Premier League,31,1985,4.6,285,252,28,14,3,4,30,4,10,3,4,3,168,5,9,Partidos
14,Antonio Adán,es ESP,PO,Betis,es La Liga,30,1987,30.0,1256,911,344,91,0,1,0,0,0,0,0,0,868,1,1,Partidos
15,Aday,es ESP,DF,Girona,es La Liga,29,1987,20.4,1047,835,209,16,1,15,134,190,3,0,2,0,738,3,37,Partidos
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,1157,1091,64,63,1,5,0,1,0,0,0,0,960,2,9,Partidos
