Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Expectativa,Expectativa,Expectativa,Expectativa,Progresión,Progresión,Progresión,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Unnamed: 37_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,3,3,204,2.3,0,0,0,0,0,0,3,0,0.0,0.0,0.4,0.4,3,8,8,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,Partidos
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,36,36,3195,35.5,3,2,5,3,0,0,3,0,2.6,2.6,4.4,7.0,89,212,106,0.08,0.06,0.14,0.08,0.14,0.07,0.12,0.20,0.07,0.20,Partidos
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,19,15,1302,14.5,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.4,27,88,43,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
4,Issah Abbas,gh GHA,DL,Mainz 05,de Bundesliga,19,1998,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29,Partidos
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,38,3420,38.0,0,0,0,0,0,0,2,0,1.6,1.6,0.1,1.8,16,71,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05,0.04,0.05,Partidos
6,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,25,1992,26,23,2023,22.5,3,0,3,2,1,1,6,0,2.9,2.1,1.6,3.8,43,97,50,0.13,0.00,0.13,0.09,0.09,0.13,0.07,0.20,0.10,0.17,Partidos
7,Charles Abi,fr FRA,"DF,DL",Saint-Étienne,fr Ligue 1,18,2000,3,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,0,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.29,0.17,0.29,Partidos
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,17,17,1420,15.8,0,0,0,0,0,0,2,0,0.8,0.8,0.4,1.1,20,80,7,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.07,0.05,0.07,Partidos
9,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,28,1990,10,9,790,8.8,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,6,19,9,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Partidos
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,37,37,3309,36.8,3,1,4,3,0,0,4,1,3.4,3.4,1.0,4.3,39,135,17,0.08,0.03,0.11,0.08,0.11,0.09,0.03,0.12,0.09,0.12,Partidos
11,Afriyie Acquah,gh GHA,CC,Empoli,it Serie A,26,1992,28,19,1510,16.8,2,0,2,2,0,0,4,0,1.4,1.4,0.8,2.2,58,91,76,0.12,0.00,0.12,0.12,0.12,0.09,0.05,0.13,0.09,0.13,Partidos
12,Tyler Adams,us USA,CC,RB Leipzig,de Bundesliga,19,1999,10,8,721,8.0,0,2,2,0,0,0,0,0,0.1,0.1,1.0,1.1,19,64,12,0.00,0.25,0.25,0.00,0.25,0.01,0.13,0.13,0.01,0.13,Partidos
13,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,31,1987,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
14,Aday,es ESP,"DF,CC",Girona,es La Liga,30,1987,10,8,645,7.2,0,2,2,0,0,0,2,0,0.3,0.3,1.5,1.8,35,11,40,0.00,0.28,0.28,0.00,0.28,0.04,0.21,0.25,0.04,0.25,Partidos
15,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,23,22,1994,22.2,0,0,0,0,0,0,7,1,0.7,0.7,0.1,0.9,13,63,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Partidos
16,Claud Adjapong,it ITA,"CC,DL",Sassuolo,it Serie A,20,1998,5,3,270,3.0,1,0,1,1,0,0,1,0,0.7,0.7,0.1,0.8,6,4,19,0.33,0.00,0.33,0.33,0.33,0.24,0.02,0.26,0.24,0.26,Partidos
17,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,18,2000,7,2,216,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.8,0.8,13,17,17,0.00,0.00,0.00,0.00,0.00,0.01,0.34,0.34,0.01,0.34,Partidos
18,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,it Serie A,24,1993,3,2,166,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,7,8,11,0.00,0.00,0.00,0.00,0.00,0.13,0.06,0.20,0.13,0.20,Partidos
19,Aritz Aduriz,es ESP,DL,Athletic Club,es La Liga,37,1981,20,10,943,10.5,2,0,2,0,2,2,5,0,3.3,1.8,0.7,2.5,8,15,57,0.19,0.00,0.19,0.00,0.00,0.32,0.07,0.38,0.17,0.23,Partidos
20,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,28,27,2389,26.5,1,3,4,1,0,0,6,2,1.1,1.1,2.4,3.5,51,90,136,0.04,0.11,0.15,0.04,0.15,0.04,0.09,0.13,0.04,0.13,Partidos
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,27,23,2032,22.6,0,0,0,0,0,0,4,0,0.0,0.0,0.5,0.5,36,89,56,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Partidos
22,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,13,12,1050,11.7,3,0,3,3,0,0,4,1,1.5,1.5,0.1,1.6,11,32,3,0.26,0.00,0.26,0.26,0.26,0.13,0.01,0.14,0.13,0.14,Partidos
23,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,30,1988,33,31,2459,27.3,21,8,29,19,2,2,4,0,18.1,16.5,5.0,21.5,81,76,253,0.77,0.29,1.06,0.70,0.99,0.66,0.18,0.85,0.60,0.79,Partidos
24,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,25,1993,29,29,2528,28.1,1,4,5,1,0,0,8,0,0.9,0.9,2.5,3.4,85,128,155,0.04,0.14,0.18,0.04,0.18,0.03,0.09,0.12,0.03,0.12,Partidos
25,Juan Aguilera,es ESP,CC,Huesca,es La Liga,32,1985,6,4,344,3.8,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,8,21,2,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
26,Emmanuel Agyemang-Badu,gh GHA,CC,Udinese,it Serie A,27,1990,4,2,161,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,5,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Partidos
27,Jean-Eudes Aholou,ci CIV,CC,Monaco,fr Ligue 1,24,1994,17,12,1075,11.9,0,1,1,0,0,0,2,0,0.8,0.8,0.6,1.5,36,64,27,0.00,0.08,0.08,0.00,0.08,0.07,0.05,0.12,0.07,0.12,Partidos
28,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,2,1,80,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
29,Ola Aina,ng NGA,DF,Torino,it Serie A,21,1996,30,22,2160,24.0,1,3,4,1,0,0,5,1,1.4,1.4,2.5,4.0,62,97,96,0.04,0.12,0.17,0.04,0.17,0.06,0.11,0.17,0.06,0.17,Partidos
30,Youssef Aït Bennasser,ma MAR,CC,Saint-Étienne,fr Ligue 1,22,1996,13,11,936,10.4,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,6,67,12,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.02,0.07,Partidos
31,Youssef Aït Bennasser,ma MAR,CC,Monaco,fr Ligue 1,22,1996,13,12,1073,11.9,0,2,2,0,0,0,2,0,0.3,0.3,0.8,1.1,21,86,13,0.00,0.17,0.17,0.00,0.17,0.02,0.07,0.09,0.02,0.09,Partidos
32,Rayan Aït Nouri,dz ALG,"DF,CC",Angers,fr Ligue 1,17,2001,3,0,57,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
33,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,24,1994,25,18,1531,17.0,9,1,10,9,0,0,5,0,5.7,5.7,1.0,6.7,11,25,126,0.53,0.06,0.59,0.53,0.59,0.34,0.06,0.40,0.34,0.40,Partidos
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,25,25,2205,24.5,1,0,1,1,0,0,1,0,0.5,0.5,0.6,1.1,24,122,11,0.04,0.00,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.04,Partidos
35,Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,13,12,1023,11.4,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,33,34,28,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Partidos
36,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,38,38,3411,37.9,4,0,4,4,0,0,3,0,3.4,3.4,1.0,4.4,20,98,25,0.11,0.00,0.11,0.11,0.11,0.09,0.03,0.11,0.09,0.11,Partidos
37,Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,5,7,9,0.00,0.50,0.50,0.00,0.50,0.00,0.03,0.03,0.00,0.03,Partidos
38,Chadrac Akolo,cd COD,"CC,DL",Stuttgart,de Bundesliga,23,1995,16,5,525,5.8,0,1,1,0,0,0,0,0,0.9,0.9,0.5,1.4,14,14,40,0.00,0.17,0.17,0.00,0.17,0.16,0.08,0.24,0.16,0.24,Partidos
39,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,8,5,499,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,4,33,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
