Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Unnamed: 11_level_0,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Tiros penales,Tiros penales,Tiros penales,Tiros penales,Tiros penales,Unnamed: 27_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,TPint,PD,PD.1,PC,% Salvadas,Partidos
1,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,32,1987,1,0,25,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Partidos
2,Adrián,es ESP,PO,Liverpool,eng Premier League,32,1987,11,9,875,9.7,10,1.03,27,17,63.0,9,0,0,2,22.2,0,0,0,0,,Partidos
3,Rúnar Alex Rúnarsson,is ISL,PO,Dijon,fr Ligue 1,24,1995,11,9,900,10.0,17,1.70,47,31,63.8,1,2,6,0,0.0,0,0,0,0,,Partidos
4,Enrico Alfonso,it ITA,PO,Brescia,it Serie A,31,1988,4,4,279,3.1,4,1.29,11,7,63.6,1,0,3,1,25.0,0,0,0,0,,Partidos
5,Alisson,br BRA,PO,Liverpool,eng Premier League,26,1992,29,29,2543,28.3,23,0.81,80,58,72.5,23,3,3,13,44.8,1,1,0,0,0.0,Partidos
6,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,32,1986,4,4,180,2.0,1,0.50,3,2,66.7,1,1,0,1,25.0,0,0,0,0,,Partidos
7,Lorenzo Andrenacci,it ITA,PO,Brescia,it Serie A,24,1995,6,5,531,5.9,16,2.71,44,28,63.6,0,1,4,0,0.0,1,0,0,1,,Partidos
8,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,35,1984,13,13,1170,13.0,16,1.23,51,36,68.6,5,4,4,3,23.1,1,0,0,1,,Partidos
9,Alphonse Areola,fr FRA,PO,Real Madrid,es La Liga,26,1993,4,4,360,4.0,5,1.25,14,9,78.6,3,1,0,1,25.0,2,2,0,0,0.0,Partidos
10,Alphonse Areola,fr FRA,PO,Paris S-G,fr Ligue 1,26,1993,3,3,270,3.0,2,0.67,3,1,33.3,2,0,1,2,66.7,0,0,0,0,,Partidos
11,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,24,1994,33,33,2970,33.0,47,1.42,99,54,54.5,18,4,11,8,24.2,2,2,0,0,0.0,Partidos
12,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,30,1989,34,34,3060,34.0,41,1.21,145,104,75.2,17,4,13,11,32.4,6,5,1,0,16.7,Partidos
13,Emil Audero,it ITA,PO,Sampdoria,it Serie A,22,1997,36,36,3240,36.0,60,1.67,165,109,67.9,12,5,19,9,25.0,8,7,0,1,0.0,Partidos
14,Stefan Bajic,fr FRA,PO,Saint-Étienne,fr Ligue 1,17,2001,1,1,90,1.0,1,1.00,2,1,50.0,0,0,1,0,0.0,0,0,0,0,,Partidos
15,Oliver Baumann,de GER,PO,Hoffenheim,de Bundesliga,29,1990,30,30,2700,30.0,49,1.63,146,97,69.9,13,7,10,7,23.3,7,5,2,0,28.6,Partidos
16,Asmir Begović,ba BIH,PO,Milan,it Serie A,32,1987,2,1,129,1.4,3,2.09,7,4,71.4,0,0,1,0,0.0,1,1,0,0,0.0,Partidos
17,Walter Benítez,ar ARG,PO,Nice,fr Ligue 1,26,1993,26,26,2340,26.0,36,1.38,130,95,75.4,9,8,9,4,15.4,6,4,1,1,20.0,Partidos
18,Etrit Berisha,al ALB,PO,SPAL,it Serie A,30,1989,26,26,2340,26.0,44,1.69,147,105,74.1,5,3,18,3,11.5,6,6,0,0,0.0,Partidos
19,Paul Bernardoni,fr FRA,PO,Nîmes,fr Ligue 1,22,1997,25,25,2204,24.5,38,1.55,108,71,68.5,7,4,14,6,24.0,4,4,0,0,0.0,Partidos
20,Dimitry Bertaud,fr FRA,PO,Montpellier,fr Ligue 1,21,1998,3,3,196,2.2,3,1.38,5,2,40.0,0,0,3,0,0.0,0,0,0,0,,Partidos
21,Rubén Blanco,es ESP,PO,Celta Vigo,es La Liga,24,1995,33,33,2960,32.9,43,1.31,135,92,71.9,6,14,13,10,30.3,5,5,0,0,0.0,Partidos
22,Yassine Bounou,ma MAR,PO,Sevilla,es La Liga,28,1991,6,5,495,5.5,3,0.55,20,17,90.0,4,1,0,4,80.0,1,1,0,0,0.0,Partidos
23,Federico Brancolini,it ITA,PO,Fiorentina,it Serie A,18,2001,1,0,6,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Partidos
24,Claudio Bravo,cl CHI,PO,Manchester City,eng Premier League,36,1983,4,3,347,3.9,7,1.82,15,8,53.3,2,0,1,1,33.3,0,0,0,0,,Partidos
25,Gianluigi Buffon,it ITA,PO,Juventus,it Serie A,41,1978,9,9,810,9.0,10,1.11,33,23,72.7,7,1,1,1,11.1,2,1,0,1,0.0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,TPint,PD,PD,PC,% Salvadas,Partidos
26,Roman Bürki,ch SUI,PO,Dortmund,de Bundesliga,28,1990,31,31,2770,30.8,40,1.30,95,58,61.1,19,5,7,12,38.7,3,3,0,0,0.0,Partidos
27,Ludovic Butelle,fr FRA,PO,Angers,fr Ligue 1,36,1983,26,26,2340,26.0,32,1.23,83,51,65.1,10,6,10,11,42.3,3,3,0,0,0.0,Partidos
28,Marcin Bułka,pl POL,PO,Paris S-G,fr Ligue 1,19,1999,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Partidos
29,Willy Caballero,ar ARG,PO,Chelsea,eng Premier League,37,1981,5,5,450,5.0,7,1.40,16,10,56.3,2,2,1,1,20.0,0,0,0,0,,Partidos
30,Matis Carvalho,pt POR,PO,Montpellier,fr Ligue 1,20,1999,1,0,71,0.8,4,5.07,8,5,50.0,0,0,0,0,,0,0,0,0,,Partidos
