Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,ACT,ACT,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,ACG,ACG,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Unnamed: 25_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,30,1.52,27,2,1,0,0,0,3,0.15,2,1,0,0,0,0,Partidos
3,Issah Abbas,gh GHA,"DF,DL",Mainz 05,de Bundesliga,21,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,17,0.53,15,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Partidos
5,Sabit Abdulai,gh GHA,CC,Getafe,es La Liga,21,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
6,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,27,1992,14.7,31,2.11,18,5,3,1,2,2,1,0.07,1,0,0,0,0,0,Partidos
7,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,27,1993,32.9,59,1.79,45,0,3,6,4,1,9,0.27,6,0,1,1,1,0,Partidos
8,Charles Abi,fr FRA,"DL,CC",Saint-Étienne,fr Ligue 1,20,2000,10.1,14,1.38,11,0,2,0,1,0,3,0.30,2,0,1,0,0,0,Partidos
9,Matthis Abline,fr FRA,DL,Rennes,fr Ligue 1,17,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,9,0.64,5,1,0,2,1,0,0,0.00,0,0,0,0,0,0,Partidos
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,5,0.37,3,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
12,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,22,1997,11.6,17,1.47,9,0,2,4,2,0,2,0.17,1,0,0,0,1,0,Partidos
13,Amir Abrashi,al ALB,"CC,DF",Freiburg,de Bundesliga,30,1990,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
14,Gennaro Acampora,it ITA,"CC,DL",Spezia,it Serie A,26,1994,4.9,8,1.63,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,31,0.99,26,1,0,2,0,2,5,0.16,5,0,0,0,0,0,Partidos
16,Ragnar Ache,de GER,"DL,DF",Eint Frankfurt,de Bundesliga,22,1998,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,68,2.63,47,12,6,2,0,1,8,0.31,5,2,0,1,0,0,Partidos
18,Che Adams,sct SCO,DL,Southampton,eng Premier League,24,1996,29.6,68,2.29,50,0,2,7,9,0,7,0.24,6,0,0,0,1,0,Partidos
