RL2017-2018,Jugador2017-2018,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,Int.2017-2018,Balón vivo2017-2018,Balón muerto2017-2018,FK2017-2018,PL2017-2018,Camb.2017-2018,Pcz2017-2018,Lanz.2017-2018,SE2017-2018,Dentro2017-2018,Fuera2017-2018,Rect.2017-2018,Cmp2017-2018,PA2017-2018,Bloqueos2017-2018
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26.0,1990.0,24.3,1176.0,897.0,276.0,30.0,3.0,2.0,56.0,235.0,11.0,3.0,5.0,2.0,884.0,3.0,31.0
5,Rolando Aarons,eng ENG,"CC,DL",Newcastle Utd,eng Premier League,21.0,1995.0,7.2,164.0,151.0,12.0,6.0,0.0,1.0,12.0,4.0,0.0,0.0,0.0,0.0,116.0,1.0,8.0
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30.0,1986.0,11.7,776.0,653.0,119.0,7.0,0.0,2.0,31.0,112.0,0.0,0.0,0.0,0.0,625.0,4.0,21.0
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27.0,1989.0,5.5,333.0,325.0,7.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,1.0,2.0
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19.0,1997.0,0.9,38.0,30.0,8.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,29.0,0.0,2.0
7,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,24.0,1992.0,13.1,605.0,587.0,17.0,12.0,0.0,5.0,6.0,3.0,2.0,1.0,0.0,0.0,513.0,1.0,8.0
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31.0,1986.0,25.6,1321.0,1267.0,50.0,44.0,0.0,27.0,7.0,6.0,0.0,0.0,0.0,0.0,1088.0,4.0,6.0
9,Tammy Abraham,eng ENG,DL,Swansea City,eng Premier League,19.0,1997.0,19.2,314.0,286.0,28.0,0.0,2.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,206.0,0.0,6.0
10,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,27.0,1990.0,9.4,321.0,315.0,6.0,5.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,248.0,0.0,6.0
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29.0,1988.0,38.0,1650.0,1529.0,118.0,89.0,2.0,24.0,12.0,28.0,0.0,0.0,0.0,0.0,1391.0,3.0,9.0
12,Afriyie Acquah,gh GHA,CC,Torino,it Serie A,25.0,1992.0,10.6,478.0,468.0,8.0,6.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,405.0,2.0,9.0
13,Charlie Adam,sct SCO,CC,Stoke City,eng Premier League,31.0,1985.0,4.6,285.0,252.0,28.0,14.0,3.0,4.0,30.0,4.0,10.0,3.0,4.0,3.0,168.0,5.0,9.0
14,Antonio Adán,es ESP,PO,Betis,es La Liga,30.0,1987.0,30.0,1256.0,911.0,344.0,91.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,868.0,1.0,1.0
