RL2018-2019,Jugador2018-2019,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,90 s2018-2019,TA2018-2019,TR2018-2019,2a amarilla2018-2019,Fls2018-2019,FR2018-2019,PA2018-2019,Pcz2018-2019,Int2018-2019,TklG2018-2019,Penal ejecutado2018-2019,Penal concedido2018-2019,GC2018-2019,Recup.2018-2019,Ganados2018-2019,Perdidos2018-2019,% de ganados2018-2019
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,3,0,0,6,0,0,11,8,6,0,0,0,18,1,5,16.7
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,3,0,0,12,14,10,42,40,24,0,0,0,216,10,12,45.5
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,4,0,0,13,6,0,26,18,19,0,1,0,71,13,8,61.9
4,Issah Abbas,gh GHA,DL,Mainz 05,de Bundesliga,19,1998,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,2,0,0,34,20,1,0,65,33,0,1,1,205,113,71,61.4
6,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,25,1992,22.5,6,0,0,57,28,1,24,29,33,0,0,0,145,17,26,39.5
7,Charles Abi,fr FRA,"DF,DL",Saint-Étienne,fr Ligue 1,18,2000,0.4,0,0,0,2,1,0,0,0,4,0,0,0,5,2,1,66.7
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,2,0,0,11,9,0,8,24,14,0,0,0,104,40,22,64.5
9,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,28,1990,8.8,5,0,0,19,16,0,2,14,11,0,0,0,61,5,4,55.6
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,4,1,1,24,42,3,6,61,30,0,0,0,226,96,43,69.1
11,Afriyie Acquah,gh GHA,CC,Empoli,it Serie A,26,1992,16.8,4,0,0,27,32,1,34,12,9,0,0,0,88,22,28,44.0
12,Tyler Adams,us USA,CC,RB Leipzig,de Bundesliga,19,1999,8.0,0,0,0,13,11,0,2,16,17,0,0,0,60,17,14,54.8
13,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,31,1987,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,Aday,es ESP,"DF,CC",Girona,es La Liga,30,1987,7.2,2,0,0,6,8,0,50,7,8,0,1,0,24,2,5,28.6
