RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl.1,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,35.0,22,18.0,17.0,0.0,19.0,43.0,44.2,24.0,18.0,6.0,12.0,30,65.0,40.0,2.0
3,Issah Abbas,gh GHA,"DF,DL",Mainz 05,de Bundesliga,21,1998,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,59.0,37,36.0,23.0,0.0,26.0,42.0,61.9,16.0,34.0,15.0,19.0,61,120.0,132.0,0.0
5,Sabit Abdulai,gh GHA,CC,Getafe,es La Liga,21,1999,0.7,2.0,0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0
6,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,27,1992,14.7,34.0,19,16.0,14.0,4.0,15.0,30.0,50.0,15.0,9.0,2.0,7.0,20,54.0,10.0,0.0
7,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,27,1993,32.9,145.0,84,64.0,69.0,12.0,54.0,162.0,33.3,108.0,64.0,6.0,58.0,46,191.0,12.0,0.0
8,Charles Abi,fr FRA,"DL,CC",Saint-Étienne,fr Ligue 1,20,2000,10.1,8.0,2,5.0,0.0,3.0,3.0,12.0,25.0,9.0,6.0,2.0,4.0,4,12.0,5.0,0.0
9,Matthis Abline,fr FRA,DL,Rennes,fr Ligue 1,17,2003,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,15.0,13,10.0,5.0,0.0,6.0,10.0,60.0,4.0,7.0,4.0,3.0,27,42.0,87.0,0.0
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,18.0,12,13.0,3.0,2.0,11.0,17.0,64.7,6.0,13.0,4.0,9.0,17,35.0,34.0,0.0
12,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,22,1997,11.6,7.0,5,3.0,3.0,1.0,1.0,7.0,14.3,6.0,6.0,0.0,6.0,5,12.0,17.0,0.0
13,Amir Abrashi,al ALB,"CC,DF",Freiburg,de Bundesliga,30,1990,0.7,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,2,3.0,1.0,0.0
14,Gennaro Acampora,it ITA,"CC,DL",Spezia,it Serie A,26,1994,4.9,6.0,4,1.0,4.0,1.0,2.0,7.0,28.6,5.0,4.0,1.0,3.0,4,10.0,4.0,0.0
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,51.0,32,34.0,13.0,4.0,18.0,40.0,45.0,22.0,24.0,15.0,9.0,76,127.0,121.0,2.0
16,Ragnar Ache,de GER,"DL,DF",Eint Frankfurt,de Bundesliga,22,1998,1.1,2.0,0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,1.0,1,3.0,1.0,0.0
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,62.0,42,34.0,20.0,8.0,23.0,41.0,56.1,18.0,23.0,2.0,21.0,23,85.0,30.0,1.0
18,Che Adams,sct SCO,DL,Southampton,eng Premier League,24,1996,29.6,25.0,16,4.0,15.0,6.0,6.0,17.0,35.3,11.0,20.0,2.0,18.0,4,29.0,19.0,1.0
19,Tyler Adams,us USA,"CC,DF",RB Leipzig,de Bundesliga,21,1999,20.6,35.0,24,12.0,15.0,8.0,17.0,31.0,54.8,14.0,22.0,5.0,17.0,29,64.0,30.0,0.0
20,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,27,1993,5.3,9.0,4,4.0,3.0,2.0,7.0,14.0,50.0,7.0,2.0,0.0,2.0,6,15.0,1.0,0.0
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,37.0,19,30.0,6.0,1.0,19.0,40.0,47.5,21.0,26.0,20.0,6.0,42,79.0,197.0,2.0
22,Bobby Adekanye,nl NED,"DL,CC",Cádiz,es La Liga,21,1999,0.4,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0
23,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,20,2000,26.9,74.0,37,30.0,33.0,11.0,35.0,92.0,38.0,57.0,27.0,2.0,25.0,39,113.0,17.0,2.0
24,Andrea Adorante,it ITA,DL,Parma,it Serie A,20,2000,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
25,Adrián,es ESP,PO,Liverpool,eng Premier League,33,1987,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,3.0,1.0
26,Martin Agirregabiria,es ESP,"DF,CC",Alavés,es La Liga,24,1996,17.3,32.0,18,17.0,12.0,3.0,17.0,33.0,51.5,16.0,9.0,3.0,6.0,27,59.0,36.0,0.0
