RL2020-2021,Jugador2020-2021,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,90 s2020-2021,Toques2020-2021,Def. pen.2020-2021,3.º def.2020-2021,3.º cent.2020-2021,3.º ataq.2020-2021,Ataq. pen.2020-2021,Balón vivo2020-2021,Att2020-2021,Succ2020-2021,Exitosa%2020-2021,Tkld2020-2021,Tkld%2020-2021,Transportes2020-2021,Dist. tot.2020-2021,Dist. prg.2020-2021,PrgC2020-2021,1/32020-2021,TAP2020-2021,Errores de control2020-2021,Des2020-2021,Rec2020-2021,PrgR2020-2021
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,3.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,1353.0,61.0,420.0,612.0,329.0,37.0,1353.0,22.0,10.0,45.5,12.0,54.5,728.0,3406.0,1622.0,38.0,29.0,9.0,24.0,6.0,800.0,87.0
3,Issah Abbas,gh GHA,"DF,DL",Mainz 05,de Bundesliga,21,1998,0.2,16.0,0.0,5.0,4.0,7.0,1.0,16.0,1.0,1.0,100.0,0.0,0.0,11.0,50.0,37.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,2103.0,230.0,1160.0,920.0,38.0,23.0,2103.0,16.0,7.0,43.8,9.0,56.3,1255.0,6240.0,3618.0,18.0,5.0,1.0,14.0,12.0,1354.0,3.0
5,Sabit Abdulai,gh GHA,CC,Getafe,es La Liga,21,1999,0.7,19.0,0.0,2.0,11.0,6.0,0.0,19.0,2.0,1.0,50.0,1.0,50.0,11.0,21.0,11.0,0.0,1.0,0.0,1.0,0.0,10.0,2.0
6,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,27,1992,14.7,852.0,23.0,184.0,541.0,149.0,10.0,852.0,27.0,19.0,70.4,8.0,29.6,532.0,2865.0,1352.0,32.0,23.0,3.0,23.0,10.0,561.0,16.0
7,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,27,1993,32.9,1940.0,31.0,486.0,1210.0,280.0,12.0,1940.0,37.0,29.0,78.4,8.0,21.6,1075.0,4705.0,2140.0,32.0,32.0,4.0,53.0,44.0,1288.0,35.0
8,Charles Abi,fr FRA,"DL,CC",Saint-Étienne,fr Ligue 1,20,2000,10.1,320.0,9.0,38.0,138.0,146.0,36.0,320.0,24.0,12.0,50.0,12.0,50.0,166.0,1056.0,424.0,13.0,15.0,2.0,33.0,20.0,242.0,48.0
9,Matthis Abline,fr FRA,DL,Rennes,fr Ligue 1,17,2003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,858.0,115.0,504.0,335.0,22.0,16.0,858.0,4.0,2.0,50.0,2.0,50.0,440.0,2357.0,1307.0,2.0,2.0,1.0,9.0,0.0,463.0,1.0
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,792.0,50.0,293.0,425.0,83.0,8.0,792.0,5.0,4.0,80.0,1.0,20.0,367.0,1776.0,1030.0,12.0,8.0,1.0,7.0,1.0,441.0,21.0
12,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,22,1997,11.6,358.0,20.0,35.0,171.0,154.0,61.0,358.0,18.0,6.0,33.3,12.0,66.7,154.0,694.0,266.0,12.0,5.0,8.0,33.0,7.0,239.0,66.0
13,Amir Abrashi,al ALB,"CC,DF",Freiburg,de Bundesliga,30,1990,0.7,30.0,3.0,12.0,14.0,4.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,18.0,102.0,47.0,1.0,2.0,1.0,1.0,1.0,16.0,1.0
14,Gennaro Acampora,it ITA,"CC,DL",Spezia,it Serie A,26,1994,4.9,282.0,8.0,39.0,147.0,102.0,4.0,282.0,16.0,10.0,62.5,6.0,37.5,187.0,1191.0,444.0,15.0,14.0,1.0,12.0,12.0,206.0,19.0
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,2430.0,309.0,1122.0,1136.0,191.0,22.0,2430.0,8.0,6.0,75.0,2.0,25.0,1410.0,8649.0,4938.0,41.0,42.0,2.0,21.0,10.0,1565.0,46.0
16,Ragnar Ache,de GER,"DL,DF",Eint Frankfurt,de Bundesliga,22,1998,1.1,53.0,1.0,2.0,27.0,25.0,10.0,53.0,0.0,0.0,0.0,0.0,0.0,17.0,109.0,34.0,3.0,4.0,1.0,7.0,2.0,36.0,12.0
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,2019.0,61.0,661.0,878.0,502.0,30.0,2019.0,61.0,41.0,67.2,20.0,32.8,1103.0,5721.0,3242.0,65.0,50.0,12.0,40.0,29.0,1330.0,133.0
18,Che Adams,sct SCO,DL,Southampton,eng Premier League,24,1996,29.6,926.0,24.0,98.0,403.0,439.0,97.0,926.0,50.0,28.0,56.0,22.0,44.0,516.0,2336.0,900.0,32.0,28.0,13.0,88.0,44.0,713.0,149.0
19,Tyler Adams,us USA,"CC,DF",RB Leipzig,de Bundesliga,21,1999,20.6,1591.0,47.0,327.0,964.0,313.0,19.0,1591.0,26.0,15.0,57.7,11.0,42.3,901.0,4292.0,1941.0,27.0,31.0,3.0,37.0,14.0,1056.0,70.0
20,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,27,1993,5.3,226.0,2.0,20.0,63.0,146.0,38.0,226.0,7.0,3.0,42.9,4.0,57.1,151.0,1099.0,514.0,20.0,16.0,3.0,14.0,6.0,176.0,58.0
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,2272.0,398.0,1310.0,900.0,67.0,35.0,2272.0,14.0,11.0,78.6,3.0,21.4,1337.0,5844.0,3132.0,5.0,5.0,0.0,12.0,5.0,1522.0,3.0
22,Bobby Adekanye,nl NED,"DL,CC",Cádiz,es La Liga,21,1999,0.4,18.0,1.0,2.0,5.0,11.0,3.0,18.0,1.0,1.0,100.0,0.0,0.0,13.0,103.0,68.0,4.0,3.0,0.0,3.0,0.0,11.0,4.0
23,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,20,2000,26.9,1920.0,40.0,348.0,1217.0,390.0,25.0,1920.0,79.0,50.0,63.3,29.0,36.7,1179.0,5988.0,3121.0,54.0,50.0,10.0,42.0,41.0,1422.0,48.0
24,Andrea Adorante,it ITA,DL,Parma,it Serie A,20,2000,0.1,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
25,Adrián,es ESP,PO,Liverpool,eng Premier League,33,1987,3.0,110.0,99.0,110.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,52.0,259.0,79.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0
26,Martin Agirregabiria,es ESP,"DF,CC",Alavés,es La Liga,24,1996,17.3,888.0,41.0,314.0,418.0,164.0,9.0,888.0,6.0,2.0,33.3,4.0,66.7,380.0,1426.0,691.0,11.0,11.0,2.0,14.0,4.0,424.0,36.0
27,Lucien Agoume,fr FRA,CC,Spezia,it Serie A,18,2002,8.9,563.0,26.0,165.0,338.0,68.0,1.0,563.0,8.0,6.0,75.0,2.0,25.0,308.0,1391.0,569.0,6.0,6.0,1.0,9.0,8.0,368.0,7.0
28,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,409.0,21.0,152.0,180.0,80.0,7.0,409.0,11.0,5.0,45.5,6.0,54.5,160.0,841.0,345.0,7.0,4.0,1.0,21.0,7.0,191.0,33.0
29,Kevin Agudelo,co COL,DL,Spezia,it Serie A,21,1998,15.1,544.0,2.0,58.0,233.0,271.0,56.0,544.0,76.0,44.0,57.9,32.0,42.1,325.0,2764.0,1424.0,50.0,35.0,24.0,35.0,25.0,357.0,82.0
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,3016.0,241.0,1281.0,1679.0,75.0,38.0,3016.0,11.0,9.0,81.8,2.0,18.2,1885.0,7924.0,4548.0,14.0,16.0,1.0,11.0,10.0,2257.0,2.0
31,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,32,1988,6.2,234.0,0.0,5.0,99.0,131.0,45.0,232.0,13.0,8.0,61.5,5.0,38.5,155.0,769.0,330.0,12.0,10.0,3.0,15.0,11.0,191.0,39.0
32,Ruben Aguilar,fr FRA,"DF,CC",Monaco,fr Ligue 1,27,1993,24.7,1876.0,53.0,371.0,890.0,633.0,58.0,1876.0,29.0,12.0,41.4,17.0,58.6,944.0,5100.0,2717.0,74.0,52.0,4.0,40.0,14.0,1171.0,231.0
33,Naouirou Ahamada,fr FRA,CC,Stuttgart,de Bundesliga,18,2002,2.8,154.0,4.0,32.0,104.0,22.0,2.0,154.0,12.0,11.0,91.7,1.0,8.3,108.0,760.0,344.0,8.0,2.0,2.0,6.0,5.0,117.0,3.0
34,Matteo Ahlinvi,bj BEN,CC,Nîmes,fr Ligue 1,21,1999,10.0,450.0,13.0,95.0,286.0,80.0,12.0,450.0,29.0,19.0,65.5,10.0,34.5,303.0,2040.0,1166.0,31.0,14.0,3.0,26.0,16.0,302.0,17.0
71,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,26,1994,24.2,1120.0,46.0,245.0,698.0,203.0,24.0,1120.0,33.0,26.0,78.8,7.0,21.2,575.0,2929.0,1433.0,27.0,20.0,2.0,41.0,20.0,674.0,25.0
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,816.0,121.0,498.0,304.0,22.0,12.0,816.0,3.0,2.0,66.7,1.0,33.3,470.0,2286.0,1311.0,11.0,3.0,1.0,10.0,3.0,463.0,1.0
38,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,2052.0,105.0,781.0,957.0,330.0,17.0,2052.0,33.0,21.0,63.6,12.0,36.4,1070.0,5595.0,3024.0,63.0,40.0,5.0,27.0,10.0,1254.0,50.0
79,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,19,2001,17.7,1163.0,45.0,298.0,533.0,346.0,30.0,1163.0,63.0,34.0,137.0,29.0,63.0,671.0,3466.0,1985.0,54.0,39.0,11.0,35.0,22.0,747.0,103.0
41,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,1325.0,223.0,691.0,559.0,86.0,43.0,1325.0,18.0,10.0,55.6,8.0,44.4,536.0,3098.0,1537.0,13.0,10.0,2.0,24.0,5.0,652.0,7.0
42,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,26,1994,33.0,1251.0,62.0,122.0,597.0,539.0,159.0,1246.0,23.0,10.0,43.5,13.0,56.5,611.0,2404.0,953.0,33.0,25.0,15.0,74.0,31.0,940.0,224.0
43,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,2358.0,189.0,943.0,1331.0,96.0,29.0,2358.0,10.0,9.0,90.0,1.0,10.0,1543.0,8495.0,5042.0,26.0,15.0,2.0,9.0,9.0,1804.0,7.0
44,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,468.0,42.0,211.0,190.0,71.0,3.0,468.0,10.0,6.0,60.0,4.0,40.0,162.0,980.0,537.0,12.0,8.0,2.0,11.0,3.0,149.0,15.0
45,Marley Aké,fr FRA,DL,Marseille,fr Ligue 1,19,2001,1.6,56.0,2.0,8.0,24.0,25.0,7.0,56.0,8.0,4.0,50.0,4.0,50.0,35.0,258.0,98.0,4.0,2.0,0.0,4.0,5.0,43.0,12.0
46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,819.0,40.0,182.0,570.0,67.0,6.0,819.0,1.0,0.0,0.0,1.0,100.0,569.0,2748.0,1678.0,12.0,22.0,0.0,2.0,1.0,658.0,6.0
47,Paul Akouokou,ci CIV,CC,Betis,es La Liga,22,1997,4.2,231.0,10.0,57.0,156.0,19.0,0.0,231.0,4.0,3.0,75.0,1.0,25.0,122.0,716.0,338.0,4.0,4.0,0.0,3.0,2.0,143.0,1.0
48,Jean-Daniel Akpa-Akpro,ci CIV,CC,Lazio,it Serie A,27,1992,11.7,522.0,20.0,116.0,289.0,132.0,21.0,522.0,26.0,15.0,57.7,11.0,42.3,270.0,1381.0,603.0,11.0,11.0,3.0,26.0,13.0,282.0,31.0
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,863.0,77.0,370.0,453.0,45.0,5.0,863.0,10.0,6.0,60.0,4.0,40.0,517.0,2441.0,1247.0,10.0,4.0,1.0,10.0,1.0,579.0,14.0
