RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,TPint,PD,PD.1,PC,% Salvadas.1
1,Julen Agirrezabala,es ESP,PO,Athletic Club,es La Liga,20,2000,4,4,360,4.0,5,1.25,20,15,75.0,1,2,1,1,25.0,0,0,0,0,
2,Doğan Alemdar,tr TUR,PO,Rennes,fr Ligue 1,18,2002,12,12,1080,12.0,13,1.08,36,22,66.7,6,1,5,4,33.3,2,1,1,0,50.0
3,Alisson,br BRA,PO,Liverpool,eng Premier League,28,1992,36,36,3240,36.0,24,0.67,99,76,75.8,27,7,2,20,55.6,0,0,0,0,
4,Alphonse Areola,fr FRA,PO,West Ham,eng Premier League,28,1993,1,1,90,1.0,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
5,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,26,1994,4,4,360,4.0,2,0.5,13,11,84.6,2,1,1,2,50.0,0,0,0,0,
6,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,32,1989,6,6,540,6.0,9,1.5,28,19,71.4,2,2,2,0,0.0,1,1,0,0,0.0
7,Emil Audero,it ITA,PO,Sampdoria,it Serie A,24,1997,29,29,2560,28.4,48,1.69,130,82,63.8,8,5,16,5,17.2,2,1,1,0,50.0
8,Daniel Bachmann,at AUT,PO,Watford,eng Premier League,27,1994,12,12,1080,12.0,28,2.33,72,46,65.3,1,0,11,0,0.0,3,3,0,0,0.0
9,Édgar Badía,es ESP,PO,Elche,es La Liga,29,1992,24,24,2160,24.0,35,1.46,114,78,75.4,8,5,11,5,20.8,9,7,1,1,12.5
10,Nicola Bagnolini,it ITA,PO,Bologna,it Serie A,17,2004,1,0,3,0.0,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0,
11,Stefan Bajic,fr FRA,PO,Saint-Étienne,fr Ligue 1,19,2001,7,4,510,5.7,13,2.29,29,16,62.1,0,1,3,0,0.0,2,2,0,0,0.0
12,Francesco Bardi,it ITA,PO,Bologna,it Serie A,29,1992,2,2,177,2.0,2,1.02,9,7,77.8,1,1,0,0,0.0,0,0,0,0,
13,Oliver Baumann,de GER,PO,Hoffenheim,de Bundesliga,31,1990,33,33,2970,33.0,57,1.73,155,98,64.5,12,7,14,8,24.2,4,2,1,1,33.3
14,Asmir Begović,ba BIH,PO,Everton,eng Premier League,34,1987,3,3,270,3.0,8,2.67,18,11,61.1,1,0,2,1,33.3,1,1,0,0,0.0
15,Vid Belec,si SVN,PO,Salernitana,it Serie A,31,1990,23,21,1938,21.5,49,2.28,135,87,65.9,3,2,16,1,4.8,5,3,1,1,25.0
16,Walter Benítez,ar ARG,PO,Nice,fr Ligue 1,28,1993,37,37,3330,37.0,35,0.95,141,105,78.0,20,7,10,14,37.8,5,4,1,0,20.0
17,Alessandro Berardi,it ITA,PO,Hellas Verona,it Serie A,30,1991,1,1,90,1.0,3,3.0,7,4,57.1,0,1,0,0,0.0,0,0,0,0,
18,Etrit Berisha,al ALB,PO,Torino,it Serie A,32,1989,10,10,900,10.0,8,0.8,41,32,85.4,3,4,3,4,40.0,3,2,1,0,33.3
19,Paul Bernardoni,fr FRA,PO,Angers,fr Ligue 1,24,1997,13,13,1170,13.0,19,1.46,46,27,65.2,4,5,4,4,30.8,3,3,0,0,0.0
20,Paul Bernardoni,fr FRA,PO,Saint-Étienne,fr Ligue 1,24,1997,19,19,1710,19.0,37,1.95,93,58,65.6,5,5,9,3,15.8,5,5,0,0,0.0
