RL2022-2023,Jugador2022-2023,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,PJ2022-2023,Mín2022-2023,Mn/PJ2022-2023,% min2022-2023,90 s2022-2023,Titular2022-2023,Mn/arranque2022-2023,Compl2022-2023,Sup2022-2023,Mn/Sust2022-2023,Partidos como sustituto2022-2023,PPP2022-2023,onG2022-2023,onGA2022-2023,+/-2022-2023,+/-902022-2023,Dentro-Fuera2022-2023,onxG2022-2023,onxGA2022-2023,xG+/-2022-2023,xG+/-902022-2023,Dentro-Fuera.12022-2023
1,Brenden Aaronson,us USA,"CC,DL",Leeds United,eng Premier League,21,2000,36,2372.0,66.0,69.4,26.4,28,78.0,8,8,22.0,2,0.86,35.0,58.0,-23.0,-0.87,-0.27,33.3,49.8,-16.5,-0.63,-0.35
2,Paxten Aaronson,us USA,"CC,DF",Eint Frankfurt,de Bundesliga,18,2003,7,173.0,25.0,5.7,1.9,0,0.0,0,7,25.0,6,1.14,4.0,0.0,4.0,2.08,2.02,5.4,1.4,4.0,2.06,1.92
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,2,63.0,32.0,1.8,0.7,1,58.0,0,1,5.0,33,0.0,0.0,0.0,0.0,0.0,0.03,0.4,0.7,-0.3,-0.37,-0.25
4,George Abbott,eng ENG,CC,Tottenham,eng Premier League,16,2005,1,1.0,1.0,0.0,0.0,0,0.0,0,1,1.0,1,3.0,1.0,0.0,1.0,90.0,89.84,0.3,0.0,0.3,28.39,28.2
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,0.0,0,1.38,45.0,42.0,3.0,0.08,3.08,60.5,50.1,10.4,0.28,1.79
6,Himad Abdelli,dz ALG,"CC,DL",Angers,fr Ligue 1,22,1999,30,2137.0,71.0,62.5,23.7,24,83.0,14,6,23.0,6,0.33,21.0,49.0,-28.0,-1.18,0.22,23.8,40.7,-17.0,-0.72,-0.45
7,Salis Abdul Samed,gh GHA,CC,Lens,fr Ligue 1,22,2000,33,2894.0,88.0,84.6,32.2,33,88.0,30,0,0.0,0,2.24,59.0,22.0,37.0,1.15,0.81,57.7,35.9,21.8,0.68,0.43
8,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,29,1993,29,2342.0,81.0,68.5,26.0,28,83.0,19,1,26.0,0,1.72,38.0,35.0,3.0,0.12,0.45,31.6,39.7,-8.1,-0.31,0.16
9,Oliver Abildgaard,dk DEN,CC,Hellas Verona,it Serie A,26,1996,13,592.0,46.0,17.3,6.6,6,80.0,5,7,16.0,5,1.08,2.0,11.0,-9.0,-1.37,-0.76,4.9,9.3,-4.4,-0.67,-0.36
10,Terry Ablade,fi FIN,DL,Fulham,eng Premier League,20,2001,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Matthis Abline,fr FRA,"DL,CC",Auxerre,fr Ligue 1,19,2003,30,913.0,52.0,26.700000000000003,10.2,8,73.0,1,22,30.0,5,3.38,12.0,14.0,-2.0,3.4299999999999997,3.4699999999999998,14.6,14.600000000000001,0.0,1.1800000000000002,1.23
13,Abner,br BRA,DF,Betis,es La Liga,22,2000,13,607.0,47.0,17.7,6.7,7,74.0,3,6,15.0,8,1.08,7.0,10.0,-3.0,-0.44,-0.7,10.3,10.9,-0.6,-0.09,-0.16
14,Zakaria Aboukhlal,ma MAR,"DL,CC",Toulouse,fr Ligue 1,22,2000,37,2473.0,67.0,72.3,27.5,28,80.0,12,9,26.0,0,1.27,38.0,45.0,-7.0,-0.25,-0.35,38.9,42.3,-3.3,-0.12,-0.01
15,Tammy Abraham,eng ENG,DL,Roma,it Serie A,24,1997,38,2189.0,58.0,64.0,24.3,24,77.0,7,14,24.0,0,1.66,32.0,25.0,7.0,0.29,-0.08,37.7,22.9,14.8,0.61,-0.16
16,Christian Acella,it ITA,CC,Cremonese,it Serie A,20,2002,1,15.0,15.0,0.4,0.2,0,0.0,0,1,15.0,25,0.0,0.0,1.0,-1.0,-6.0,-5.15,0.0,0.1,-0.1,-0.65,0.07
17,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,31,2425.0,78.0,70.9,26.9,25,90.0,24,6,31.0,3,1.94,53.0,30.0,23.0,0.85,0.31,49.5,26.6,22.9,0.85,0.07
18,Álvaro Aceves,es ESP,PO,Valladolid,es La Liga,19,2003,1,13.0,13.0,0.4,0.1,0,0.0,0,1,13.0,13,0.0,0.0,0.0,0.0,0.0,0.79,0.3,0.2,0.1,0.73,1.43
19,Mohamed Achi,fr FRA,DL,Nantes,fr Ligue 1,20,2002,2,36.0,18.0,1.1,0.4,0,0.0,0,2,18.0,6,0.5,1.0,0.0,1.0,2.5,3.01,0.8,0.0,0.7,1.87,2.15
20,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,30,1912.0,64.0,55.9,21.2,21,79.0,10,9,28.0,0,1.33,27.0,34.0,-7.0,-0.33,-0.33,27.1,29.5,-2.5,-0.12,0.21
