,Jugador,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,TA2017-2018,TR2017-2018,2a amarilla2017-2018,Fls2017-2018,FR2017-2018,PA2017-2018,Pcz2017-2018,Int2017-2018,TklG2017-2018,Penal ejecutado2017-2018,Penal concedido2017-2018,GC2017-2018,Recup.2017-2018,Ganados2017-2018,Perdidos2017-2018,% de ganados2017-2018,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,90 s2018-2019,TA2018-2019,TR2018-2019,2a amarilla2018-2019,Fls2018-2019,FR2018-2019,PA2018-2019,Pcz2018-2019,Int2018-2019,TklG2018-2019,Penal ejecutado2018-2019,Penal concedido2018-2019,GC2018-2019,Recup.2018-2019,Ganados2018-2019,Perdidos2018-2019,% de ganados2018-2019,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,90 s2019-2020,TA2019-2020,TR2019-2020,2a amarilla2019-2020,Fls2019-2020,FR2019-2020,PA2019-2020,Pcz2019-2020,Int2019-2020,TklG2019-2020,Penal ejecutado2019-2020,Penal concedido2019-2020,GC2019-2020,Recup.2019-2020,Ganados2019-2020,Perdidos2019-2020,% de ganados2019-2020,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,90 s2020-2021,TA2020-2021,TR2020-2021,2a amarilla2020-2021,Fls2020-2021,FR2020-2021,PA2020-2021,Pcz2020-2021,Int2020-2021,TklG2020-2021,Penal ejecutado2020-2021,Penal concedido2020-2021,GC2020-2021,Recup.2020-2021,Ganados2020-2021,Perdidos2020-2021,% de ganados2020-2021,Posc2021-2022,Equipo2021-2022,Comp2021-2022,Edad2021-2022,90 s2021-2022,TA2021-2022,TR2021-2022,2a amarilla2021-2022,Fls2021-2022,FR2021-2022,PA2021-2022,Pcz2021-2022,Int2021-2022,TklG2021-2022,Penal ejecutado2021-2022,Penal concedido2021-2022,GC2021-2022,Recup.2021-2022,Ganados2021-2022,Perdidos2021-2022,% de ganados2021-2022,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,90 s2022-2023,TA2022-2023,TR2022-2023,2a amarilla2022-2023,Fls2022-2023,FR2022-2023,PA2022-2023,Pcz2022-2023,Int2022-2023,TklG2022-2023,Penal ejecutado2022-2023,Penal concedido2022-2023,GC2022-2023,Recup.2022-2023,Ganados2022-2023,Perdidos2022-2023,% de ganados2022-2023
0,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26.0,1990.0,24.3,7.0,0.0,0.0,18.0,10.0,3.0,56.0,47.0,32.0,0.0,0.0,0.0,162.0,6.0,5.0,54.5,DF,Crystal Palace,eng Premier League,27.0,35.5,3.0,0.0,0.0,12.0,14.0,10.0,42.0,40.0,24.0,0.0,0.0,0.0,216.0,10.0,12.0,45.5,DF,Crystal Palace,eng Premier League,28.0,27.9,0.0,0.0,0.0,9.0,8.0,2.0,92.0,45.0,23.0,0.0,0.0,1.0,176.0,16.0,16.0,50.0,DF,Crystal Palace,eng Premier League,29.0,19.7,2.0,0.0,0.0,11.0,3.0,3.0,40.0,30.0,22.0,0.0,0.0,0.0,136.0,11.0,13.0,45.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Rolando Aarons,eng ENG,"CC,DL",Newcastle Utd,eng Premier League,21.0,1995.0,7.2,0.0,0.0,0.0,10.0,14.0,1.0,12.0,3.0,12.0,0.0,0.0,0.0,28.0,10.0,18.0,62.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Ignazio Abate,it ITA,DF,Milan,it Serie A,30.0,1986.0,11.7,3.0,0.0,0.0,12.0,8.0,3.0,31.0,8.0,17.0,0.0,0.0,0.0,56.0,5.0,4.0,55.6,DF,Milan,it Serie A,31.0,14.5,4.0,0.0,0.0,13.0,6.0,0.0,26.0,18.0,19.0,0.0,1.0,0.0,71.0,13.0,8.0,61.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27.0,1989.0,5.5,3.0,0.0,0.0,9.0,6.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,32.0,7.0,7.0,50.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Aly Abeid,mr MTN,DF,Levante,es La Liga,19.0,1997.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,24.0,1992.0,13.1,2.0,0.0,0.0,29.0,16.0,2.0,6.0,18.0,15.0,0.0,0.0,0.0,93.0,13.0,16.0,44.8,CC,Dijon,fr Ligue 1,25.0,22.5,6.0,0.0,0.0,57.0,28.0,1.0,24.0,29.0,33.0,0.0,0.0,0.0,145.0,17.0,26.0,39.5,CC,Nantes,fr Ligue 1,26.0,20.2,5.0,0.0,0.0,55.0,43.0,1.0,63.0,23.0,29.0,0.0,1.0,0.0,153.0,13.0,17.0,43.3,CC,Nantes,fr Ligue 1,27.0,14.7,5.0,0.0,0.0,31.0,22.0,1.0,40.0,20.0,19.0,0.0,0.0,0.0,108.0,13.0,18.0,41.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31.0,1986.0,25.6,3.0,0.0,0.0,11.0,20.0,0.0,7.0,40.0,32.0,0.0,0.0,1.0,113.0,78.0,42.0,65.0,DF,Eint Frankfurt,de Bundesliga,32.0,15.8,2.0,0.0,0.0,11.0,9.0,0.0,8.0,24.0,14.0,0.0,0.0,0.0,104.0,40.0,22.0,64.5,DF,Eint Frankfurt,de Bundesliga,33.0,18.8,2.0,1.0,0.0,14.0,12.0,0.0,9.0,25.0,14.0,0.0,0.0,0.0,125.0,48.0,30.0,61.5,DF,Eint Frankfurt,de Bundesliga,34.0,13.6,5.0,1.0,1.0,9.0,6.0,1.0,13.0,17.0,12.0,0.0,0.0,0.0,76.0,31.0,18.0,63.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Tammy Abraham,eng ENG,DL,Swansea City,eng Premier League,19.0,1997.0,19.2,0.0,0.0,0.0,15.0,27.0,9.0,13.0,1.0,8.0,0.0,0.0,0.0,41.0,39.0,58.0,40.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DL,Chelsea,eng Premier League,21.0,24.6,2.0,0.0,0.0,17.0,24.0,23.0,11.0,6.0,4.0,1.0,0.0,1.0,49.0,89.0,113.0,44.1,DL,Chelsea,eng Premier League,22.0,11.6,0.0,0.0,0.0,22.0,12.0,4.0,6.0,5.0,5.0,1.0,0.0,0.0,28.0,38.0,28.0,57.6,DL,Roma,it Serie A,23.0,34.3,9.0,0.0,0.0,38.0,49.0,17.0,16.0,5.0,13.0,1.0,1.0,0.0,68.0,78.0,80.0,49.4,DL,Roma,it Serie A,24.0,24.3,2.0,0.0,0.0,33.0,48.0,11.0,11.0,3.0,10.0,1.0,0.0,0.0,46.0,80.0,74.0,51.9
8,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,27.0,1990.0,9.4,2.0,0.0,0.0,20.0,27.0,0.0,5.0,19.0,32.0,0.0,0.0,0.0,55.0,17.0,17.0,50.0,CC,Freiburg,de Bundesliga,28.0,8.8,5.0,0.0,0.0,19.0,16.0,0.0,2.0,14.0,11.0,0.0,0.0,0.0,61.0,5.0,4.0,55.6,CC,Freiburg,de Bundesliga,29.0,7.4,3.0,0.0,0.0,17.0,12.0,0.0,7.0,7.0,8.0,0.0,0.0,0.0,51.0,9.0,9.0,50.0,"CC,DF",Freiburg,de Bundesliga,30.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,1.0,2.0,33.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29.0,1988.0,38.0,4.0,0.0,0.0,31.0,32.0,1.0,12.0,88.0,32.0,0.0,1.0,1.0,260.0,103.0,40.0,72.0,DF,Lazio,it Serie A,30.0,36.8,4.0,1.0,1.0,24.0,42.0,3.0,6.0,61.0,30.0,0.0,0.0,0.0,226.0,96.0,43.0,69.1,DF,Lazio,it Serie A,31.0,35.1,4.0,0.0,0.0,26.0,41.0,5.0,26.0,42.0,29.0,1.0,0.0,0.0,179.0,56.0,32.0,63.6,DF,Lazio,it Serie A,32.0,31.3,9.0,1.0,1.0,31.0,24.0,2.0,32.0,76.0,32.0,0.0,0.0,0.0,227.0,62.0,25.0,71.3,DF,Lazio,it Serie A,33.0,28.2,2.0,1.0,0.0,18.0,16.0,4.0,3.0,34.0,12.0,1.0,0.0,0.0,162.0,69.0,43.0,61.6,DF,Inter,it Serie A,34.0,26.9,4.0,0.0,0.0,17.0,13.0,2.0,22.0,41.0,19.0,0.0,0.0,0.0,151.0,78.0,42.0,65.0
