,Jugador,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,GC2017-2018,PD2017-2018,TL2017-2018,TE2017-2018,GC.12017-2018,PSxG2017-2018,PSxG/SoT2017-2018,PSxG+/-2017-2018,/902017-2018,Cmp2017-2018,Int.2017-2018,% Cmp2017-2018,Int..12017-2018,TI2017-2018,%deLanzamientos2017-2018,Long. prom.2017-2018,Int..22017-2018,%deLanzamientos.12017-2018,Long. prom..12017-2018,Opp2017-2018,Stp2017-2018,% de Stp2017-2018,Núm. de OPA2017-2018,Núm. de OPA/902017-2018,DistProm.2017-2018,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,90 s2018-2019,GC2018-2019,PD2018-2019,TL2018-2019,TE2018-2019,GC.12018-2019,PSxG2018-2019,PSxG/SoT2018-2019,PSxG+/-2018-2019,/902018-2019,Cmp2018-2019,Int.2018-2019,% Cmp2018-2019,Int..12018-2019,TI2018-2019,%deLanzamientos2018-2019,Long. prom.2018-2019,Int..22018-2019,%deLanzamientos.12018-2019,Long. prom..12018-2019,Opp2018-2019,Stp2018-2019,% de Stp2018-2019,Núm. de OPA2018-2019,Núm. de OPA/902018-2019,DistProm.2018-2019,País2019-2020,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,Nacimiento2019-2020,90 s2019-2020,GC2019-2020,PD2019-2020,TL2019-2020,TE2019-2020,GC.12019-2020,PSxG2019-2020,PSxG/SoT2019-2020,PSxG+/-2019-2020,/902019-2020,Cmp2019-2020,Int.2019-2020,% Cmp2019-2020,Int..12019-2020,TI2019-2020,%deLanzamientos2019-2020,Long. prom.2019-2020,Int..22019-2020,%deLanzamientos.12019-2020,Long. prom..12019-2020,Opp2019-2020,Stp2019-2020,% de Stp2019-2020,Núm. de OPA2019-2020,Núm. de OPA/902019-2020,DistProm.2019-2020,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,90 s2020-2021,GC2020-2021,PD2020-2021,TL2020-2021,TE2020-2021,GC.12020-2021,PSxG2020-2021,PSxG/SoT2020-2021,PSxG+/-2020-2021,/902020-2021,Cmp2020-2021,Int.2020-2021,% Cmp2020-2021,Int..12020-2021,TI2020-2021,%deLanzamientos2020-2021,Long. prom.2020-2021,Int..22020-2021,%deLanzamientos.12020-2021,Long. prom..12020-2021,Opp2020-2021,Stp2020-2021,% de Stp2020-2021,Núm. de OPA2020-2021,Núm. de OPA/902020-2021,DistProm.2020-2021,País2021-2022,Posc2021-2022,Equipo2021-2022,Comp2021-2022,Edad2021-2022,Nacimiento2021-2022,90 s2021-2022,GC2021-2022,PD2021-2022,TL2021-2022,TE2021-2022,GC.12021-2022,PSxG2021-2022,PSxG/SoT2021-2022,PSxG+/-2021-2022,/902021-2022,Cmp2021-2022,Int.2021-2022,% Cmp2021-2022,Int..12021-2022,TI2021-2022,%deLanzamientos2021-2022,Long. prom.2021-2022,Int..22021-2022,%deLanzamientos.12021-2022,Long. prom..12021-2022,Opp2021-2022,Stp2021-2022,% de Stp2021-2022,Núm. de OPA2021-2022,Núm. de OPA/902021-2022,DistProm.2021-2022,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,90 s2022-2023,GC2022-2023,PD2022-2023,TL2022-2023,TE2022-2023,GC.12022-2023,PSxG2022-2023,PSxG/SoT2022-2023,PSxG+/-2022-2023,/902022-2023,Cmp2022-2023,Int.2022-2023,% Cmp2022-2023,Int..12022-2023,TI2022-2023,%deLanzamientos2022-2023,Long. prom.2022-2023,Int..22022-2023,%deLanzamientos.12022-2023,Long. prom..12022-2023,Opp2022-2023,Stp2022-2023,% de Stp2022-2023,Núm. de OPA2022-2023,Núm. de OPA/902022-2023,DistProm.2022-2023
0,Antonio Adán,es ESP,PO,Betis,es La Liga,30.0,1987.0,30.0,53.0,3.0,0.0,5.0,4.0,41.8,0.29,-7.2,-0.24,176.0,490.0,35.9,1002.0,130.0,33.8,32.8,253.0,59.7,44.4,468.0,17.0,3.6,22.0,0.73,14.6,es ESP,PO,Atlético Madrid,es La Liga,31.0,1987.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.43,1.0,1.03,5.0,16.0,31.3,13.0,2.0,53.8,33.3,11.0,81.8,52.5,18.0,0.0,0.0,0.0,0.0,0.0,es ESP,PO,Atlético Madrid,es La Liga,32.0,1987.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.13,1.0,3.0,33.3,5.0,1.0,40.0,30.2,1.0,100.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,René Adler,de GER,PO,Mainz 05,de Bundesliga,32.0,1985.0,14.0,18.0,1.0,0.0,5.0,0.0,14.0,0.25,-4.0,-0.29,78.0,216.0,36.1,322.0,55.0,39.1,36.3,117.0,76.9,54.9,209.0,19.0,9.1,22.0,1.57,15.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Adrián,es ESP,PO,West Ham,eng Premier League,30.0,1987.0,19.0,29.0,1.0,1.0,6.0,1.0,27.8,0.29,-0.2,-0.01,154.0,445.0,34.6,383.0,47.0,72.8,47.7,184.0,90.2,59.3,316.0,13.0,4.1,31.0,1.63,16.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,PO,Liverpool,eng Premier League,32.0,1987.0,9.7,10.0,0.0,1.0,1.0,0.0,7.5,0.28,-2.5,-0.26,36.0,99.0,36.4,241.0,51.0,33.2,33.0,70.0,27.1,29.2,127.0,7.0,5.5,14.0,1.44,15.3,es ESP,PO,Liverpool,eng Premier League,33.0,1987.0,3.0,9.0,0.0,0.0,2.0,0.0,6.8,0.38,-2.2,-0.72,11.0,28.0,39.3,77.0,19.0,31.2,31.3,22.0,18.2,21.1,35.0,0.0,0.0,6.0,2.0,17.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Alisson,br BRA,PO,Roma,it Serie A,24.0,1992.0,37.0,28.0,3.0,0.0,2.0,0.0,35.4,0.23,7.4,0.2,213.0,416.0,51.2,1069.0,239.0,28.9,32.1,252.0,42.5,41.0,469.0,17.0,3.6,90.0,2.43,18.9,br BRA,PO,Liverpool,eng Premier League,25.0,1992.0,38.0,22.0,0.0,0.0,5.0,0.0,27.2,0.29,5.2,0.14,129.0,311.0,41.5,1072.0,212.0,20.1,28.8,216.0,44.0,41.3,385.0,16.0,4.2,59.0,1.55,16.6,br BRA,PO,Liverpool,eng Premier League,26.0,1992.0,28.3,23.0,1.0,0.0,1.0,1.0,19.7,0.24,-2.3,-0.08,85.0,189.0,45.0,778.0,140.0,18.4,27.4,167.0,27.5,30.9,299.0,10.0,3.3,63.0,2.23,19.2,br BRA,PO,Liverpool,eng Premier League,27.0,1992.0,33.0,32.0,4.0,1.0,4.0,0.0,35.0,0.27,3.0,0.09,74.0,194.0,38.1,980.0,165.0,14.9,25.7,173.0,27.7,30.4,341.0,20.0,5.9,87.0,2.64,18.6,br BRA,PO,Liverpool,eng Premier League,28.0,1992.0,36.0,24.0,0.0,0.0,3.0,1.0,24.4,0.25,1.4,0.04,114.0,258.0,44.2,1216.0,211.0,16.5,26.3,172.0,33.1,33.4,340.0,22.0,6.5,89.0,2.47,18.7,br BRA,PO,Liverpool,eng Premier League,29.0,1992.0,37.0,43.0,2.0,0.0,0.0,2.0,51.1,0.33,10.1,0.27,116.0,283.0,41.0,1256.0,210.0,18.4,26.9,193.0,26.9,31.3,397.0,23.0,5.8,89.0,2.41,19.8
4,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,30.0,1986.0,16.4,29.0,1.0,0.0,4.0,1.0,23.3,0.31,-4.7,-0.29,110.0,285.0,38.6,494.0,48.0,40.5,36.3,129.0,65.9,50.6,214.0,8.0,3.7,18.0,1.1,14.1,es ESP,PO,Celta Vigo,es La Liga,31.0,1986.0,13.0,22.0,2.0,1.0,2.0,1.0,19.1,0.3,-1.9,-0.15,91.0,237.0,38.4,330.0,47.0,43.9,36.5,128.0,71.9,52.1,230.0,8.0,3.5,7.0,0.54,12.9,es ESP,PO,Celta Vigo,es La Liga,32.0,1986.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.34,0.0,0.01,5.0,18.0,27.8,35.0,6.0,25.7,30.1,19.0,47.4,38.8,37.0,0.0,0.0,1.0,0.5,16.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ibrahim Amadou,fr FRA,"CC,DF",Lille,fr Ligue 1,24.0,1993.0,26.7,2.0,1.0,0.0,0.0,0.0,1.5,0.2,-0.5,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Jon Ander Serantes,es ESP,PO,Leganés,es La Liga,27.0,1989.0,1.0,2.0,0.0,0.0,0.0,0.0,2.7,0.34,0.7,0.71,8.0,26.0,30.8,25.0,1.0,72.0,54.5,8.0,100.0,71.5,9.0,1.0,11.1,0.0,0.0,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Nícolas Andrade,br BRA,PO,Hellas Verona,it Serie A,29.0,1988.0,36.0,71.0,6.0,4.0,9.0,2.0,64.5,0.25,-4.5,-0.13,363.0,878.0,41.3,1038.0,247.0,53.4,41.1,399.0,81.2,55.0,728.0,49.0,6.7,32.0,0.89,12.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,PO,Udinese,it Serie A,32.0,1988.0,2.0,5.0,0.0,0.0,0.0,0.0,3.7,0.62,-1.3,-0.64,7.0,13.0,53.8,31.0,6.0,25.8,29.4,9.0,55.6,43.1,23.0,0.0,0.0,0.0,0.0,11.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,33.0,1984.0,8.5,8.0,2.0,0.0,1.0,0.0,9.0,0.19,1.0,0.12,76.0,147.0,51.7,291.0,24.0,36.4,35.1,70.0,58.6,41.4,127.0,9.0,7.1,15.0,1.77,14.8,es ESP,PO,Real Sociedad,es La Liga,34.0,1984.0,11.0,11.0,0.0,0.0,1.0,0.0,10.2,0.31,-0.8,-0.08,63.0,126.0,50.0,284.0,35.0,28.2,31.5,77.0,59.7,43.2,160.0,5.0,3.1,21.0,1.91,17.8,es ESP,PO,Real Sociedad,es La Liga,35.0,1984.0,13.0,16.0,0.0,0.0,1.0,1.0,15.4,0.3,0.4,0.03,81.0,158.0,51.3,361.0,57.0,24.7,30.3,100.0,69.0,44.3,150.0,7.0,4.7,23.0,1.77,17.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Alphonse Areola,fr FRA,PO,Paris S-G,fr Ligue 1,24.0,1993.0,34.0,25.0,1.0,2.0,5.0,1.0,26.2,0.24,2.2,0.07,52.0,102.0,51.0,659.0,167.0,9.7,22.8,240.0,15.8,29.3,404.0,22.0,5.4,50.0,1.47,16.1,fr FRA,PO,Paris S-G,fr Ligue 1,25.0,1993.0,21.0,17.0,4.0,0.0,1.0,1.0,18.3,0.22,2.3,0.11,40.0,94.0,42.6,377.0,100.0,15.9,25.3,139.0,24.5,32.0,255.0,7.0,2.7,13.0,0.62,13.7,fr FRA,PO,Real Madrid,es La Liga,26.0,1993.0,7.0,7.0,2.0,0.0,1.0,0.0,5.5,0.61,-1.5,-0.43,16.0,34.0,143.8,153.0,36.0,17.1,44.4,38.0,70.5,67.1,80.0,3.0,7.8,10.0,3.0,32.7,fr FRA,PO,Fulham,eng Premier League,27.0,1993.0,36.0,48.0,6.0,0.0,2.0,1.0,50.5,0.28,3.5,0.1,144.0,389.0,37.0,760.0,173.0,32.8,30.0,251.0,55.8,39.8,501.0,26.0,5.2,31.0,0.86,13.0,fr FRA,PO,West Ham,eng Premier League,28.0,1993.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,0.39,0.2,0.17,9.0,28.0,32.1,26.0,3.0,69.2,46.3,14.0,71.4,48.5,15.0,1.0,6.7,0.0,0.0,5.5,fr FRA,PO,West Ham,eng Premier League,29.0,1993.0,3.4,7.0,2.0,0.0,1.0,0.0,7.3,0.33,0.3,0.09,14.0,37.0,37.8,61.0,14.0,39.3,33.4,30.0,43.3,33.0,47.0,2.0,4.3,1.0,0.29,10.3
