Unnamed: 0,Jugador,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,Tkl2017-2018,TklG2017-2018,3.º def.2017-2018,3.º cent.2017-2018,3.º ataq.2017-2018,Tkl.12017-2018,Att2017-2018,Tkl%2017-2018,Pérdida2017-2018,Bloqueos2017-2018,Dis2017-2018,Pases2017-2018,Int2017-2018,Tkl+Int2017-2018,Desp.2017-2018,Err2017-2018,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,90 s2018-2019,Tkl2018-2019,TklG2018-2019,3.º def.2018-2019,3.º cent.2018-2019,3.º ataq.2018-2019,Tkl.12018-2019,Att2018-2019,Tkl%2018-2019,Pérdida2018-2019,Bloqueos2018-2019,Dis2018-2019,Pases2018-2019,Int2018-2019,Tkl+Int2018-2019,Desp.2018-2019,Err2018-2019,País2019-2020,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,Nacimiento2019-2020,90 s2019-2020,Tkl2019-2020,TklG2019-2020,3.º def.2019-2020,3.º cent.2019-2020,3.º ataq.2019-2020,Tkl.12019-2020,Att2019-2020,Tkl%2019-2020,Pérdida2019-2020,Bloqueos2019-2020,Dis2019-2020,Pases2019-2020,Int2019-2020,Tkl+Int2019-2020,Desp.2019-2020,Err2019-2020,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,90 s2020-2021,Tkl2020-2021,TklG2020-2021,3.º def.2020-2021,3.º cent.2020-2021,3.º ataq.2020-2021,Tkl.12020-2021,Att2020-2021,Tkl%2020-2021,Pérdida2020-2021,Bloqueos2020-2021,Dis2020-2021,Pases2020-2021,Int2020-2021,Tkl+Int2020-2021,Desp.2020-2021,Err2020-2021,País2021-2022,Posc2021-2022,Equipo2021-2022,Comp2021-2022,Edad2021-2022,Nacimiento2021-2022,90 s2021-2022,Tkl2021-2022,TklG2021-2022,3.º def.2021-2022,3.º cent.2021-2022,3.º ataq.2021-2022,Tkl.12021-2022,Att2021-2022,Tkl%2021-2022,Pérdida2021-2022,Bloqueos2021-2022,Dis2021-2022,Pases2021-2022,Int2021-2022,Tkl+Int2021-2022,Desp.2021-2022,Err2021-2022,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,90 s2022-2023,Tkl2022-2023,TklG2022-2023,3.º def.2022-2023,3.º cent.2022-2023,3.º ataq.2022-2023,Tkl.12022-2023,Att2022-2023,Tkl%2022-2023,Pérdida2022-2023,Bloqueos2022-2023,Dis2022-2023,Pases2022-2023,Int2022-2023,Tkl+Int2022-2023,Desp.2022-2023,Err2022-2023
0,Patrick van Aanholt,101,4,36,3,26.0,1990.0,24.3,47.0,32.0,29.0,15.0,3.0,16.0,34.0,47.1,18.0,24.0,5.0,19.0,47.0,94.0,64.0,2.0,101,4,36,3,27.0,1990.0,35.5,48.0,24.0,35.0,11.0,2.0,24.0,40.0,60.0,16.0,33.0,9.0,24.0,40.0,88.0,91.0,2.0,101,4,36,3,28.0,1990.0,27.9,43.0,23.0,31.0,10.0,2.0,23.0,50.0,46.0,27.0,31.0,9.0,22.0,45.0,88.0,52.0,1.0,101,4,36,3,29.0,1990.0,19.7,35.0,22.0,18.0,17.0,0.0,19.0,43.0,44.2,24.0,18.0,6.0,12.0,30.0,65.0,40.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Rolando Aarons,42,3,96,3,21.0,1995.0,7.2,17.0,12.0,7.0,5.0,5.0,5.0,13.0,81.0,8.0,6.0,1.0,5.0,3.0,20.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Ignazio Abate,69,4,89,6,30.0,1986.0,11.7,20.0,17.0,10.0,9.0,1.0,6.0,11.0,54.5,5.0,22.0,2.0,20.0,8.0,28.0,29.0,0.0,69,4,89,6,31.0,1986.0,14.5,34.0,19.0,16.0,13.0,5.0,14.0,22.0,63.6,8.0,19.0,6.0,13.0,18.0,52.0,50.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Aymen Abdennour,124,4,87,5,27.0,1989.0,5.5,7.0,3.0,5.0,2.0,0.0,4.0,7.0,57.1,3.0,5.0,5.0,0.0,4.0,11.0,20.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Aly Abeid,93,4,76,4,19.0,1997.0,0.9,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0,3.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Mehdi Abeid,38,1,38,5,24.0,1992.0,13.1,23.0,15.0,8.0,14.0,1.0,8.0,32.0,25.0,24.0,11.0,6.0,5.0,18.0,41.0,25.0,2.0,38,1,38,5,25.0,1992.0,22.5,51.0,33.0,27.0,16.0,8.0,15.0,45.0,33.3,30.0,33.0,7.0,26.0,29.0,80.0,23.0,1.0,38,1,94,5,26.0,1992.0,20.2,55.0,29.0,18.0,32.0,5.0,20.0,53.0,37.7,33.0,16.0,3.0,13.0,23.0,78.0,8.0,1.0,38,1,94,5,27.0,1992.0,14.7,34.0,19.0,16.0,14.0,4.0,15.0,30.0,50.0,15.0,9.0,2.0,7.0,20.0,54.0,10.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,David Abraham,6,4,42,2,31.0,1986.0,25.6,40.0,32.0,29.0,10.0,1.0,27.0,36.0,75.0,9.0,29.0,15.0,14.0,40.0,80.0,141.0,1.0,6,4,42,2,32.0,1986.0,15.8,22.0,14.0,13.0,8.0,1.0,11.0,25.0,44.0,14.0,23.0,12.0,11.0,24.0,46.0,64.0,0.0,6,4,42,2,33.0,1986.0,18.8,21.0,14.0,16.0,4.0,1.0,15.0,32.0,46.9,17.0,27.0,11.0,16.0,25.0,46.0,61.0,1.0,6,4,42,2,34.0,1986.0,13.6,18.0,12.0,13.0,3.0,2.0,11.0,17.0,64.7,6.0,13.0,4.0,9.0,17.0,35.0,34.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Tammy Abraham,42,8,126,3,19.0,1997.0,19.2,10.0,8.0,1.0,7.0,2.0,1.0,13.0,7.7,12.0,8.0,1.0,7.0,1.0,11.0,11.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,8,31,3,21.0,1997.0,24.6,8.0,4.0,2.0,5.0,1.0,3.0,14.0,21.4,11.0,20.0,2.0,18.0,6.0,14.0,27.0,0.0,42,8,31,3,22.0,1997.0,11.6,7.0,5.0,3.0,3.0,1.0,1.0,7.0,14.3,6.0,6.0,0.0,6.0,5.0,12.0,17.0,0.0,42,8,112,6,23.0,1997.0,34.3,27.0,13.0,7.0,14.0,6.0,9.0,22.0,40.9,13.0,17.0,3.0,14.0,5.0,32.0,27.0,0.0,42,8,112,6,24.0,1997.0,24.3,17.0,10.0,4.0,8.0,5.0,3.0,16.0,18.8,13.0,10.0,4.0,6.0,3.0,20.0,14.0,0.0
8,Amir Abrashi,3,1,49,2,27.0,1990.0,9.4,35.0,32.0,15.0,18.0,2.0,16.0,23.0,69.6,7.0,22.0,5.0,17.0,19.0,54.0,20.0,0.0,3,1,49,2,28.0,1990.0,8.8,20.0,11.0,7.0,10.0,3.0,6.0,19.0,31.6,13.0,11.0,3.0,8.0,14.0,34.0,15.0,0.0,3,1,49,2,29.0,1990.0,7.4,16.0,8.0,7.0,8.0,1.0,10.0,19.0,52.6,9.0,18.0,3.0,15.0,7.0,23.0,16.0,2.0,3,2,49,2,30.0,1990.0,0.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Francesco Acerbi,69,4,117,6,29.0,1988.0,38.0,51.0,32.0,26.0,22.0,3.0,22.0,36.0,61.1,14.0,42.0,21.0,21.0,88.0,139.0,255.0,1.0,69,4,70,6,30.0,1988.0,36.8,40.0,30.0,22.0,13.0,5.0,12.0,16.0,75.0,4.0,50.0,32.0,18.0,61.0,101.0,169.0,1.0,69,4,70,6,31.0,1988.0,35.1,59.0,29.0,42.0,12.0,5.0,14.0,20.0,70.0,6.0,40.0,27.0,13.0,42.0,101.0,109.0,1.0,69,4,70,6,32.0,1988.0,31.3,51.0,32.0,34.0,13.0,4.0,18.0,40.0,45.0,22.0,24.0,15.0,9.0,76.0,127.0,121.0,2.0,69,4,70,6,33.0,1988.0,28.2,25.0,12.0,15.0,9.0,1.0,12.0,19.0,63.2,7.0,37.0,28.0,9.0,34.0,59.0,92.0,0.0,69,4,65,6,34.0,1988.0,26.9,33.0,19.0,22.0,7.0,4.0,20.0,27.0,74.1,7.0,25.0,18.0,7.0,41.0,74.0,85.0,2.0
