Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Erling Haaland,21,3,Norway,150.0,Man City,Premier League,England,2,60.0
Enzo Fernández,22,4,Argentina,55.0,Chelsea,Premier League,England,2,121.0
Antony,22,10,Brazil,35.0,Man Utd,Premier League,England,2,95.0
Wesley Fofana,21,2,France,40.0,Chelsea,Premier League,England,2,80.4
Aurélien Tchouaméni,22,4,France,60.0,Real Madrid,LaLiga,Spain,2,80.0
Casemiro,30,4,Brazil,40.0,Man Utd,Premier League,England,2,70.65
Mykhaylo Mudryk,22,7,Ukraine,40.0,Chelsea,Premier League,England,2,70.0
Alexander Isak,22,3,Sweden,30.0,Newcastle,Premier League,England,2,70.0
Matthijs de Ligt,22,2,Netherlands,70.0,Bayern Munich,Bundesliga,Germany,2,67.0
Raheem Sterling,27,7,England,70.0,Chelsea,Premier League,England,2,56.2
Sadio Mané,30,7,Senegal,70.0,Bayern Munich,Bundesliga,Germany,2,32.0
Romelu Lukaku,29,3,Belgium,70.0,Inter,Serie A,Italy,1,
João Cancelo,28,11,Portugal,70.0,Bayern Munich,Bundesliga,Germany,1,
Marc Cucurella,24,8,Spain,28.0,Chelsea,Premier League,England,2,65.3
Federico Chiesa,24,7,Italy,65.0,Juventus,Serie A,Italy,2,42.5
Jules Koundé,23,2,France,60.0,Barcelona,LaLiga,Spain,2,50.0
Cody Gakpo,23,7,Netherlands,60.0,Liverpool,Premier League,England,2,42.0
Raphinha,25,10,Brazil,45.0,Barcelona,LaLiga,Spain,2,58.0
Richarlison,25,3,Brazil,48.0,Tottenham,Premier League,England,2,58.0
Lisandro Martínez,24,2,Argentina,32.0,Man Utd,Premier League,England,2,57.37
Darwin Núñez,23,3,Uruguay,55.0,Liverpool,Premier League,England,2,80.0
Fabián Ruiz,26,1,Spain,55.0,Paris SG,Ligue 1,France,2,23.0
Gabriel Jesus,25,3,Brazil,50.0,Arsenal,Premier League,England,2,52.2
Cristian Romero,24,2,Argentina,48.0,Tottenham,Premier League,England,2,50.0
Kalvin Phillips,26,4,England,50.0,Man City,Premier League,England,2,49.0
Carlos Soler,25,1,Spain,50.0,Paris SG,Ligue 1,France,2,18.0
João Félix,23,12,Portugal,50.0,Chelsea,Premier League,England,1,
Paul Pogba,29,1,France,48.0,Juventus,Serie A,Italy,0,
Anthony Gordon,21,7,England,40.0,Newcastle,Premier League,England,2,45.6
Robert Lewandowski,33,3,Poland,45.0,Barcelona,LaLiga,Spain,2,45.0
Matheus Nunes,23,1,Portugal,35.0,Wolves,Premier League,England,2,45.0
Franck Kessié,25,1,Cote d'Ivoire,45.0,Barcelona,LaLiga,Spain,0,
Enzo Fernández,21,4,Argentina,15.0,Benfica,Liga Portugal,Portugal,2,44.25
Lucas Paquetá,25,0,Brazil,35.0,West Ham,Premier League,England,2,42.95
Amine Gouiri,22,3,France,42.0,Rennes,Ligue 1,France,2,28.0
Vitinha,22,1,Portugal,30.0,Paris SG,Ligue 1,France,2,41.5
Bremer,25,2,Brazil,35.0,Juventus,Serie A,Italy,2,41.0
Nuno Mendes,20,8,Portugal,40.0,Paris SG,Ligue 1,France,2,38.0
Benoît Badiashile,21,2,France,40.0,Chelsea,Premier League,England,2,38.0
Gonçalo Guedes,25,12,Portugal,40.0,Wolves,Premier League,England,2,32.6
Diego Carlos,29,2,Brazil,40.0,Aston Villa,Premier League,England,2,31.0
Antonio Rüdiger,29,2,Germany,40.0,Real Madrid,LaLiga,Spain,0,
Kalidou Koulibaly,31,2,Senegal,35.0,Chelsea,Premier League,England,2,38.0
Sven Botman,22,2,Netherlands,30.0,Newcastle,Premier League,England,2,37.0
Gianluca Scamacca,23,3,Italy,30.0,West Ham,Premier League,England,2,36.0
Fábio Vieira,22,0,Portugal,25.0,Arsenal,Premier League,England,2,35.0
Oleksandr Zinchenko,25,8,Ukraine,25.0,Arsenal,Premier League,England,2,35.0
Amadou Onana,20,4,Belgium,10.0,Everton,Premier League,England,2,35.0
Nayef Aguerd,26,2,Morocco,12.0,West Ham,Premier League,England,2,35.0
Noni Madueke,20,10,England,15.0,Chelsea,Premier League,England,2,35.0
Sébastien Haller,28,3,Cote d'Ivoire,35.0,Bor. Dortmund,Bundesliga,Germany,2,31.0
Karim Adeyemi,20,7,Germany,35.0,Bor. Dortmund,Bundesliga,Germany,2,30.0
Yves Bissouma,25,1,Mali,35.0,Tottenham,Premier League,England,2,29.2
Timo Werner,26,3,Germany,35.0,RB Leipzig,Bundesliga,Germany,2,20.0
Ryan Gravenberch,20,1,Netherlands,35.0,Bayern Munich,Bundesliga,Germany,2,18.5
Jorginho,31,4,Italy,35.0,Arsenal,Premier League,England,2,11.3
Arnaut Danjuma,25,7,Netherlands,35.0,Tottenham,Premier League,England,1,
Paulo Dybala,28,12,Argentina,35.0,AS Roma,Serie A,Italy,0,
Niklas Süle,26,2,Germany,35.0,Bor. Dortmund,Bundesliga,Germany,0,
Andreas Christensen,26,2,Denmark,35.0,Barcelona,LaLiga,Spain,0,
