RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26.0,1990.0,24.3,5,33.0,11,33.3,1.36,0.45,0.15,0.45,23.4,4.0,0,0,3.1,3.1,0.09,1.9,1.9
2,Rolando Aarons,eng ENG,"CC,DL",Newcastle Utd,eng Premier League,21.0,1995.0,1.5,0,2.0,0,0.0,1.29,0.0,0.0,,19.9,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
3,Rolando Aarons,eng ENG,"CC,DL",Hellas Verona,it Serie A,21.0,1995.0,5.7,0,3.0,0,0.0,0.52,0.0,0.0,,17.4,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30.0,1986.0,11.7,1,4.0,2,50.0,0.34,0.17,0.25,0.5,17.1,0.0,0,0,0.2,0.2,0.04,0.8,0.8
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27.0,1989.0,5.5,0,2.0,1,50.0,0.36,0.18,0.0,0.0,11.5,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19.0,1997.0,0.9,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
7,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,24.0,1992.0,13.1,0,21.0,6,28.6,1.61,0.46,0.0,0.0,25.2,2.0,0,0,1.0,1.0,0.05,-1.0,-1.0
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31.0,1986.0,25.6,0,7.0,1,14.3,0.27,0.04,0.0,0.0,19.2,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4
9,Tammy Abraham,eng ENG,DL,Swansea City,eng Premier League,19.0,1997.0,19.2,5,42.0,13,31.0,2.19,0.68,0.12,0.38,13.1,0.0,0,0,6.8,6.8,0.16,-1.8,-1.8
10,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,27.0,1990.0,9.4,0,5.0,0,0.0,0.53,0.0,0.0,,22.2,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29.0,1988.0,38.0,0,15.0,2,13.3,0.39,0.05,0.0,0.0,18.0,0.0,0,0,1.0,1.0,0.07,-1.0,-1.0
12,Afriyie Acquah,gh GHA,CC,Torino,it Serie A,25.0,1992.0,10.6,1,9.0,3,33.3,0.85,0.28,0.11,0.33,24.2,0.0,0,0,0.4,0.4,0.04,0.6,0.6
13,Charlie Adam,sct SCO,CC,Stoke City,eng Premier League,31.0,1985.0,4.6,0,9.0,2,22.2,1.97,0.44,0.0,0.0,31.5,3.0,0,1,1.6,0.9,0.09,-1.6,-0.9
14,Antonio Adán,es ESP,PO,Betis,es La Liga,30.0,1987.0,30.0,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
15,Aday,es ESP,DF,Girona,es La Liga,29.0,1987.0,20.4,2,31.0,12,38.7,1.52,0.59,0.03,0.08,22.8,5.0,1,2,2.8,1.3,0.04,-0.8,-0.3
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32.0,1985.0,32.5,0,5.0,1,20.0,0.15,0.03,0.0,0.0,9.1,0.0,0,0,0.6,0.6,0.13,-0.6,-0.6
17,Claud Adjapong,it ITA,"DF,DL",Sassuolo,it Serie A,19.0,1998.0,13.6,0,14.0,4,28.6,1.03,0.3,0.0,0.0,20.7,0.0,0,0,0.8,0.8,0.06,-0.8,-0.8
18,René Adler,de GER,PO,Mainz 05,de Bundesliga,32.0,1985.0,14.0,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
19,Yacine Adli,fr FRA,DL,Paris S-G,fr Ligue 1,17.0,2000.0,0.1,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
20,Ali Adnan Kadhim,iq IRQ,"DF,DL",Udinese,it Serie A,23.0,1993.0,18.6,0,12.0,3,25.0,0.65,0.16,0.0,0.0,27.6,5.0,0,0,0.5,0.5,0.04,-0.5,-0.5
21,Adrián,es ESP,PO,West Ham,eng Premier League,30.0,1987.0,19.0,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
22,Aritz Aduriz,es ESP,DL,Athletic Club,es La Liga,36.0,1981.0,23.9,9,56.0,23,41.1,2.34,0.96,0.11,0.26,13.5,0.0,3,5,11.1,7.6,0.13,-2.1,-1.6
23,Ibrahim Afellay,nl NED,CC,Stoke City,eng Premier League,31.0,1986.0,1.8,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
