RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,1870.0,89.0,529.0,848.0,515.0,41.0,1869.0,38.0,16.0,42.1,22.0,57.9,830.0,4462.0,2433.0,60.0,41.0,10.0,31.0,15.0,994.0,89.0
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,2144.0,159.0,763.0,868.0,536.0,43.0,2144.0,99.0,48.0,48.5,51.0,51.5,1259.0,7858.0,4066.0,92.0,61.0,21.0,54.0,31.0,1253.0,151.0
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,1854.0,194.0,1052.0,768.0,51.0,29.0,1854.0,26.0,20.0,76.9,6.0,23.1,1031.0,5773.0,3542.0,21.0,12.0,0.0,15.0,5.0,1216.0,6.0
4,Suleiman Abdullahi,ng NGA,"DL,CC",Union Berlin,de Bundesliga,22,1996,1.7,63.0,1.0,8.0,24.0,33.0,7.0,63.0,5.0,2.0,40.0,3.0,60.0,29.0,164.0,75.0,2.0,2.0,1.0,7.0,0.0,36.0,10.0
5,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,26,1992,20.2,1159.0,14.0,163.0,766.0,249.0,17.0,1159.0,23.0,16.0,69.6,7.0,30.4,650.0,3350.0,1494.0,25.0,24.0,3.0,24.0,21.0,754.0,42.0
6,Charles Abi,fr FRA,DL,Saint-Étienne,fr Ligue 1,19,2000,6.9,195.0,7.0,14.0,100.0,86.0,20.0,195.0,19.0,13.0,68.4,6.0,31.6,108.0,680.0,346.0,12.0,4.0,5.0,26.0,7.0,144.0,33.0
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,1075.0,93.0,456.0,550.0,76.0,10.0,1075.0,9.0,7.0,77.8,2.0,22.2,561.0,3169.0,1737.0,18.0,16.0,1.0,6.0,3.0,610.0,12.0
8,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,21,1997,24.6,722.0,30.0,60.0,337.0,334.0,146.0,722.0,35.0,16.0,45.7,19.0,54.3,333.0,1698.0,749.0,31.0,17.0,10.0,74.0,42.0,479.0,134.0
9,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,29,1990,7.4,425.0,24.0,137.0,232.0,58.0,4.0,425.0,5.0,3.0,60.0,2.0,40.0,236.0,1014.0,401.0,8.0,4.0,0.0,18.0,3.0,250.0,13.0
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2387.0,300.0,1093.0,1125.0,184.0,30.0,2387.0,14.0,13.0,92.9,1.0,7.1,1391.0,9440.0,5596.0,57.0,22.0,0.0,12.0,7.0,1599.0,36.0
