RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,0,0,0,1,0,0,0,1,0,0.0,0.0,0,0.0,0.0,0.0,
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,2,0,0,11,3,3,40,30,22,0.0,0.0,0,136.0,11.0,13.0,45.8
3,Issah Abbas,gh GHA,"DF,DL",Mainz 05,de Bundesliga,21,1998,0.2,0,0,0,1,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,4,1,0,37,22,0,0,61,37,0.0,1.0,0,200.0,92.0,53.0,63.4
5,Sabit Abdulai,gh GHA,CC,Getafe,es La Liga,21,1999,0.7,1,0,0,2,1,0,1,0,0,0.0,0.0,0,1.0,1.0,3.0,25.0
6,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,27,1992,14.7,5,0,0,31,22,1,40,20,19,0.0,0.0,0,108.0,13.0,18.0,41.9
7,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,27,1993,32.9,5,0,0,44,37,0,26,46,84,1.0,0.0,0,231.0,9.0,17.0,34.6
8,Charles Abi,fr FRA,"DL,CC",Saint-Étienne,fr Ligue 1,20,2000,10.1,1,0,0,18,7,7,3,4,2,0.0,0.0,0,26.0,37.0,59.0,38.5
9,Matthis Abline,fr FRA,DL,Rennes,fr Ligue 1,17,2003,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,1,0,0,10,9,1,1,27,13,0.0,0.0,0,97.0,55.0,15.0,78.6
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,5,1,1,9,6,1,13,17,12,0.0,0.0,0,76.0,31.0,18.0,63.3
12,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,22,1997,11.6,0,0,0,22,12,4,6,5,5,1.0,0.0,0,28.0,38.0,28.0,57.6
13,Amir Abrashi,al ALB,"CC,DF",Freiburg,de Bundesliga,30,1990,0.7,0,0,0,4,0,0,0,2,1,0.0,0.0,0,6.0,1.0,2.0,33.3
14,Gennaro Acampora,it ITA,"CC,DL",Spezia,it Serie A,26,1994,4.9,2,0,0,10,12,1,7,4,4,0.0,0.0,0,31.0,3.0,5.0,37.5
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,9,1,1,31,24,2,32,76,32,0.0,0.0,0,227.0,62.0,25.0,71.3
16,Ragnar Ache,de GER,"DL,DF",Eint Frankfurt,de Bundesliga,22,1998,1.1,1,0,0,5,1,1,1,1,0,0.0,0.0,0,3.0,9.0,7.0,56.3
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,5,0,0,45,32,2,119,23,42,0.0,2.0,0,160.0,20.0,33.0,37.7
18,Che Adams,sct SCO,DL,Southampton,eng Premier League,24,1996,29.6,1,0,0,30,55,19,6,4,16,0.0,0.0,0,84.0,53.0,133.0,28.5
19,Tyler Adams,us USA,"CC,DF",RB Leipzig,de Bundesliga,21,1999,20.6,3,0,0,29,29,2,19,29,24,0.0,0.0,0,169.0,21.0,13.0,61.8
20,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,27,1993,5.3,2,0,0,5,8,3,10,6,4,0.0,0.0,0,20.0,11.0,11.0,50.0
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,1,0,0,16,6,2,2,42,19,0.0,1.0,1,143.0,82.0,38.0,68.3
22,Bobby Adekanye,nl NED,"DL,CC",Cádiz,es La Liga,21,1999,0.4,0,0,0,1,0,0,2,0,0,0.0,0.0,0,2.0,0.0,0.0,
23,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,20,2000,26.9,6,0,0,39,37,0,53,39,37,0.0,0.0,0,172.0,27.0,27.0,50.0
24,Andrea Adorante,it ITA,DL,Parma,it Serie A,20,2000,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0
25,Adrián,es ESP,PO,Liverpool,eng Premier League,33,1987,3.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,1.0,0.0,100.0
26,Martin Agirregabiria,es ESP,"DF,CC",Alavés,es La Liga,24,1996,17.3,1,0,0,23,23,1,32,27,18,0.0,0.0,0,81.0,19.0,22.0,46.3
27,Lucien Agoume,fr FRA,CC,Spezia,it Serie A,18,2002,8.9,2,0,0,17,8,0,1,15,10,0.0,0.0,0,75.0,12.0,2.0,85.7
28,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,0,0,0,5,26,1,12,12,9,0.0,0.0,0,45.0,13.0,11.0,54.2
29,Kevin Agudelo,co COL,DL,Spezia,it Serie A,21,1998,15.1,4,0,0,20,32,2,11,10,28,0.0,0.0,0,60.0,16.0,34.0,32.0
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,6,0,0,22,29,2,1,47,30,0.0,1.0,0,197.0,121.0,71.0,63.0
31,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,32,1988,6.2,0,0,0,2,7,1,1,2,1,0.0,0.0,0,12.0,2.0,4.0,33.3
32,Ruben Aguilar,fr FRA,"DF,CC",Monaco,fr Ligue 1,27,1993,24.7,6,0,0,39,36,1,118,47,37,1.0,0.0,0,139.0,46.0,38.0,54.8
33,Naouirou Ahamada,fr FRA,CC,Stuttgart,de Bundesliga,18,2002,2.8,2,1,0,6,9,0,0,1,1,0.0,1.0,0,16.0,0.0,1.0,0.0
34,Matteo Ahlinvi,bj BEN,CC,Nîmes,fr Ligue 1,21,1999,10.0,0,0,0,17,15,1,6,2,20,0.0,1.0,0,57.0,8.0,13.0,38.1
35,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,26,1994,23.8,9,0,0,50,32,0,8,53,25,0.0,0.0,0,165.0,40.0,30.0,57.1
36,Jean-Eudes Aholou,ci CIV,CC,Monaco,fr Ligue 1,26,1994,0.4,0,0,0,0,1,0,0,1,0,0.0,0.0,0,2.0,1.0,0.0,100.0
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,3,0,0,13,13,1,1,25,17,0.0,0.0,0,89.0,42.0,40.0,51.2
38,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,3,0,0,32,25,2,52,45,20,0.0,0.0,0,147.0,31.0,36.0,46.3
39,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,19,2001,15.6,1,0,0,15,19,1,61,15,16,0.0,1.0,0,86.0,5.0,23.0,17.9
40,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,19,2001,2.1,0,0,0,2,3,0,4,4,2,0.0,0.0,0,8.0,1.0,3.0,25.0
41,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,3,1,0,28,4,1,7,42,14,0.0,2.0,0,161.0,74.0,54.0,57.8
42,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,26,1994,33.0,5,0,0,38,46,12,27,11,18,2.0,0.0,0,67.0,166.0,133.0,55.5
43,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,4,0,0,22,18,0,2,49,22,1.0,1.0,0,148.0,46.0,30.0,60.5
44,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,3,1,1,10,4,0,18,19,14,0.0,0.0,0,49.0,14.0,3.0,82.4
45,Marley Aké,fr FRA,DL,Marseille,fr Ligue 1,19,2001,1.6,0,0,0,6,5,0,2,0,3,0.0,0.0,0,7.0,4.0,6.0,40.0
46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,4,0,0,8,4,0,1,9,5,0.0,1.0,0,30.0,24.0,17.0,58.5
47,Paul Akouokou,ci CIV,CC,Betis,es La Liga,22,1997,4.2,5,1,1,11,2,0,2,6,8,0.0,0.0,0,29.0,10.0,8.0,55.6
48,Jean-Daniel Akpa-Akpro,ci CIV,CC,Lazio,it Serie A,27,1992,11.7,9,0,0,31,12,0,4,18,25,0.0,0.0,0,70.0,9.0,9.0,50.0
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,1,0,0,15,16,0,8,13,12,0.0,0.0,0,69.0,21.0,28.0,42.9
50,David Alaba,at AUT,"DF,CC",Bayern Munich,de Bundesliga,28,1992,29.7,4,0,0,19,10,0,37,43,21,0.0,0.0,0,189.0,19.0,18.0,51.4
51,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,16.7,4,0,0,25,26,1,19,21,33,1.0,1.0,0,106.0,7.0,13.0,35.0
52,Jony Álamo,es ESP,CC,Elche,es La Liga,18,2001,0.8,0,0,0,0,2,0,0,1,1,0.0,0.0,0,7.0,0.0,1.0,0.0
53,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,27,1992,13.8,2,0,0,17,17,11,0,2,2,0.0,0.0,0,29.0,38.0,69.0,35.5
54,Jordi Alba,es ESP,"DF,DL",Barcelona,es La Liga,31,1989,33.6,9,0,0,20,15,10,119,49,30,0.0,0.0,1,218.0,4.0,8.0,33.3
55,Luis Alberto,es ESP,CC,Lazio,it Serie A,27,1992,29.1,5,0,0,19,36,2,150,13,24,0.0,0.0,0,209.0,10.0,12.0,45.5
56,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,7,0,0,13,16,1,6,22,15,0.0,0.0,0,175.0,65.0,42.0,60.7
57,Marc Albrighton,eng ENG,"DF,DL",Leicester City,eng Premier League,30,1989,19.4,2,0,0,9,19,4,118,17,19,0.0,0.0,0,138.0,10.0,36.0,21.7
58,Paco Alcácer,es ESP,DL,Villarreal,es La Liga,26,1993,17.2,0,0,0,7,8,17,3,9,3,0.0,0.0,0,31.0,13.0,44.0,22.8
59,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,2,0,0,12,4,1,0,16,4,0.0,0.0,1,34.0,17.0,26.0,39.5
60,Thiago Alcántara,es ESP,CC,Liverpool,eng Premier League,29,1991,20.6,4,0,0,48,25,0,7,30,36,0.0,1.0,0,153.0,31.0,31.0,50.0
61,Rubén Alcaraz,es ESP,CC,Valladolid,es La Liga,29,1991,24.1,10,0,0,47,44,0,10,31,29,0.0,0.0,0,153.0,52.0,46.0,53.1
62,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,2,0,0,22,5,0,2,21,10,0.0,0.0,0,68.0,32.0,29.0,52.5
63,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,2,0,0,17,3,0,1,10,22,0.0,1.0,1,117.0,45.0,35.0,56.3
64,Iván Alejo,es ESP,"CC,DL",Cádiz,es La Liga,25,1995,9.2,5,0,0,29,22,4,63,3,10,0.0,0.0,0,42.0,13.0,9.0,59.1
65,Carles Aleñá,es ESP,CC,Barcelona,es La Liga,22,1998,0.5,1,0,0,4,0,0,0,0,0,0.0,0.0,0,1.0,1.0,1.0,50.0
66,Carles Aleñá,es ESP,"CC,DL",Getafe,es La Liga,22,1998,15.2,1,0,0,20,26,0,60,2,10,0.0,0.0,0,75.0,14.0,34.0,29.2
67,Rúnar Alex Rúnarsson,is ISL,PO,Arsenal,eng Premier League,25,1995,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,2,0,0,21,9,5,297,49,33,0.0,1.0,0,258.0,8.0,23.0,25.8
