RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera.1
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21.0,1999.0,2,11.0,6.0,0.3,0.1,0,,0.0,2,6.0,18,2.0,0.0,0.0,0.0,0.0,0.24,0.0,0.2,-0.2,-1.75,-1.81
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29.0,1990.0,22,1777.0,81.0,52.0,19.7,20,88.0,19.0,2,11.0,11,1.05,19.0,36.0,-17.0,-0.86,-0.42,17.1,30.9,-13.8,-0.7,-0.13
3,Issah Abbas,gh GHA,"DF,DL",Mainz 05,de Bundesliga,21.0,1998.0,2,18.0,9.0,0.6,0.2,0,,0.0,2,9.0,5,0.0,0.0,0.0,0.0,0.0,0.5,0.9,0.0,0.9,4.36,4.45
4,Basit Abdallah,gh GHA,CC,Benevento,it Serie A,20.0,1999.0,0,,,,,0,,0.0,0,,13,,,,,,,,,,,
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32.0,1987.0,33,2889.0,88.0,84.5,32.1,33,88.0,32.0,0,,0,1.18,37.0,39.0,-2.0,-0.06,0.95,29.1,45.4,-16.2,-0.51,1.2
6,Sabit Abdulai,gh GHA,CC,Getafe,es La Liga,21.0,1999.0,3,60.0,20.0,1.8,0.7,0,,0.0,3,20.0,16,0.67,1.0,2.0,-1.0,-1.5,-1.13,0.9,1.4,-0.4,-0.65,-0.51
7,Eris Abedini,xk KVX,CC,Granada,es La Liga,21.0,1998.0,0,,,,,0,,0.0,0,,1,,,,,,,,,,,
8,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,27.0,1992.0,18,1320.0,73.0,38.6,14.7,15,83.0,10.0,3,23.0,1,0.94,13.0,23.0,-10.0,-0.68,-0.77,16.2,22.8,-6.6,-0.45,-0.54
9,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,27.0,1993.0,38,2963.0,78.0,86.6,32.9,32,85.0,22.0,6,40.0,0,1.11,42.0,53.0,-11.0,-0.33,1.04,41.8,43.0,-1.2,-0.04,0.52
10,Charles Abi,fr FRA,"DL,CC",Saint-Étienne,fr Ligue 1,20.0,2000.0,24,912.0,38.0,26.7,10.1,9,64.0,1.0,15,22.0,2,1.33,16.0,23.0,-7.0,-0.69,-0.51,15.5,16.1,-0.6,-0.06,-0.03
11,Matthis Abline,fr FRA,DL,Rennes,fr Ligue 1,17.0,2003.0,1,2.0,2.0,0.1,0.0,0,,0.0,1,2.0,3,3.0,1.0,0.0,1.0,45.0,44.71,0.4,0.0,0.4,17.75,17.5
12,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24.0,1995.0,14,1260.0,90.0,36.8,14.0,14,90.0,14.0,0,,1,1.64,21.0,18.0,3.0,0.21,0.84,20.0,19.6,0.4,0.03,0.1
13,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,21.0,1999.0,0,,,,,0,,0.0,0,,2,,,,,,,,,,,
14,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34.0,1986.0,14,1222.0,87.0,39.9,13.6,14,87.0,12.0,0,,0,1.64,25.0,17.0,8.0,0.59,0.2,24.9,15.8,9.1,0.67,0.55
15,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,22.0,1997.0,22,1040.0,47.0,30.4,11.6,12,74.0,7.0,10,15.0,8,1.77,23.0,12.0,11.0,0.95,0.54,20.0,8.2,11.8,1.02,0.25
16,Amir Abrashi,al ALB,"CC,DF",Freiburg,de Bundesliga,30.0,1990.0,5,60.0,12.0,2.0,0.7,0,,0.0,5,12.0,7,2.4,1.0,1.0,0.0,0.0,0.0,1.0,1.3,-0.3,-0.44,-0.24
17,Gennaro Acampora,it ITA,"CC,DL",Spezia,it Serie A,26.0,1994.0,14,441.0,32.0,12.9,4.9,2,90.0,1.0,12,22.0,9,0.86,8.0,12.0,-4.0,-0.82,-0.33,6.1,9.3,-3.2,-0.64,-0.18
18,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32.0,1988.0,32,2813.0,88.0,82.3,31.3,32,88.0,30.0,0,,0,1.88,51.0,44.0,7.0,0.22,0.37,48.6,39.2,9.3,0.3,0.08
19,Ragnar Ache,de GER,"DL,DF",Eint Frankfurt,de Bundesliga,22.0,1998.0,7,100.0,14.0,3.3,1.1,0,,0.0,7,14.0,3,2.29,4.0,1.0,3.0,2.7,2.3,1.9,2.2,-0.2,-0.22,-0.58
20,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28.0,1991.0,30,2330.0,78.0,68.1,25.9,26,83.0,22.0,4,46.0,1,1.97,37.0,28.0,9.0,0.35,-0.56,41.1,23.8,17.3,0.67,0.48
21,Che Adams,sct SCO,DL,Southampton,eng Premier League,24.0,1996.0,36,2667.0,74.0,78.0,29.6,30,84.0,16.0,6,25.0,0,1.11,39.0,51.0,-12.0,-0.4,0.67,32.1,37.4,-5.3,-0.18,0.6
22,Tyler Adams,us USA,"CC,DF",RB Leipzig,de Bundesliga,21.0,1999.0,27,1850.0,69.0,60.5,20.6,21,83.0,13.0,6,20.0,1,2.11,35.0,19.0,16.0,0.78,-0.11,37.0,18.7,18.2,0.89,-0.36
23,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,27.0,1993.0,18,479.0,27.0,15.7,5.3,3,77.0,1.0,15,16.0,6,1.5,13.0,6.0,7.0,1.32,1.63,11.1,10.4,0.7,0.13,0.2
24,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22.0,1997.0,33,2953.0,89.0,86.3,32.8,33,89.0,32.0,0,,1,0.85,24.0,41.0,-17.0,-0.52,1.22,35.8,46.2,-10.4,-0.32,0.01
25,Enzo Adeagbo,ch SUI,DF,Lazio,it Serie A,18.0,2002.0,0,,,,,0,,0.0,0,,3,,,,,,,,,,,
26,Bobby Adekanye,nl NED,"DL,CC",Lazio,it Serie A,21.0,1999.0,0,,,,,0,,0.0,0,,2,,,,,,,,,,,
27,Bobby Adekanye,nl NED,"DL,CC",Cádiz,es La Liga,21.0,1999.0,3,36.0,12.0,1.1,0.4,0,,0.0,3,12.0,6,2.33,0.0,0.0,0.0,0.0,0.59,0.9,0.5,0.4,0.91,1.47
