RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,1164.0,959.0,192.0,31.0,0.0,4.0,40,159.0,2.0,0.0,2.0,0.0,906.0,13.0,26.0
3,Issah Abbas,gh GHA,"DF,DL",Mainz 05,de Bundesliga,21,1998,0.2,15.0,12.0,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,1762.0,1697.0,60.0,60.0,0.0,11.0,0,0.0,0.0,0.0,0.0,0.0,1506.0,5.0,10.0
5,Sabit Abdulai,gh GHA,CC,Getafe,es La Liga,21,1999,0.7,14.0,14.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
6,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,27,1992,14.7,718.0,662.0,52.0,33.0,0.0,9.0,40,5.0,14.0,7.0,7.0,0.0,605.0,4.0,7.0
7,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,27,1993,32.9,1564.0,1521.0,38.0,31.0,1.0,11.0,26,7.0,0.0,0.0,0.0,0.0,1288.0,5.0,34.0
8,Charles Abi,fr FRA,"DL,CC",Saint-Étienne,fr Ligue 1,20,2000,10.1,202.0,192.0,10.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,128.0,0.0,10.0
9,Matthis Abline,fr FRA,DL,Rennes,fr Ligue 1,17,2003,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,681.0,653.0,27.0,25.0,0.0,18.0,1,2.0,0.0,0.0,0.0,0.0,521.0,1.0,2.0
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,678.0,616.0,59.0,17.0,0.0,10.0,13,42.0,0.0,0.0,0.0,0.0,558.0,3.0,7.0
