RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl.1,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,64.0,44,49.0,15.0,0.0,37.0,55.0,67.3,18.0,39.0,19.0,20.0,28,92.0,96.0,1.0
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,48.0,27,34.0,14.0,0.0,16.0,32.0,50.0,16.0,50.0,25.0,25.0,68,116.0,104.0,0.0
3,Salis Abdul Samed,gh GHA,CC,Clermont Foot,fr Ligue 1,21,2000,27.4,43.0,23,25.0,16.0,2.0,20.0,57.0,35.1,37.0,18.0,1.0,17.0,42,85.0,15.0,0.0
4,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,28,1993,32.8,110.0,60,44.0,53.0,13.0,71.0,166.0,42.8,95.0,58.0,1.0,57.0,55,165.0,13.0,0.0
5,Charles Abi,fr FRA,DL,Saint-Étienne,fr Ligue 1,21,2000,0.5,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0,0.0,0.0,0.0
6,Dickson Abiama,ng NGA,DL,Greuther Fürth,de Bundesliga,22,1998,8.1,11.0,7,4.0,5.0,2.0,2.0,10.0,20.0,8.0,12.0,1.0,11.0,4,15.0,8.0,0.0
7,Matthis Abline,fr FRA,DL,Rennes,fr Ligue 1,18,2003,1.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0,0.0,1.0,0.0
8,Tammy Abraham,eng ENG,DL,Roma,it Serie A,23,1997,34.3,27.0,13,7.0,14.0,6.0,9.0,22.0,40.9,13.0,17.0,3.0,14.0,5,32.0,27.0,0.0
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,6.0,3,3.0,3.0,0.0,2.0,4.0,50.0,2.0,6.0,5.0,1.0,5,11.0,37.0,1.0
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,25.0,12,15.0,9.0,1.0,12.0,19.0,63.2,7.0,37.0,28.0,9.0,34,59.0,92.0,0.0
11,Ragnar Ache,de GER,"CC,DL",Eint Frankfurt,de Bundesliga,23,1998,2.9,2.0,0,0.0,1.0,1.0,1.0,4.0,25.0,3.0,3.0,0.0,3.0,0,2.0,1.0,0.0
12,Mohamed Achi,fr FRA,CC,Nantes,fr Ligue 1,19,2002,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,50.0,29,27.0,14.0,9.0,30.0,46.0,65.2,16.0,22.0,5.0,17.0,14,64.0,25.0,1.0
14,Che Adams,sct SCO,DL,Southampton,eng Premier League,25,1996,22.7,13.0,6,5.0,5.0,3.0,2.0,16.0,12.5,14.0,18.0,2.0,16.0,8,21.0,18.0,0.0
15,Tyler Adams,us USA,CC,RB Leipzig,de Bundesliga,22,1999,15.0,23.0,7,5.0,16.0,2.0,7.0,25.0,28.0,18.0,24.0,1.0,23.0,16,39.0,19.0,2.0
16,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,28,1993,3.7,8.0,6,3.0,4.0,1.0,3.0,11.0,27.3,8.0,4.0,0.0,4.0,1,9.0,2.0,0.0
17,Martin Adeline,fr FRA,"CC,DL",Reims,fr Ligue 1,17,2003,3.9,15.0,11,5.0,8.0,2.0,8.0,16.0,50.0,8.0,0.0,0.0,0.0,11,26.0,6.0,0.0
18,Amine Adli,ma MAR,"DL,CC",Leverkusen,de Bundesliga,21,2000,14.0,27.0,14,10.0,14.0,3.0,8.0,15.0,53.3,7.0,26.0,2.0,24.0,11,38.0,12.0,0.0
19,Yacine Adli,fr FRA,"CC,DL",Bordeaux,fr Ligue 1,21,2000,25.1,43.0,27,22.0,14.0,7.0,19.0,68.0,27.9,49.0,33.0,3.0,30.0,37,80.0,11.0,2.0
20,Michel Aebischer,ch SUI,CC,Bologna,it Serie A,24,1997,4.9,14.0,5,5.0,8.0,1.0,6.0,11.0,54.5,5.0,4.0,1.0,3.0,6,20.0,3.0,0.0
21,Felix Afena-Gyan,gh GHA,"DL,CC",Roma,it Serie A,18,2003,7.4,10.0,3,1.0,6.0,3.0,4.0,7.0,57.1,3.0,4.0,0.0,4.0,3,13.0,0.0,0.0
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18.0,34.0,22,17.0,11.0,6.0,18.0,37.0,48.6,19.0,20.0,3.0,17.0,25,59.0,38.0,0.0
23,Julen Agirrezabala,es ESP,PO,Athletic Club,es La Liga,20,2000,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0
24,Lucien Agoume,fr FRA,CC,Brest,fr Ligue 1,19,2002,20.8,51.0,31,24.0,20.0,7.0,23.0,45.0,51.1,22.0,30.0,9.0,21.0,52,103.0,27.0,1.0
