RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive.1,PassDead.1,HASTA.1,Dis.1,FR.1,Def.1
1,Brenden Aaronson,us USA,"CC,DL",Leeds United,eng Premier League,21,2000,26.4,95.0,3.6,57.0,17.0,7.0,5.0,8.0,1.0,7.0,0.27,3.0,1.0,0.0,1.0,1.0,1.0
2,Paxten Aaronson,us USA,"CC,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,8.0,4.16,4.0,1.0,0.0,2.0,1.0,0.0,2.0,1.04,1.0,0.0,0.0,1.0,0.0,0.0
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,George Abbott,eng ENG,CC,Tottenham,eng Premier League,16,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37.0,43.0,1.16,34.0,0.0,2.0,5.0,0.0,2.0,7.0,0.19,4.0,0.0,2.0,1.0,0.0,0.0
6,Himad Abdelli,dz ALG,"CC,DL",Angers,fr Ligue 1,22,1999,23.7,69.0,2.91,59.0,4.0,3.0,1.0,0.0,2.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0
7,Salis Abdul Samed,gh GHA,CC,Lens,fr Ligue 1,22,2000,32.2,50.0,1.55,43.0,0.0,2.0,2.0,2.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
8,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,29,1993,26.0,33.0,1.27,27.0,2.0,2.0,1.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
9,Oliver Abildgaard,dk DEN,CC,Hellas Verona,it Serie A,26,1996,6.6,9.0,1.37,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Matthis Abline,fr FRA,"DL,CC",Auxerre,fr Ligue 1,19,2003,9.0,15.0,1.67,8.0,0.0,5.0,0.0,2.0,0.0,3.0,0.33,1.0,0.0,1.0,0.0,1.0,0.0
11,Matthis Abline,fr FRA,"DL,CC",Rennes,fr Ligue 1,19,2003,1.2,7.0,5.94,2.0,0.0,0.0,3.0,1.0,1.0,2.0,1.7,0.0,0.0,0.0,0.0,1.0,1.0
12,Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,8.0,1.18,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0
13,Zakaria Aboukhlal,ma MAR,"DL,CC",Toulouse,fr Ligue 1,22,2000,27.5,80.0,2.91,44.0,1.0,10.0,13.0,10.0,2.0,8.0,0.29,4.0,0.0,1.0,2.0,1.0,0.0
14,Tammy Abraham,eng ENG,DL,Roma,it Serie A,24,1997,24.3,70.0,2.88,46.0,0.0,7.0,10.0,7.0,0.0,9.0,0.37,4.0,0.0,1.0,3.0,1.0,0.0
15,Christian Acella,it ITA,CC,Cremonese,it Serie A,20,2002,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
