Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Titular,Titular,Titular,Sup.,Sup.,Sup.,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Unnamed: 30_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,Partidos
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,3,204,68,6.0,2.3,3,68,1,0,,7,0.33,0,2,-2,-0.88,-1.22,1.3,3.1,-1.8,-0.80,-0.57,Partidos
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,36,3195,89,93.4,35.5,36,89,33,0,,2,1.19,44,46,-2,-0.06,-0.06,44.1,46.3,-2.2,-0.06,+0.07,Partidos
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,19,1302,69,38.1,14.5,15,82,8,4,17,19,2.11,22,13,+9,+0.62,+0.20,19.9,14.2,+5.7,+0.40,+0.32,Partidos
4,Issah Abbas,gh GHA,DL,Mainz 05,de Bundesliga,19,1998,1,9,9,0.3,0.1,0,,0,1,8,2,1.00,0,0,0,0.00,+0.32,0.1,0.1,0.0,-0.40,-0.16,Partidos
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,3420,90,100.0,38.0,38,90,38,0,,0,1.45,39,42,-3,-0.08,,38.1,45.0,-6.9,-0.18,,Partidos
6,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,28,1989,0,,,,,0,,0,0,,3,,,,,,,,,,,,Partidos
7,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,25,1992,26,2023,78,59.2,22.5,23,84,16,3,28,1,0.81,18,30,-12,-0.53,+0.56,22.2,31.3,-9.2,-0.41,+0.19,Partidos
8,Charles Abi,fr FRA,"DF,DL",Saint-Étienne,fr Ligue 1,18,2000,3,32,11,0.9,0.4,0,,0,3,11,4,1.67,0,0,0,0.00,-0.48,1.0,1.3,-0.2,-0.67,-0.84,Partidos
9,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,17,1420,84,46.4,15.8,17,84,15,0,,3,1.35,28,29,-1,-0.06,-0.78,25.9,26.6,-0.6,-0.04,-0.43,Partidos
10,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,28,1990,10,790,79,25.8,8.8,9,85,7,1,22,2,1.20,10,15,-5,-0.57,-0.17,8.0,16.2,-8.2,-0.93,-0.45,Partidos
