Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Saques de esquina,Saques de esquina,Saques de esquina,Resultados,Resultados,Resultados,Unnamed: 24_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,120,92,28,3,0,2,11,25,0,0,0,0,73,0,8,Partidos
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,1971,1603,364,46,5,7,42,316,2,0,1,1,1564,4,33,Partidos
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,925,817,107,14,0,4,26,93,0,0,0,0,763,1,19,Partidos
4,Issah Abbas,gh GHA,DL,Mainz 05,de Bundesliga,19,1998,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Partidos
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,1614,1543,63,62,0,31,0,1,0,0,0,0,1330,8,19,Partidos
6,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,25,1992,22.5,1068,1028,35,17,4,12,24,5,10,1,6,0,903,5,13,Partidos
7,Charles Abi,fr FRA,"DF,DL",Saint-Étienne,fr Ligue 1,18,2000,0.4,17,17,0,0,0,0,0,0,0,0,0,0,6,0,3,Partidos
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,671,646,22,20,0,13,8,2,0,0,0,0,514,3,12,Partidos
9,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,28,1990,8.8,372,368,4,1,0,0,2,2,0,0,0,0,319,0,9,Partidos
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,1800,1735,61,46,0,15,6,15,0,0,0,0,1560,4,11,Partidos
11,Afriyie Acquah,gh GHA,CC,Empoli,it Serie A,26,1992,16.8,738,723,11,3,2,4,34,8,0,0,0,0,580,4,28,Partidos
12,Tyler Adams,us USA,CC,RB Leipzig,de Bundesliga,19,1999,8.0,530,511,18,15,4,3,2,3,0,0,0,0,424,1,12,Partidos
13,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,31,1987,1.0,24,13,11,0,0,0,0,0,0,0,0,0,13,0,0,Partidos
14,Aday,es ESP,"DF,CC",Girona,es La Liga,30,1987,7.2,320,247,71,13,0,6,50,49,9,3,1,0,227,2,6,Partidos
15,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,973,938,32,31,0,5,0,1,0,0,0,0,837,3,5,Partidos
16,Claud Adjapong,it ITA,"CC,DL",Sassuolo,it Serie A,20,1998,3.0,101,75,24,1,0,1,5,23,0,0,0,0,74,2,5,Partidos
17,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,18,2000,2.4,151,145,5,1,1,2,9,2,2,2,0,0,111,1,3,Partidos
18,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,it Serie A,24,1993,1.8,117,89,26,4,0,1,14,16,6,0,6,0,77,2,6,Partidos
19,Aritz Aduriz,es ESP,DL,Athletic Club,es La Liga,37,1981,10.5,238,229,9,0,0,0,6,1,0,0,0,0,146,0,5,Partidos
20,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,1197,977,217,16,1,34,54,201,0,0,0,0,957,3,34,Partidos
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,964,752,208,9,0,6,42,197,0,0,0,0,653,4,35,Partidos
22,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,604,561,40,18,0,8,3,22,0,0,0,0,465,3,8,Partidos
23,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,30,1988,27.3,796,740,52,1,6,1,13,8,1,0,0,0,661,4,27,Partidos
24,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,25,1993,28.1,1640,1334,297,15,0,7,115,281,1,0,0,0,1315,9,51,Partidos
25,Juan Aguilera,es ESP,CC,Huesca,es La Liga,32,1985,3.8,189,180,6,6,0,4,2,0,0,0,0,0,166,3,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
26,Emmanuel Agyemang-Badu,gh GHA,CC,Udinese,it Serie A,27,1990,1.8,35,32,2,2,0,1,2,0,0,0,0,0,27,1,3,Partidos
27,Jean-Eudes Aholou,ci CIV,CC,Monaco,fr Ligue 1,24,1994,11.9,549,537,12,9,4,8,5,2,0,0,0,0,463,0,8,Partidos
28,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,35,27,8,0,0,0,6,8,0,0,0,0,13,0,3,Partidos
29,Ola Aina,ng NGA,DF,Torino,it Serie A,21,1996,24.0,1178,919,257,18,2,7,63,238,1,0,0,0,861,2,44,Partidos
30,Youssef Aït Bennasser,ma MAR,CC,Saint-Étienne,fr Ligue 1,22,1996,10.4,656,643,11,5,3,7,4,6,0,0,0,0,572,2,11,Partidos
31,Youssef Aït Bennasser,ma MAR,CC,Monaco,fr Ligue 1,22,1996,11.9,737,712,23,21,3,11,2,2,0,0,0,0,633,2,8,Partidos
32,Rayan Aït Nouri,dz ALG,"DF,CC",Angers,fr Ligue 1,17,2001,0.6,35,33,2,0,0,0,0,2,0,0,0,0,30,0,0,Partidos
33,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,24,1994,17.0,459,431,26,1,1,5,5,0,0,0,0,0,339,2,11,Partidos
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,1855,1799,54,38,0,27,2,16,0,0,0,0,1722,2,9,Partidos
35,Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,443,351,89,3,1,5,7,86,0,0,0,0,332,3,13,Partidos
36,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,1733,1646,85,56,1,6,6,29,0,0,0,0,1491,2,14,Partidos
37,Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,84,73,9,0,0,0,8,9,0,0,0,0,64,2,2,Partidos
38,Chadrac Akolo,cd COD,"CC,DL",Stuttgart,de Bundesliga,23,1995,5.8,161,161,0,0,0,0,8,0,0,0,0,0,119,0,7,Partidos
39,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,5.5,269,255,14,8,0,0,0,6,0,0,0,0,228,0,5,Partidos
40,Kevin Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,3.5,171,164,7,5,0,1,0,2,0,0,0,0,135,0,6,Partidos
41,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,2153,1843,300,30,1,9,115,265,5,0,5,0,1769,10,52,Partidos
42,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,20,1998,21.1,1096,838,254,5,2,2,40,249,0,0,0,0,832,4,32,Partidos
43,Lucas Alario,ar ARG,"DL,CC",Leverkusen,de Bundesliga,25,1992,14.1,412,386,24,1,0,2,5,1,0,0,0,0,307,2,18,Partidos
44,Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,2695,2356,332,55,9,16,52,276,1,0,0,0,2279,7,44,Partidos
45,Luis Alberto,es ESP,"CC,DL",Lazio,it Serie A,25,1992,22.1,1487,1236,241,52,12,18,171,27,136,46,69,0,1115,10,39,Partidos
46,Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19.0,1131,1095,35,35,2,18,3,0,0,0,0,0,1009,1,8,Partidos
47,Miiko Albornoz,cl CHI,"DF,CC",Hannover 96,de Bundesliga,27,1990,18.4,966,756,203,13,0,3,57,188,2,0,2,0,715,7,31,Partidos
48,Marc Albrighton,eng ENG,"DL,CC",Leicester City,eng Premier League,28,1989,18.1,776,732,33,5,9,9,125,19,8,3,3,1,448,11,54,Partidos
49,Paco Alcácer,es ESP,DL,Dortmund,de Bundesliga,24,1993,13.5,290,255,32,0,8,0,3,2,0,0,0,0,213,3,3,Partidos
50,Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,20.8,869,823,44,43,0,19,3,1,0,0,0,0,686,2,8,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
51,Thiago Alcántara,es ESP,CC,Bayern Munich,de Bundesliga,27,1991,26.8,2587,2437,146,75,3,49,69,7,62,47,2,1,2325,4,20,Partidos
