Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Toques,Toques,Toques,Toques,Toques,Toques,Toques,Tomas,Tomas,Tomas,Tomas,Tomas,Transportes,Transportes,Transportes,Transportes,Transportes,Transportes,Transportes,Transportes,Recepción,Recepción,Unnamed: 31_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Partidos
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,1870,89,529,848,515,41,1869,38,16,42.1,22,57.9,830,4462,2433,60,41,10,31,15,994,89,Partidos
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,2144,159,763,868,536,43,2144,99,48,48.5,51,51.5,1259,7858,4066,92,61,21,54,31,1253,151,Partidos
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,1854,194,1052,768,51,29,1854,26,20,76.9,6,23.1,1031,5773,3542,21,12,0,15,5,1216,6,Partidos
4,Suleiman Abdullahi,ng NGA,"DL,CC",Union Berlin,de Bundesliga,22,1996,1.7,63,1,8,24,33,7,63,5,2,40.0,3,60.0,29,164,75,2,2,1,7,0,36,10,Partidos
5,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,26,1992,20.2,1159,14,163,766,249,17,1159,23,16,69.6,7,30.4,650,3350,1494,25,24,3,24,21,754,42,Partidos
6,Charles Abi,fr FRA,DL,Saint-Étienne,fr Ligue 1,19,2000,6.9,195,7,14,100,86,20,195,19,13,68.4,6,31.6,108,680,346,12,4,5,26,7,144,33,Partidos
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,1075,93,456,550,76,10,1075,9,7,77.8,2,22.2,561,3169,1737,18,16,1,6,3,610,12,Partidos
8,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,21,1997,24.6,722,30,60,337,334,146,722,35,16,45.7,19,54.3,333,1698,749,31,17,10,74,42,479,134,Partidos
9,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,29,1990,7.4,425,24,137,232,58,4,425,5,3,60.0,2,40.0,236,1014,401,8,4,0,18,3,250,13,Partidos
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2387,300,1093,1125,184,30,2387,14,13,92.9,1,7.1,1391,9440,5596,57,22,0,12,7,1599,36,Partidos
11,Che Adams,sct SCO,DL,Southampton,eng Premier League,23,1996,12.3,418,11,29,181,214,60,418,25,18,72.0,7,28.0,232,1282,464,20,16,10,40,21,298,87,Partidos
12,Tyler Adams,us USA,"CC,DF",RB Leipzig,de Bundesliga,20,1999,10.6,813,19,190,452,172,11,813,10,4,40.0,6,60.0,430,1993,862,11,9,2,7,9,548,49,Partidos
13,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,26,1993,8.3,287,6,25,119,147,41,287,21,10,47.6,11,52.4,178,1313,527,19,9,7,28,19,200,67,Partidos
14,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,32,1987,0.3,7,4,6,1,0,0,7,0,0,,0,,3,24,22,0,0,0,0,0,1,0,Partidos
15,Bobby Adekanye,nl NED,DL,Lazio,it Serie A,20,1999,2.1,62,1,6,31,26,10,62,3,3,100.0,0,0.0,43,224,118,6,2,5,3,6,49,12,Partidos
16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,110,15,34,40,36,6,110,2,1,50.0,1,50.0,54,306,113,4,4,0,4,2,61,16,Partidos
17,Amine Adli,ma MAR,"CC,DL",Toulouse,fr Ligue 1,19,2000,0.5,31,0,3,16,13,1,31,4,3,75.0,1,25.0,23,190,104,4,1,0,1,1,22,5,Partidos
18,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,19,2000,11.3,704,10,70,457,186,11,704,48,26,54.2,22,45.8,485,2646,1418,38,31,3,27,24,537,47,Partidos
19,Adrián,es ESP,PO,Liverpool,eng Premier League,32,1987,9.7,331,298,331,0,0,0,331,0,0,,0,,193,925,528,0,1,1,0,0,152,0,Partidos
20,Aritz Aduriz,es ESP,"DL,CC",Athletic Club,es La Liga,38,1981,2.3,81,2,4,36,42,13,80,2,1,50.0,1,50.0,37,145,35,2,1,2,7,2,68,15,Partidos
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,1187,77,391,502,314,12,1187,47,29,61.7,18,38.3,583,3716,2025,60,40,6,27,10,583,66,Partidos
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1237,76,403,635,210,9,1237,29,17,58.6,12,41.4,587,2671,1357,26,21,2,24,13,596,49,Partidos
23,Lucien Agoume,fr FRA,CC,Inter,it Serie A,17,2002,0.8,45,0,8,25,12,0,45,0,0,,0,,33,130,45,1,0,0,1,1,30,2,Partidos
24,Kevin Agudelo,co COL,"CC,DL",Fiorentina,it Serie A,20,1998,0.7,50,0,6,25,21,4,50,3,3,100.0,0,0.0,35,198,74,1,1,1,0,2,31,8,Partidos
25,Kevin Agudelo,co COL,"CC,DL",Genoa,it Serie A,20,1998,7.4,387,7,73,195,130,18,387,35,25,71.4,10,28.6,264,1922,1238,39,23,6,15,15,271,34,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Partidos
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,717,75,426,284,11,8,717,4,3,75.0,1,25.0,352,1490,859,0,0,0,4,3,467,0,Partidos
27,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,31,1988,16.1,544,4,17,178,356,131,541,40,24,60.0,16,40.0,405,2057,816,35,26,23,34,30,436,105,Partidos
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,913,32,209,441,268,21,913,22,12,54.5,10,45.5,534,2573,1482,32,19,4,9,11,581,80,Partidos
29,Emmanuel Agyemang-Badu,gh GHA,CC,Hellas Verona,it Serie A,28,1990,2.6,129,6,23,86,20,1,129,1,1,100.0,0,0.0,83,468,199,2,2,1,9,1,88,1,Partidos
30,Jean-Eudes Aholou,ci CIV,CC,Saint-Étienne,fr Ligue 1,25,1994,7.0,404,14,78,257,71,13,404,16,12,75.0,4,25.0,225,1210,572,14,9,1,19,7,267,15,Partidos
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,1540,192,830,678,41,11,1540,15,10,66.7,5,33.3,895,4335,2073,17,7,2,14,8,936,2,Partidos
32,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,1478,70,422,679,399,27,1478,78,47,60.3,31,39.7,718,4943,2913,86,51,8,32,21,817,80,Partidos
