Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Expectativa,Expectativa,Expectativa,Expectativa,Expectativa,Unnamed: 26_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,Partidos
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,3,26,5,19.2,0.93,0.18,0.08,0.40,21.7,3,1,1,2.1,1.3,0.05,+0.9,+0.7,Partidos
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,0,14,4,28.6,0.39,0.11,0.00,0.00,17.2,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Partidos
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,3,19,5,26.3,0.68,0.18,0.16,0.60,13.3,0,0,0,1.7,1.7,0.09,+1.3,+1.3,Partidos
4,Suleiman Abdullahi,ng NGA,"DL,CC",Union Berlin,de Bundesliga,22,1996,1.7,1,6,3,50.0,3.44,1.72,0.17,0.33,16.0,0,0,0,1.1,1.1,0.19,-0.1,-0.1,Partidos
5,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,26,1992,20.2,1,33,7,21.2,1.63,0.35,0.03,0.14,25.1,3,0,0,1.5,1.5,0.04,-0.5,-0.5,Partidos
6,Charles Abi,fr FRA,DL,Saint-Étienne,fr Ligue 1,19,2000,6.9,0,5,0,0.0,0.72,0.00,0.00,,16.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Partidos
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,2,7,4,57.1,0.37,0.21,0.29,0.50,8.1,0,0,0,1.6,1.6,0.22,+0.4,+0.4,Partidos
8,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,21,1997,24.6,15,88,35,39.8,3.58,1.42,0.17,0.43,11.6,0,0,0,16.4,16.4,0.19,-1.4,-1.4,Partidos
9,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,29,1990,7.4,0,4,2,50.0,0.54,0.27,0.00,0.00,20.1,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Partidos
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2,16,5,31.3,0.46,0.14,0.13,0.40,14.5,0,0,0,2.4,2.4,0.15,-0.4,-0.4,Partidos
11,Che Adams,sct SCO,DL,Southampton,eng Premier League,23,1996,12.3,4,36,9,25.0,2.92,0.73,0.11,0.44,15.2,0,0,0,5.3,5.3,0.15,-1.3,-1.3,Partidos
12,Tyler Adams,us USA,"CC,DF",RB Leipzig,de Bundesliga,20,1999,10.6,0,7,1,14.3,0.66,0.09,0.00,0.00,18.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Partidos
13,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,26,1993,8.3,5,21,11,52.4,2.53,1.33,0.24,0.45,12.1,0,0,0,5.9,5.9,0.28,-0.9,-0.9,Partidos
14,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,32,1987,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Partidos
15,Bobby Adekanye,nl NED,DL,Lazio,it Serie A,20,1999,2.1,1,5,4,80.0,2.39,1.91,0.20,0.25,11.3,0,0,0,1.4,1.4,0.27,-0.4,-0.4,Partidos
16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,0,3,1,33.3,1.17,0.39,0.00,0.00,14.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Partidos
17,Amine Adli,ma MAR,"CC,DL",Toulouse,fr Ligue 1,19,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Partidos
18,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,19,2000,11.3,3,17,6,35.3,1.50,0.53,0.18,0.50,23.8,1,0,0,0.8,0.8,0.04,+2.2,+2.2,Partidos
19,Adrián,es ESP,PO,Liverpool,eng Premier League,32,1987,9.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Partidos
20,Aritz Aduriz,es ESP,"DL,CC",Athletic Club,es La Liga,38,1981,2.3,1,6,2,33.3,2.60,0.87,0.17,0.50,15.7,0,0,1,1.6,0.8,0.13,-0.6,+0.2,Partidos
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,1,14,2,14.3,0.70,0.10,0.07,0.50,30.1,0,0,0,0.3,0.3,0.02,+0.7,+0.7,Partidos
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1,3,1,33.3,0.13,0.04,0.33,1.00,24.1,0,0,0,0.8,0.8,0.26,+0.2,+0.2,Partidos
