Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Derribos,Derribos,Derribos,Derribos,Derribos,Desafíos,Desafíos,Desafíos,Desafíos,Bloqueos,Bloqueos,Bloqueos,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Partidos
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,35,22,18,17,0,19,43,44.2,24,18,6,12,30,65,40,2,Partidos
3,Issah Abbas,gh GHA,"DF,DL",Mainz 05,de Bundesliga,21,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partidos
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,59,37,36,23,0,26,42,61.9,16,34,15,19,61,120,132,0,Partidos
5,Sabit Abdulai,gh GHA,CC,Getafe,es La Liga,21,1999,0.7,2,0,1,1,0,1,3,33.3,2,0,0,0,0,2,0,0,Partidos
6,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,27,1992,14.7,34,19,16,14,4,15,30,50.0,15,9,2,7,20,54,10,0,Partidos
7,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,27,1993,32.9,145,84,64,69,12,54,162,33.3,108,64,6,58,46,191,12,0,Partidos
8,Charles Abi,fr FRA,"DL,CC",Saint-Étienne,fr Ligue 1,20,2000,10.1,8,2,5,0,3,3,12,25.0,9,6,2,4,4,12,5,0,Partidos
9,Matthis Abline,fr FRA,DL,Rennes,fr Ligue 1,17,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partidos
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,15,13,10,5,0,6,10,60.0,4,7,4,3,27,42,87,0,Partidos
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,18,12,13,3,2,11,17,64.7,6,13,4,9,17,35,34,0,Partidos
12,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,22,1997,11.6,7,5,3,3,1,1,7,14.3,6,6,0,6,5,12,17,0,Partidos
13,Amir Abrashi,al ALB,"CC,DF",Freiburg,de Bundesliga,30,1990,0.7,1,1,1,0,0,0,0,,0,1,1,0,2,3,1,0,Partidos
14,Gennaro Acampora,it ITA,"CC,DL",Spezia,it Serie A,26,1994,4.9,6,4,1,4,1,2,7,28.6,5,4,1,3,4,10,4,0,Partidos
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,51,32,34,13,4,18,40,45.0,22,24,15,9,76,127,121,2,Partidos
16,Ragnar Ache,de GER,"DL,DF",Eint Frankfurt,de Bundesliga,22,1998,1.1,2,0,0,1,1,0,0,,0,1,0,1,1,3,1,0,Partidos
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,62,42,34,20,8,23,41,56.1,18,23,2,21,23,85,30,1,Partidos
18,Che Adams,sct SCO,DL,Southampton,eng Premier League,24,1996,29.6,25,16,4,15,6,6,17,35.3,11,20,2,18,4,29,19,1,Partidos
19,Tyler Adams,us USA,"CC,DF",RB Leipzig,de Bundesliga,21,1999,20.6,35,24,12,15,8,17,31,54.8,14,22,5,17,29,64,30,0,Partidos
20,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,27,1993,5.3,9,4,4,3,2,7,14,50.0,7,2,0,2,6,15,1,0,Partidos
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,37,19,30,6,1,19,40,47.5,21,26,20,6,42,79,197,2,Partidos
22,Bobby Adekanye,nl NED,"DL,CC",Cádiz,es La Liga,21,1999,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Partidos
23,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,20,2000,26.9,74,37,30,33,11,35,92,38.0,57,27,2,25,39,113,17,2,Partidos
24,Andrea Adorante,it ITA,DL,Parma,it Serie A,20,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partidos
25,Adrián,es ESP,PO,Liverpool,eng Premier League,33,1987,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
26,Martin Agirregabiria,es ESP,"DF,CC",Alavés,es La Liga,24,1996,17.3,32,18,17,12,3,17,33,51.5,16,9,3,6,27,59,36,0,Partidos
27,Lucien Agoume,fr FRA,CC,Spezia,it Serie A,18,2002,8.9,18,10,11,7,0,6,19,31.6,13,10,5,5,15,33,10,0,Partidos
28,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,20,9,10,9,1,10,18,55.6,8,14,3,11,12,32,18,0,Partidos
29,Kevin Agudelo,co COL,DL,Spezia,it Serie A,21,1998,15.1,39,28,9,15,15,12,34,35.3,22,30,0,30,10,49,2,0,Partidos
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,37,30,28,9,0,21,33,63.6,12,34,22,12,47,84,102,0,Partidos
31,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,32,1988,6.2,4,1,0,2,2,2,11,18.2,9,2,0,2,2,6,0,0,Partidos
32,Ruben Aguilar,fr FRA,"DF,CC",Monaco,fr Ligue 1,27,1993,24.7,63,37,32,21,10,32,52,61.5,20,30,3,27,47,110,43,1,Partidos
33,Naouirou Ahamada,fr FRA,CC,Stuttgart,de Bundesliga,18,2002,2.8,4,1,3,1,0,1,1,100.0,0,2,0,2,1,5,1,0,Partidos
34,Matteo Ahlinvi,bj BEN,CC,Nîmes,fr Ligue 1,21,1999,10.0,26,20,10,14,2,11,39,28.2,28,6,0,6,2,28,8,0,Partidos
35,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,26,1994,23.8,46,25,18,25,3,19,48,39.6,29,17,5,12,53,99,32,0,Partidos
36,Jean-Eudes Aholou,ci CIV,CC,Monaco,fr Ligue 1,26,1994,0.4,1,0,0,1,0,1,3,33.3,2,0,0,0,1,2,1,0,Partidos
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,26,17,17,9,0,12,21,57.1,9,7,4,3,25,51,88,1,Partidos
38,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,37,20,22,7,8,21,43,48.8,22,22,6,16,45,82,94,2,Partidos
39,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,19,2001,15.6,29,16,18,10,1,13,27,48.1,14,14,1,13,15,44,25,0,Partidos
40,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,19,2001,2.1,3,2,1,2,0,3,5,60.0,2,2,1,1,4,7,1,0,Partidos
41,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,40,14,34,6,0,23,41,56.1,18,51,32,19,42,82,122,2,Partidos
42,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,26,1994,33.0,30,18,6,18,6,7,31,22.6,24,14,5,9,11,41,54,0,Partidos
43,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,41,22,23,12,6,19,31,61.3,12,23,10,13,49,90,70,1,Partidos
44,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,18,14,14,4,0,10,18,55.6,8,16,3,13,19,37,33,0,Partidos
45,Marley Aké,fr FRA,DL,Marseille,fr Ligue 1,19,2001,1.6,3,3,1,0,2,0,1,0.0,1,2,0,2,0,3,1,0,Partidos
46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,10,5,3,6,1,3,4,75.0,1,2,1,1,9,19,23,0,Partidos
47,Paul Akouokou,ci CIV,CC,Betis,es La Liga,22,1997,4.2,11,8,2,8,1,5,8,62.5,3,3,1,2,6,17,7,0,Partidos
48,Jean-Daniel Akpa-Akpro,ci CIV,CC,Lazio,it Serie A,27,1992,11.7,38,25,13,22,3,8,27,29.6,19,24,6,18,18,56,13,0,Partidos
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,18,12,11,6,1,8,14,57.1,6,28,15,13,13,31,32,2,Partidos
