Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,ACT,ACT,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,ACG,ACG,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Unnamed: 25_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,46,1.44,34,3,2,3,3,1,3,0.09,3,0,0,0,0,0,Partidos
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,22,0.66,17,0,2,1,0,2,1,0.03,1,0,0,0,0,0,Partidos
3,Salis Abdul Samed,gh GHA,CC,Clermont Foot,fr Ligue 1,21,2000,27.4,50,1.83,41,0,0,4,4,1,3,0.11,3,0,0,0,0,0,Partidos
4,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,28,1993,32.8,83,2.53,67,2,3,1,7,3,9,0.27,8,0,0,0,1,0,Partidos
5,Charles Abi,fr FRA,DL,Saint-Étienne,fr Ligue 1,21,2000,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
6,Dickson Abiama,ng NGA,DL,Greuther Fürth,de Bundesliga,22,1998,8.1,15,1.85,10,0,0,2,2,1,2,0.25,1,0,0,1,0,0,Partidos
7,Matthis Abline,fr FRA,DL,Rennes,fr Ligue 1,18,2003,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
8,Tammy Abraham,eng ENG,DL,Roma,it Serie A,23,1997,34.3,94,2.74,62,1,6,17,7,1,14,0.41,6,0,2,3,3,0,Partidos
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,3,0.48,1,0,0,2,0,0,1,0.16,0,0,0,1,0,0,Partidos
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,17,0.61,13,1,0,1,2,0,2,0.07,1,0,0,0,1,0,Partidos
