Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Duelos aéreos,Duelos aéreos,Duelos aéreos,Unnamed: 25_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
1,Brenden Aaronson,us USA,"CC,DL",Leeds United,eng Premier League,21,2000,26.4,2,0,0,16,55,6,72,5,18,0,0,0,128,8,39,17.0,Partidos
2,Paxten Aaronson,us USA,"CC,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,1,0,0,5,3,1,7,0,5,0,0,0,8,1,1,50.0,Partidos
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,0,0,0,2,1,0,0,0,1,0,0,0,2,2,0,100.0,Partidos
4,George Abbott,eng ENG,CC,Tottenham,eng Premier League,16,2005,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Partidos
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37.0,6,0,0,49,28,2,5,64,50,0,0,0,263,93,51,64.6,Partidos
6,Himad Abdelli,dz ALG,"CC,DL",Angers,fr Ligue 1,22,1999,23.7,3,0,0,43,31,1,35,28,38,0,0,0,180,18,23,43.9,Partidos
7,Salis Abdul Samed,gh GHA,CC,Lens,fr Ligue 1,22,2000,32.2,6,1,0,71,38,0,10,36,26,0,0,1,213,14,17,45.2,Partidos
8,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,29,1993,26.0,7,1,1,28,29,0,6,34,52,0,0,0,193,8,15,34.8,Partidos
9,Oliver Abildgaard,dk DEN,CC,Hellas Verona,it Serie A,26,1996,6.6,2,0,0,13,7,0,5,5,6,0,0,0,37,50,21,70.4,Partidos
10,Matthis Abline,fr FRA,"DL,CC",Auxerre,fr Ligue 1,19,2003,9.0,1,0,0,14,10,5,6,1,2,1,0,0,13,12,30,28.6,Partidos
11,Matthis Abline,fr FRA,"DL,CC",Rennes,fr Ligue 1,19,2003,1.2,0,0,0,3,5,1,2,2,1,1,0,0,2,1,4,20.0,Partidos
12,Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,2,0,0,8,2,0,13,8,9,0,1,0,43,9,16,36.0,Partidos
13,Zakaria Aboukhlal,ma MAR,"DL,CC",Toulouse,fr Ligue 1,22,2000,27.5,4,0,0,41,46,20,29,22,23,0,0,0,130,12,31,27.9,Partidos
14,Tammy Abraham,eng ENG,DL,Roma,it Serie A,24,1997,24.3,2,0,0,33,48,11,11,3,10,1,0,0,46,80,74,51.9,Partidos
15,Christian Acella,it ITA,CC,Cremonese,it Serie A,20,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Partidos
16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,4,0,0,17,13,2,22,41,19,0,0,0,151,78,42,65.0,Partidos
17,Álvaro Aceves,es ESP,PO,Valladolid,es La Liga,19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0,Partidos
18,Mohamed Achi,fr FRA,DL,Nantes,fr Ligue 1,20,2002,0.4,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,,Partidos
19,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,10,3,0,32,34,1,147,23,36,0,1,0,141,30,18,62.5,Partidos
20,Che Adams,sct SCO,DL,Southampton,eng Premier League,26,1996,22.1,1,0,0,38,27,14,12,4,13,0,0,0,53,61,103,37.2,Partidos
