club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
1. FC Köln,Serhou Guirassy,20.0,France,Centre-Forward,CF,2000000.0,LOSC Lille,France,3800000.0,in,summer,1 Bundesliga,2016,False,
1. FC Köln,Marco Höger,26.0,Germany,Defensive Midfield,DM,4000000.0,FC Schalke 04,Germany,1300000.0,in,summer,1 Bundesliga,2016,False,
1. FC Köln,Artjoms Rudnevs,28.0,Latvia,Centre-Forward,CF,1000000.0,Hamburger SV,Germany,0.0,in,summer,1 Bundesliga,2016,False,
1. FC Köln,Konstantin Rausch,26.0,Russia,Left-Back,LB,1500000.0,SV Darmstadt 98,Germany,0.0,in,summer,1 Bundesliga,2016,False,
1. FC Köln,Yannick Gerhardt,22.0,Germany,Central Midfield,CM,4500000.0,VfL Wolfsburg,Germany,13000000.0,out,summer,1 Bundesliga,2016,False,
1. FC Köln,Kevin Vogt,24.0,Germany,Centre-Back,CB,4000000.0,TSG Hoffenheim,Germany,3000000.0,out,summer,1 Bundesliga,2016,False,
1. FC Köln,Daniel Mesenhöler,20.0,Germany,Goalkeeper,GK,150000.0,Union Berlin,Germany,0.0,out,summer,1 Bundesliga,2016,False,
1. FC Köln,Dusan Svento,30.0,Slovakia,Left-Back,LB,750000.0,Slavia Prague,Czech Republic,0.0,out,summer,1 Bundesliga,2016,False,
1. FC Köln,Bruno Nascimento,25.0,Brazil,defence,defence,700000.0,Omonia Nikosia,Cyprus,0.0,out,summer,1 Bundesliga,2016,False,
1. FC Köln,Philipp Hosiner,27.0,Austria,Centre-Forward,CF,1250000.0,Stade Rennais,France,0.0,out,summer,1 Bundesliga,2016,True,end of loan
1. FC Köln,Christian Clemens,25.0,Germany,Right Winger,RW,3000000.0,1.FSV Mainz 05,Germany,2750000.0,in,winter,1 Bundesliga,2016,False,
1. FC Köln,Neven Subotic,28.0,Germany,Centre-Back,CB,8000000.0,Bor. Dortmund,Germany,500000.0,in,winter,1 Bundesliga,2016,True,loan with fee
1. FC Köln,Mergim Mavraj,30.0,Albania,Centre-Back,CB,1750000.0,Hamburger SV,Germany,1800000.0,out,winter,1 Bundesliga,2016,False,
1. FC Köln,Filip Mladenovic,25.0,Serbia,Left Midfield,LM,2000000.0,Standard Liège,Belgium,1200000.0,out,winter,1 Bundesliga,2016,False,
1.FSV Mainz 05,Jhon Córdoba,23.0,Colombia,Centre-Forward,CF,3500000.0,Granada CF,Spain,6500000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Jean-Philippe Gbamin,20.0,Cote d'Ivoire,Defensive Midfield,DM,2500000.0,Lens,France,5000000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Levin Öztunali,20.0,Germany,Right Midfield,RM,3000000.0,Bay. Leverkusen,Germany,5000000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Gerrit Holtmann,21.0,Germany,Left Winger,LW,600000.0,E. Braunschweig,Germany,3000000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Jonas Lössl,27.0,Denmark,Goalkeeper,GK,2500000.0,Guingamp,France,2500000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,José Rodríguez,21.0,Spain,Central Midfield,CM,2500000.0,Galatasaray,Turkey,2150000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Christian Clemens,24.0,Germany,Right Winger,RW,2500000.0,FC Schalke 04,Germany,2000000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,André Ramalho,24.0,Brazil,Centre-Back,CB,2000000.0,Bay. Leverkusen,Germany,500000.0,in,summer,1 Bundesliga,2016,True,loan with fee
1.FSV Mainz 05,Loris Karius,23.0,Germany,Goalkeeper,GK,7000000.0,Liverpool,England,6200000.0,out,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Julian Baumgartlinger,28.0,Austria,Defensive Midfield,DM,6000000.0,Bay. Leverkusen,Germany,4000000.0,out,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Christoph Moritz,26.0,Germany,Central Midfield,CM,1500000.0,1.FC K'lautern,Germany,250000.0,out,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Elkin Soto,35.0,Colombia,Central Midfield,CM,250000.0,Once Caldas,Colombia,0.0,out,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Dani Schahin,26.0,Germany,Centre-Forward,CF,400000.0,Roda JC,Netherlands,0.0,out,summer,1 Bundesliga,2016,False,
